gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W1, d0W0.606531, d0W1, d0W1, d0W1, d0W1, d1W1, d1W0.606531, d1W1, d1W1, d1W1, d1W1, d2W1, d2W0.606531, d2W1, d2W1, d2W1, d2W1, d3W1, d3W0.606531, d3W1, d3W1, d3W1, d3W1, d4W1, d4W0.606531, d4W1, d4W1, d4W1, d4W1, d5W1, d5W0.606531, d5W1, d5W1, d5W1, d5W1, d6W1, d6W0.606531, d6W1, d6W1, d6W1, d6W1, d7W1, d7W0.606531, d7W1, d7W1, d7W1, d7W1, d8W1, d8W0.606531, d8W1, d8W1, d8W1, d8W1, d9W1, d9W0.606531, d9W1, d9W1, d9W1, d9W1, d10W1, d10W0.606531, d10W1, d10W1, d10W1, d10W1, d11W1, d11W0.606531, d11W1, d11W1, d11W1, d11W1, d12W1, d12W0.606531, d12W1, d12W1, d12W1, d12W1, d13W1, d13W0.606531, d13W1, d13W1, d13W1, d13W1, d14W1, d14W0.606531, d14W1, d14W1, d14W1, d14W1, d15W1, d15W0.606531, d15W1, d15W1, d15W1, d15W1, d16W1, d16W0.606531, d16W1, d16W1, d16W1, d16W1, d17W1, d17W0.606531, d17W1, d17W1, d17W1, d17W1, d18W1, d18W0.606531, d18W1, d18W1, d18W1, d18W1, d19W1, d19W0.606531, d19W1, d19W1, d19W1, d19W1, 
0, 0.9925,0.985,0.9925,0.9775,0.9625,0.875,0.805,0.4575,0.2475,0.1275,0.155,0.03,0.0725,0.0525,0.01,0.0025,0,0,0,0,0.9775,0.9975,0.9775,0.9775,0.935,0.9325,0.7775,0.4325,0.2475,0.1025,0.0675,0.0575,0.0125,0.005,0,0,0,0,0,0,186,0,14,186,14,186,189,0,11,189,11,189,195,0,5,195,5,195,179,1,20,179,20,179,164,1,35,164,35,164,139,3,58,139,58,139,104,11,85,104,85,104,80,19,101,80,101,80,99,8,93,99,93,99,129,5,66,129,66,129,141,1,58,141,58,141,171,0,29,171,29,171,167,0,33,167,33,167,183,0,17,183,17,183,198,0,2,198,2,198,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
100, 1,1,1,0.98,0.9825,0.9325,0.8075,0.52,0.2925,0.18,0.1525,0.115,0.015,0.0225,0.0025,0,0,0,0,0,0.97,0.9875,0.965,0.95,0.9275,0.935,0.86,0.565,0.3825,0.27,0.13,0.05,0,0.0025,0,0,0,0,0,0,193,0,7,193,7,193,199,0,1,199,1,199,187,0,13,187,13,187,171,0,29,171,29,171,168,0,32,168,32,168,148,1,51,148,51,148,128,5,67,128,67,128,85,20,95,85,95,85,92,19,89,92,89,92,100,10,90,100,90,100,134,1,65,134,65,134,144,1,55,144,55,144,188,0,12,188,12,188,193,0,7,193,7,193,198,0,2,198,2,198,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
200, 0.9825,1,0.9575,0.9675,0.9775,0.865,0.895,0.7325,0.44,0.125,0.035,0.04,0.06,0.0575,0.025,0.0375,0.0025,0,0,0,1,1,0.995,0.9825,0.9275,0.92,0.8775,0.7825,0.45,0.165,0.0475,0.1075,0.035,0.03,0.02,0.02,0,0,0,0,194,0,6,194,6,194,200,0,0,200,0,200,186,0,14,186,14,186,184,1,15,184,15,184,159,1,40,159,40,159,135,1,64,135,64,135,139,3,58,139,58,139,102,10,88,102,88,102,88,15,97,88,97,88,131,8,61,131,61,131,172,1,27,172,27,172,154,2,44,154,44,154,164,2,34,164,34,164,163,0,37,163,37,163,185,0,15,185,15,185,183,0,17,183,17,183,196,0,4,196,4,196,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
300, 1,1,1,0.9925,0.985,0.96,0.845,0.7025,0.5175,0.27,0.125,0.1,0.0775,0.0525,0.0275,0.0175,0.01,0.0175,0.0025,0,1,1,0.98,0.98,0.9275,0.8425,0.84,0.6325,0.545,0.2425,0.1475,0.0475,0.06,0.005,0,0,0,0,0,0,199,0,1,199,1,199,199,0,1,199,1,199,194,0,6,194,6,194,189,0,11,189,11,189,176,1,23,176,23,176,143,4,53,143,53,143,127,8,65,127,65,127,84,14,102,84,102,84,88,17,95,88,95,88,102,16,82,102,82,102,124,5,71,124,71,124,154,2,44,154,44,154,154,3,43,154,43,154,175,0,25,175,25,175,184,0,16,184,16,184,192,0,8,192,8,192,195,0,5,195,5,195,193,0,7,193,7,193,200,0,0,200,0,200,200,0,0,200,0,200,
400, 1,1,1,1,1,0.9925,0.97,0.825,0.6025,0.49,0.1225,0.1125,0.0375,0.035,0.0075,0,0,0,0,0,1,1,1,0.9975,0.985,0.95,0.915,0.8,0.6475,0.4025,0.13,0.07,0.015,0.0025,0,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,195,0,5,195,5,195,177,0,23,177,23,177,162,0,38,162,38,162,130,9,61,130,61,130,82,18,100,82,100,82,94,24,82,94,82,94,130,4,66,130,66,130,144,2,54,144,54,144,171,0,29,171,29,171,185,0,15,185,15,185,194,0,6,194,6,194,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
500, 0.945,0.99,0.9425,0.975,0.99,0.9275,0.92,0.74,0.6475,0.395,0.1975,0.065,0.0275,0.025,0.0175,0.015,0.0025,0,0,0,0.995,0.995,0.9875,0.9725,0.9025,0.9675,0.9325,0.8075,0.595,0.4,0.2325,0.135,0.06,0.02,0.0275,0.0325,0.01,0.0075,0.0025,0,174,2,24,174,24,174,193,0,7,193,7,193,172,1,27,172,27,172,182,0,18,182,18,182,164,0,36,164,36,164,170,1,29,170,29,170,152,1,47,152,47,152,107,14,79,107,79,107,73,15,112,73,112,73,73,19,108,73,108,73,96,12,92,96,92,96,139,3,58,139,58,139,171,0,29,171,29,171,189,0,11,189,11,189,185,0,15,185,15,185,185,0,15,185,15,185,197,0,3,197,3,197,196,0,4,196,4,196,199,0,1,199,1,199,200,0,0,200,0,200,
600, 1,1,1,1,0.995,0.98,0.9425,0.8875,0.635,0.4375,0.185,0.0725,0.035,0.01,0.0175,0,0,0,0,0,1,0.9975,0.985,0.97,0.95,0.915,0.9175,0.8425,0.675,0.4225,0.19,0.0925,0.0375,0.03,0,0,0,0,0,0,200,0,0,200,0,200,198,0,2,198,2,198,197,0,3,197,3,197,186,0,14,186,14,186,176,0,24,176,24,176,172,2,26,172,26,172,160,2,38,160,38,160,120,4,76,120,76,120,81,25,94,81,94,81,100,21,79,100,79,100,116,13,71,116,71,116,145,4,51,145,51,145,183,0,17,183,17,183,190,0,10,190,10,190,196,0,4,196,4,196,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
700, 1,0.9975,0.9825,0.985,0.9725,0.95,0.9075,0.805,0.66,0.36,0.165,0.06,0.0975,0.0425,0.03,0,0.0175,0,0,0,1,0.9925,0.9475,0.95,0.94,0.9475,0.9325,0.825,0.6025,0.305,0.1325,0.1,0.105,0.0125,0.0375,0.0275,0.03,0.0025,0,0,200,0,0,200,0,200,199,0,1,199,1,199,181,0,19,181,19,181,177,2,21,177,21,177,169,0,31,169,31,169,166,0,34,166,34,166,141,7,52,141,52,141,99,10,91,99,91,99,87,12,101,87,101,87,90,20,90,90,90,90,130,3,67,130,67,130,148,2,50,148,50,148,142,3,55,142,55,142,176,0,24,176,24,176,178,0,22,178,22,178,191,0,9,191,9,191,191,0,9,191,9,191,198,0,2,198,2,198,200,0,0,200,0,200,200,0,0,200,0,200,
800, 0.9975,1,1,0.9875,0.9525,0.9125,0.865,0.8025,0.6275,0.4125,0.26,0.1,0.035,0.025,0.005,0,0,0,0,0,1,1,0.9975,1,0.975,0.965,0.935,0.8175,0.7225,0.43,0.2025,0.095,0.0525,0.03,0.06,0.075,0.0325,0.0225,0.0775,0.09,198,0,2,198,2,198,199,0,1,199,1,199,199,0,1,199,1,199,194,0,6,194,6,194,172,0,28,172,28,172,160,1,39,160,39,160,136,3,61,136,61,136,116,7,77,116,77,116,88,17,95,88,95,88,84,18,98,84,98,84,110,5,85,110,85,110,149,3,48,149,48,149,168,0,32,168,32,168,185,0,15,185,15,185,178,1,21,178,21,178,175,1,24,175,24,175,187,0,13,187,13,187,186,0,14,186,14,186,172,0,28,172,28,172,164,2,34,164,34,164,
900, 0.9975,0.9875,0.9925,0.9975,0.9525,0.915,0.9,0.8725,0.71,0.5775,0.2475,0.125,0.075,0.0475,0.0325,0.01,0,0.005,0,0,1,1,0.9975,0.9825,0.955,0.9275,0.905,0.8625,0.755,0.595,0.3325,0.17,0.0625,0.0325,0.0375,0,0.0175,0.0025,0,0,197,0,3,197,3,197,199,0,1,199,1,199,197,0,3,197,3,197,188,0,12,188,12,188,168,2,30,168,30,168,143,1,56,143,56,143,152,1,47,152,47,152,140,5,55,140,55,140,104,13,83,104,83,104,98,9,93,98,93,98,79,18,103,79,103,79,124,3,73,124,73,124,156,0,44,156,44,156,166,1,33,166,33,166,170,0,30,170,30,170,196,0,4,196,4,196,195,0,5,195,5,195,197,0,3,197,3,197,198,0,2,198,2,198,200,0,0,200,0,200,
