gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W1, d0W0.606531, d0W0.995001, d0W1, d0W0.995001, d0W0.606531, d1W1, d1W0.606531, d1W0.995001, d1W1, d1W0.995001, d1W0.606531, d2W1, d2W0.606531, d2W0.995001, d2W1, d2W0.995001, d2W0.606531, d3W1, d3W0.606531, d3W0.995001, d3W1, d3W0.995001, d3W0.606531, d4W1, d4W0.606531, d4W0.995001, d4W1, d4W0.995001, d4W0.606531, d5W1, d5W0.606531, d5W0.995001, d5W1, d5W0.995001, d5W0.606531, d6W1, d6W0.606531, d6W0.995001, d6W1, d6W0.995001, d6W0.606531, d7W1, d7W0.606531, d7W0.995001, d7W1, d7W0.995001, d7W0.606531, d8W1, d8W0.606531, d8W0.995001, d8W1, d8W0.995001, d8W0.606531, d9W1, d9W0.606531, d9W0.995001, d9W1, d9W0.995001, d9W0.606531, d10W1, d10W0.606531, d10W0.995001, d10W1, d10W0.995001, d10W0.606531, d11W1, d11W0.606531, d11W0.995001, d11W1, d11W0.995001, d11W0.606531, d12W1, d12W0.606531, d12W0.995001, d12W1, d12W0.995001, d12W0.606531, d13W1, d13W0.606531, d13W0.995001, d13W1, d13W0.995001, d13W0.606531, d14W1, d14W0.606531, d14W0.995001, d14W1, d14W0.995001, d14W0.606531, d15W1, d15W0.606531, d15W0.995001, d15W1, d15W0.995001, d15W0.606531, d16W1, d16W0.606531, d16W0.995001, d16W1, d16W0.995001, d16W0.606531, d17W1, d17W0.606531, d17W0.995001, d17W1, d17W0.995001, d17W0.606531, d18W1, d18W0.606531, d18W0.995001, d18W1, d18W0.995001, d18W0.606531, d19W1, d19W0.606531, d19W0.995001, d19W1, d19W0.995001, d19W0.606531, 
0, 0.9975,0.985,1,1,1,1,0.99,0.9625,0.97,0.8475,0.675,0.2175,0.09,0.01,0,0,0,0,0,0,1,1,1,1,1,1,1,0.98,0.9625,0.93,0.73,0.2575,0.0925,0.01,0,0.0025,0,0.01,0,0,199,0,1,199,1,0,196,0,4,196,4,0,199,0,1,199,1,0,200,0,0,200,0,0,199,0,1,199,1,0,200,0,0,200,0,0,196,0,4,196,4,0,186,3,11,186,11,3,171,1,28,171,28,1,129,8,63,129,63,8,75,40,85,75,85,40,92,33,75,92,75,33,131,8,61,131,61,8,194,0,6,194,6,0,200,0,0,200,0,0,198,0,2,198,2,0,200,0,0,200,0,0,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,
200, 0.9975,0.9925,0.9975,0.9775,0.9975,1,1,0.975,0.96,0.9,0.725,0.26,0.06,0.02,0.005,0,0,0,0,0,1,1,1,1,0.9975,1,1,0.9825,0.9875,0.9325,0.7125,0.185,0.0575,0.055,0.02,0,0,0,0,0,198,0,2,198,2,0,194,0,6,194,6,0,199,0,1,199,1,0,191,0,9,191,9,0,197,0,3,197,3,0,197,0,3,197,3,0,200,0,0,200,0,0,185,1,14,185,14,1,177,1,22,177,22,1,145,12,43,145,43,12,65,48,87,65,87,48,70,37,93,70,93,37,157,4,39,157,39,4,169,3,28,169,28,3,189,0,11,189,11,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
400, 1,1,1,1,1,1,1,0.995,0.9675,0.93,0.7775,0.3225,0.0425,0.0425,0.015,0.01,0,0,0,0,1,1,1,1,1,0.9975,0.98,0.9925,0.935,0.88,0.695,0.245,0.1,0.015,0,0.005,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,189,1,10,189,10,1,195,0,5,195,5,0,157,2,41,157,41,2,140,11,49,140,49,11,80,38,82,80,82,38,58,47,95,58,95,47,138,10,52,138,52,10,173,2,25,173,25,2,194,0,6,194,6,0,194,0,6,194,6,0,198,0,2,198,2,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
600, 1,1,1,1,0.9975,0.9675,0.985,0.9325,0.98,0.9175,0.7675,0.16,0.035,0.0375,0.01,0.005,0,0,0,0,0.93,0.9675,0.97,0.9875,0.98,0.99,0.9875,0.965,0.9925,0.925,0.6625,0.2175,0.065,0.0375,0.0025,0,0,0,0,0,171,0,29,171,29,0,186,0,14,186,14,0,194,0,6,194,6,0,194,0,6,194,6,0,190,1,9,190,9,1,186,0,14,186,14,0,187,1,12,187,12,1,161,1,38,161,38,1,190,1,9,190,9,1,146,6,48,146,48,6,67,47,86,67,86,47,90,25,85,90,85,25,169,3,28,169,28,3,168,2,30,168,30,2,193,0,7,193,7,0,198,0,2,198,2,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
800, 1,1,1,1,1,1,1,1,0.9875,0.9325,0.6675,0.1675,0.0575,0.0325,0.0325,0.0075,0,0,0,0,1,1,1,1,1,1,1,0.98,0.9525,0.885,0.69,0.1925,0.1075,0.095,0.015,0.0125,0.0025,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,190,0,10,190,10,0,178,0,22,178,22,0,139,5,56,139,56,5,67,48,85,67,85,48,93,42,65,93,65,42,140,10,50,140,50,10,156,1,43,156,43,1,178,0,22,178,22,0,194,0,6,194,6,0,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
1000, 0.9875,0.985,1,0.9975,0.9775,0.9975,0.99,0.9925,1,0.9425,0.79,0.315,0.065,0.015,0.0125,0.0025,0,0,0,0,1,1,1,1,1,1,1,0.9875,0.9725,0.9375,0.78,0.21,0.065,0.0275,0.0025,0,0,0,0,0,195,0,5,195,5,0,196,0,4,196,4,0,200,0,0,200,0,0,197,0,3,197,3,0,190,0,10,190,10,0,198,0,2,198,2,0,197,0,3,197,3,0,190,1,9,190,9,1,192,0,8,192,8,0,169,1,30,169,30,1,93,34,73,93,73,34,78,51,71,78,71,51,153,9,38,153,38,9,183,0,17,183,17,0,196,0,4,196,4,0,199,0,1,199,1,0,200,0,0,200,0,0,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,
1200, 1,1,1,0.9975,0.9975,0.995,1,0.9975,0.99,0.9675,0.7475,0.2225,0.1075,0.045,0.035,0.0125,0.0225,0.025,0.0025,0,1,1,1,1,1,1,0.9825,0.98,0.9875,0.8625,0.6875,0.185,0.0225,0.005,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,198,0,2,198,2,0,193,0,7,193,7,0,189,0,11,189,11,0,191,0,9,191,9,0,151,5,44,151,44,5,98,34,68,98,68,34,104,25,71,104,71,25,156,6,38,156,38,6,180,2,18,180,18,2,192,0,8,192,8,0,195,0,5,195,5,0,193,0,7,193,7,0,191,2,7,191,7,2,200,0,0,200,0,0,200,0,0,200,0,0,
1400, 1,1,1,1,1,1,0.995,0.9825,0.9825,0.8775,0.7425,0.1825,0.07,0.0375,0.0225,0.0125,0.0025,0.0175,0,0.005,1,1,1,1,0.9975,0.9925,0.99,0.975,0.945,0.935,0.7725,0.2175,0.075,0.0125,0.0025,0.005,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,195,0,5,195,5,0,196,0,4,196,4,0,186,0,14,186,14,0,177,2,21,177,21,2,137,3,60,137,60,3,89,39,72,89,72,39,113,22,65,113,65,22,148,4,48,148,48,4,174,2,24,174,24,2,187,1,12,187,12,1,194,0,6,194,6,0,199,0,1,199,1,0,193,0,7,193,7,0,200,0,0,200,0,0,198,0,2,198,2,0,
1600, 1,1,1,1,1,1,1,0.9925,0.9925,0.95,0.7825,0.2125,0.075,0.0275,0.005,0,0,0.015,0.0325,0.0275,1,1,1,1,1,0.9875,0.9675,0.9775,0.9775,0.96,0.8025,0.35,0.1225,0.0825,0.0225,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,1,0,199,0,1,193,0,7,193,7,0,187,0,13,187,13,0,184,0,16,184,16,0,186,1,13,186,13,1,163,4,33,163,33,4,88,42,70,88,70,42,76,36,88,76,88,36,127,16,57,127,57,16,160,4,36,160,36,4,191,0,9,191,9,0,200,0,0,200,0,0,200,0,0,200,0,0,191,0,9,191,9,0,185,0,15,185,15,0,194,0,6,194,6,0,
1800, 1,1,1,1,0.9975,0.9725,0.975,0.975,0.9375,0.9275,0.77,0.1675,0.0775,0.0325,0,0.0025,0,0,0,0,1,1,1,1,1,1,1,0.985,0.99,0.96,0.8,0.2225,0.0475,0.0225,0.0175,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,0,2,198,2,0,190,0,10,190,10,0,192,0,8,192,8,0,177,0,23,177,23,0,167,0,33,167,33,0,166,5,29,166,29,5,112,15,73,112,73,15,90,27,83,90,83,27,143,7,50,143,50,7,177,3,20,177,20,3,194,0,6,194,6,0,198,0,2,198,2,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
