gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W1, d0W0.367879, d0W0.990027, d0W1, d0W0.990027, d0W0.367879, d1W1, d1W0.367879, d1W0.990027, d1W1, d1W0.990027, d1W0.367879, d2W1, d2W0.367879, d2W0.990027, d2W1, d2W0.990027, d2W0.367879, d3W1, d3W0.367879, d3W0.990027, d3W1, d3W0.990027, d3W0.367879, d4W1, d4W0.367879, d4W0.990027, d4W1, d4W0.990027, d4W0.367879, d5W1, d5W0.367879, d5W0.990027, d5W1, d5W0.990027, d5W0.367879, d6W1, d6W0.367879, d6W0.990027, d6W1, d6W0.990027, d6W0.367879, d7W1, d7W0.367879, d7W0.990027, d7W1, d7W0.990027, d7W0.367879, 
0, 1,1,1,0.9775,0.0725,0.005,0,0,1,1,1,0.9575,0.0525,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,179,6,15,179,15,6,163,3,34,163,34,3,197,0,3,197,3,0,200,0,0,200,0,0,200,0,0,200,0,0,
10, 1,1,1,0.9825,0.0825,0,0,0,1,1,1,0.975,0.0025,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,187,1,12,187,12,1,174,2,24,174,24,2,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
20, 1,1,1,0.9625,0.01,0,0,0,1,1,1,0.96,0.005,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,186,10,4,186,4,10,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
30, 1,1,1,0.99,0.015,0,0,0,1,1,1,0.99,0.0275,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,1,0,199,0,1,193,4,3,193,3,4,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
40, 1,1,1,0.985,0.0475,0,0,0,1,1,1,0.985,0.0275,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,196,4,0,196,0,4,171,7,22,171,22,7,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
50, 1,1,0.995,0.9925,0.015,0,0,0,1,1,1,0.985,0.015,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,190,7,3,190,3,7,199,1,0,199,0,1,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,
60, 1,1,1,0.985,0.0075,0,0,0,1,1,1,0.9725,0.0175,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,192,1,7,192,7,1,180,5,15,180,15,5,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
70, 1,1,0.98,0.96,0.0225,0,0,0,1,1,0.9975,0.9825,0.04,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,1,2,197,2,1,179,7,14,179,14,7,192,0,8,192,8,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
80, 1,1,1,0.8925,0,0,0,0,1,1,1,0.9825,0.0375,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,150,4,46,150,46,4,185,0,15,185,15,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
90, 1,1,1,0.9675,0.03,0,0,0,1,1,1,0.9825,0.03,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,183,1,16,183,16,1,190,1,9,190,9,1,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
