gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W1, d0W0.606531, d0W1, d0W1, d0W1, d0W1, d1W1, d1W0.606531, d1W1, d1W1, d1W1, d1W1, d2W1, d2W0.606531, d2W1, d2W1, d2W1, d2W1, d3W1, d3W0.606531, d3W1, d3W1, d3W1, d3W1, d4W1, d4W0.606531, d4W1, d4W1, d4W1, d4W1, d5W1, d5W0.606531, d5W1, d5W1, d5W1, d5W1, d6W1, d6W0.606531, d6W1, d6W1, d6W1, d6W1, d7W1, d7W0.606531, d7W1, d7W1, d7W1, d7W1, d8W1, d8W0.606531, d8W1, d8W1, d8W1, d8W1, d9W1, d9W0.606531, d9W1, d9W1, d9W1, d9W1, d10W1, d10W0.606531, d10W1, d10W1, d10W1, d10W1, d11W1, d11W0.606531, d11W1, d11W1, d11W1, d11W1, d12W1, d12W0.606531, d12W1, d12W1, d12W1, d12W1, d13W1, d13W0.606531, d13W1, d13W1, d13W1, d13W1, d14W1, d14W0.606531, d14W1, d14W1, d14W1, d14W1, d15W1, d15W0.606531, d15W1, d15W1, d15W1, d15W1, d16W1, d16W0.606531, d16W1, d16W1, d16W1, d16W1, d17W1, d17W0.606531, d17W1, d17W1, d17W1, d17W1, d18W1, d18W0.606531, d18W1, d18W1, d18W1, d18W1, d19W1, d19W0.606531, d19W1, d19W1, d19W1, d19W1, 
0, 0.9675,0.98,0.975,0.985,0.9775,0.9375,0.9575,0.85,0.8625,0.7325,0.5125,0.18,0.05,0.0325,0,0,0,0,0,0,0.9825,0.9925,0.9975,1,1,0.9675,0.9375,0.9325,0.87,0.72,0.4975,0.21,0.1025,0.0625,0.0325,0.005,0.0025,0.01,0.015,0.0025,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,198,2,198,198,198,198,194,6,194,194,194,194,191,9,191,191,191,191,185,15,185,185,185,185,195,5,195,195,195,195,195,5,195,195,195,195,199,1,199,199,199,199,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
100, 0.9875,1,0.9975,0.995,0.9925,0.99,0.96,0.8975,0.8875,0.7625,0.495,0.235,0.12,0.0675,0.08,0.025,0,0,0,0,0.99,0.9875,0.9975,0.99,0.98,0.975,0.955,0.9325,0.835,0.79,0.55,0.26,0.1175,0.0525,0.0425,0.0325,0,0.0275,0,0.0025,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,200,0,200,200,200,200,198,2,198,198,198,198,200,0,200,200,200,200,195,5,195,195,195,195,190,10,190,190,190,190,178,22,178,178,178,178,184,16,184,184,184,184,195,5,195,195,195,195,199,1,199,199,199,199,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
200, 1,1,1,1,1,1,1,0.9875,0.9425,0.87,0.7125,0.3275,0.1625,0.07,0.055,0.0425,0.0325,0.0025,0,0,0.945,0.96,0.98,0.995,0.9975,0.99,0.99,0.935,0.8975,0.8225,0.675,0.3975,0.1975,0.085,0.1025,0.06,0.04,0.0175,0.005,0.015,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,198,2,198,198,198,198,193,7,193,193,193,193,183,17,183,183,183,183,184,16,184,184,184,184,196,4,196,196,196,196,198,2,198,198,198,198,196,4,196,196,196,196,198,2,198,198,198,198,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
300, 1,1,1,1,1,0.995,0.9875,0.965,0.9,0.8,0.575,0.3175,0.19,0.135,0.0825,0.0475,0.01,0,0,0,1,1,1,1,0.9975,0.9825,0.9975,0.9825,0.94,0.8575,0.6075,0.36,0.205,0.075,0.01,0.025,0.01,0.025,0.035,0.03,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,199,1,199,199,199,199,199,1,199,199,199,199,194,6,194,194,194,194,175,25,175,175,175,175,186,14,186,186,186,186,192,8,192,192,192,192,195,5,195,195,195,195,198,2,198,198,198,198,200,0,200,200,200,200,199,1,199,199,199,199,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,
400, 1,1,1,0.99,0.99,0.98,0.9725,0.93,0.87,0.7825,0.4175,0.275,0.1575,0.0825,0.0025,0.005,0.0125,0.0025,0,0,1,1,0.9975,0.9675,0.9975,0.995,0.9925,0.9625,0.8775,0.7675,0.4075,0.225,0.1275,0.065,0.015,0.02,0.0725,0.0425,0.005,0.005,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,197,3,197,197,197,197,188,12,188,188,188,188,188,12,188,188,188,188,194,6,194,194,194,194,194,6,194,194,194,194,199,1,199,199,199,199,199,1,199,199,199,199,200,0,200,200,200,200,195,5,195,195,195,195,198,2,198,198,198,198,200,0,200,200,200,200,200,0,200,200,200,200,
500, 1,1,0.9875,0.9875,0.975,0.975,0.96,0.95,0.815,0.57,0.3725,0.22,0.035,0.0375,0.05,0.0375,0.065,0.0475,0.0025,0.035,1,1,0.99,0.975,0.99,0.9425,0.925,0.945,0.8,0.605,0.3475,0.155,0.0875,0.0175,0.0325,0.005,0.0025,0.02,0.0175,0.0225,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,197,3,197,197,197,197,199,1,199,199,199,199,187,13,187,187,187,187,182,18,182,182,182,182,181,19,181,181,181,181,195,5,195,195,195,195,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,199,1,199,199,199,199,
600, 0.9975,0.9875,0.9775,0.9925,0.9725,0.92,0.88,0.7925,0.6,0.3425,0.1325,0.115,0.0375,0.0275,0.035,0.0125,0.0075,0.0025,0,0.0025,1,1,1,0.995,0.9925,0.9625,0.94,0.89,0.5175,0.35,0.09,0.0725,0.04,0.075,0.0625,0.0575,0.0075,0,0,0,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,196,4,196,196,196,196,197,3,197,197,197,197,193,7,193,193,193,193,183,17,183,183,183,183,182,18,182,182,182,182,199,1,199,199,199,199,197,3,197,197,197,197,199,1,199,199,199,199,200,0,200,200,200,200,199,1,199,199,199,199,198,2,198,198,198,198,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
700, 1,1,0.995,0.9925,0.9125,0.8575,0.8375,0.7475,0.515,0.2625,0.165,0.1125,0.1275,0.06,0.005,0,0,0,0,0,1,0.9975,0.995,0.9975,0.975,0.8925,0.81,0.7625,0.4775,0.1675,0.135,0.155,0.0925,0.0625,0.0125,0.02,0.035,0.01,0.0275,0,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,194,6,194,194,194,194,194,6,194,194,194,194,186,14,186,186,186,186,176,24,176,176,176,176,192,8,192,192,192,192,194,6,194,194,194,194,200,0,200,200,200,200,195,5,195,195,195,195,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,200,0,200,200,200,200,
800, 1,1,1,0.98,0.9775,0.9475,0.8425,0.7225,0.3825,0.1575,0.065,0.0325,0.0075,0.0075,0.04,0.03,0,0,0,0,1,0.985,0.99,0.9575,0.915,0.8775,0.8575,0.7125,0.4,0.125,0.0725,0.0125,0.02,0.055,0.015,0.0075,0,0,0,0,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,195,5,195,195,195,195,196,4,196,196,196,196,185,15,185,185,185,185,177,23,177,177,177,177,195,5,195,195,195,195,198,2,198,198,198,198,200,0,200,200,200,200,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
900, 0.9925,0.9925,0.96,0.985,0.98,0.915,0.8325,0.66,0.385,0.2325,0.0725,0.0475,0.0125,0,0,0,0,0,0,0,0.9875,0.9775,0.995,0.9625,0.9,0.905,0.8075,0.64,0.325,0.16,0.1,0.02,0.02,0.0025,0.0025,0,0,0,0,0,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,197,3,197,197,197,197,196,4,196,196,196,196,190,10,190,190,190,190,182,18,182,182,182,182,179,21,179,179,179,179,192,8,192,192,192,192,197,3,197,197,197,197,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
