gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, 
0, 1,1,1,1,1,1,1,1,1,0.9925,0.9775,0.9675,0.8975,0.8475,0.6,0.4075,0.185,0.13,0.045,0.0875,1,1,1,1,1,1,1,1,1,1,1,0.98,0.9325,0.885,0.5575,0.365,0.1625,0.1275,0.0375,0.0925,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
100, 1,1,1,1,1,1,1,1,0.9975,0.9975,0.9925,0.95,0.815,0.7725,0.595,0.3375,0.105,0.0175,0.0025,0.005,1,1,1,1,1,0.995,0.9975,0.995,0.99,0.9975,0.975,0.9575,0.89,0.7425,0.49,0.2025,0.11,0.07,0.0075,0.0375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
200, 1,1,1,1,1,1,1,1,1,0.9975,0.9925,0.99,0.9625,0.9025,0.7475,0.5125,0.2875,0.115,0.1225,0.12,1,1,1,1,1,1,1,1,1,0.9975,1,0.9925,0.9525,0.895,0.705,0.5125,0.39,0.2025,0.1175,0.12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
300, 1,1,1,1,1,1,1,1,1,1,1,0.99,0.95,0.885,0.72,0.4475,0.22,0.12,0.08,0.085,1,1,1,1,1,0.9975,1,1,1,1,0.99,0.9775,0.9475,0.87,0.725,0.525,0.24,0.1125,0.11,0.1175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
400, 1,1,1,1,1,1,1,0.9975,0.9975,0.995,0.995,0.975,0.935,0.935,0.7725,0.545,0.2625,0.1875,0.1,0.145,1,1,1,1,1,1,1,1,0.9875,0.9725,0.975,0.975,0.925,0.81,0.74,0.5275,0.17,0.0625,0.06,0.055,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
500, 1,1,1,1,1,1,1,1,1,1,1,0.98,0.9425,0.74,0.4875,0.29,0.15,0.0575,0.02,0.0175,1,1,1,0.985,1,1,1,1,1,0.9825,0.99,0.96,0.9275,0.775,0.5925,0.41,0.15,0.07,0.0375,0.03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
600, 1,1,1,1,1,1,1,1,1,1,1,0.9375,0.8425,0.64,0.4325,0.2175,0.09,0.0375,0.0325,0.0025,1,1,1,1,1,1,1,1,0.9975,0.99,0.975,0.925,0.77,0.5675,0.355,0.1975,0.0775,0.035,0.0075,0.0025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
700, 1,1,1,1,1,0.995,0.995,0.99,1,1,0.9825,0.915,0.795,0.6325,0.435,0.2575,0.08,0.0325,0.0225,0.0075,1,1,1,1,1,1,1,0.995,1,0.9975,0.9625,0.905,0.73,0.54,0.2975,0.175,0.11,0.03,0.015,0.0175,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
800, 1,1,1,1,1,1,1,1,0.9975,0.98,0.9325,0.8475,0.8075,0.61,0.335,0.1425,0.09,0.0175,0.01,0.0025,1,1,1,1,1,1,1,1,1,0.985,0.9475,0.8875,0.7375,0.6125,0.325,0.1675,0.08,0.0625,0.0625,0.0275,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
900, 1,1,1,1,1,1,1,1,0.9925,0.9875,0.915,0.885,0.72,0.52,0.2675,0.18,0.09,0.03,0.035,0.0325,1,1,1,1,1,1,1,1,1,0.9975,0.99,0.935,0.795,0.555,0.3425,0.135,0.1275,0.0575,0.0275,0.0125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
