gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, 
0, 0.08,0.076,0.0725,0.0645,0.079,0.0845,0.071,0.054,0.0815,0.0605,0.072,0.0765,0.0765,0.0635,0.097,0.0665,0.0675,0.0695,0.091,0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,0.999992,
100, 0.1265,0.1195,0.122,0.11,0.0745,0.084,0.0705,0.0705,0.0785,0.066,0.044,0.046,0.0435,0.0315,0.0425,0.059,0.076,0.0735,0.052,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,0.999976,
200, 0.16,0.1575,0.1795,0.1735,0.1205,0.0985,0.066,0.1,0.073,0.0745,0.063,0.0665,0.045,0.0865,0.045,0.038,0.0395,0.0315,0.0175,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999951,0.999951,0.999951,0.999951,0.999951,0.999951,0.999951,0.999951,0.999951,0.999951,0.999951,0.999951,0.999951,0.999951,0.999951,0.999951,0.999951,0.999951,0.999951,0.999951,
300, 0.2295,0.202,0.174,0.1485,0.155,0.1335,0.1745,0.1305,0.1185,0.102,0.0685,0.0775,0.058,0.0285,0.0395,0.0295,0.024,0.006,0.0205,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999935,0.999935,0.999935,0.999935,0.999935,0.999935,0.999935,0.999935,0.999935,0.999935,0.999935,0.999935,0.999935,0.999935,0.999935,0.999935,0.999935,0.999935,0.999935,0.999935,
400, 0.127,0.1495,0.1605,0.168,0.192,0.183,0.127,0.113,0.1485,0.13,0.1245,0.098,0.0595,0.067,0.0295,0.0195,0.0175,0.011,0.0105,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,0.999966,
500, 0.094,0.118,0.1305,0.11,0.1195,0.117,0.107,0.092,0.097,0.1205,0.056,0.076,0.082,0.087,0.0605,0.0495,0.038,0.032,0.016,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,
600, 0.06,0.0555,0.046,0.07,0.0645,0.081,0.157,0.141,0.108,0.0975,0.096,0.09,0.0785,0.06,0.0275,0.0235,0.0315,0.0615,0.0495,0.0605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,0.999993,
700, 0.019,0.029,0.0665,0.092,0.1025,0.0725,0.109,0.069,0.0665,0.099,0.108,0.096,0.065,0.089,0.0575,0.036,0.0365,0.036,0.0435,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,
800, 0.084,0.0945,0.1015,0.116,0.1125,0.0825,0.109,0.111,0.1045,0.097,0.0835,0.0875,0.074,0.071,0.0885,0.0755,0.065,0.0875,0.101,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,0.999989,
900, 0.038,0.045,0.0735,0.1015,0.1385,0.1475,0.13,0.11,0.0795,0.063,0.0645,0.0605,0.044,0.0595,0.0585,0.0705,0.0625,0.0605,0.058,0.0695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999997,0.999997,0.999997,0.999997,0.999997,0.999997,0.999997,0.999997,0.999997,0.999997,0.999997,0.999997,0.999997,0.999997,0.999997,0.999997,0.999997,0.999997,0.999997,0.999997,
