gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, 
0, 0.9445,0.9485,0.934,0.9105,0.8675,0.8415,0.8545,0.885,0.901,0.923,0.9245,0.927,0.9375,0.9225,0.9435,0.929,0.9115,0.906,0.926,0.916,0.772,0.8025,0.7865,0.8195,0.8425,0.844,0.865,0.9045,0.8335,0.7935,0.7565,0.783,0.7755,0.698,0.6255,0.66,0.6915,0.6825,0.7075,0.7285,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
100, 0.908,0.9185,0.9195,0.9035,0.904,0.905,0.878,0.8665,0.8755,0.9095,0.927,0.9555,0.938,0.9565,0.9605,0.931,0.907,0.891,0.8815,0.896,0.7535,0.789,0.8025,0.845,0.844,0.818,0.8025,0.8135,0.7815,0.7725,0.797,0.746,0.7145,0.7495,0.7035,0.639,0.608,0.609,0.608,0.5815,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
200, 0.869,0.8845,0.9095,0.8995,0.909,0.938,0.9275,0.9315,0.954,0.949,0.949,0.9535,0.9755,0.974,0.9625,0.9505,0.943,0.92,0.915,0.906,0.877,0.831,0.855,0.8665,0.791,0.791,0.809,0.8105,0.792,0.7355,0.7985,0.763,0.7035,0.687,0.69,0.6435,0.599,0.629,0.6095,0.583,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
300, 0.882,0.8855,0.8835,0.9095,0.892,0.9005,0.916,0.932,0.9525,0.95,0.974,0.978,0.965,0.9645,0.946,0.9375,0.9475,0.962,0.956,0.9585,0.8035,0.7835,0.796,0.8145,0.8385,0.834,0.821,0.8185,0.7945,0.777,0.6995,0.7245,0.709,0.6945,0.6925,0.66,0.6565,0.6575,0.599,0.5945,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
400, 0.937,0.9475,0.9585,0.921,0.9095,0.922,0.9085,0.922,0.9435,0.955,0.9465,0.953,0.9715,0.9775,0.977,0.9765,0.976,0.973,0.9495,0.969,0.768,0.7945,0.836,0.85,0.8805,0.871,0.8215,0.829,0.7695,0.774,0.717,0.688,0.687,0.6945,0.6625,0.7215,0.725,0.7055,0.679,0.675,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
500, 0.879,0.886,0.9335,0.933,0.9525,0.9635,0.953,0.934,0.9165,0.9185,0.937,0.96,0.967,0.977,0.9805,0.9795,0.955,0.966,0.958,0.9645,0.8475,0.8475,0.8245,0.8435,0.8455,0.835,0.82,0.8155,0.809,0.758,0.713,0.7315,0.7145,0.715,0.6845,0.63,0.66,0.6595,0.7035,0.683,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
600, 0.8855,0.893,0.9285,0.9315,0.9375,0.946,0.96,0.9715,0.9775,0.968,0.978,0.9705,0.9735,0.979,0.975,0.9755,0.979,0.979,0.978,0.963,0.8925,0.87,0.8865,0.8555,0.833,0.8175,0.7595,0.7855,0.744,0.7485,0.7085,0.696,0.6325,0.673,0.6255,0.587,0.612,0.5755,0.57,0.5895,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
700, 0.856,0.879,0.8895,0.892,0.919,0.9395,0.965,0.9755,0.99,0.9905,0.9695,0.9885,0.9865,0.968,0.981,0.979,0.9685,0.974,0.989,0.995,0.8975,0.8865,0.871,0.8475,0.7955,0.796,0.776,0.78,0.796,0.748,0.7135,0.6155,0.583,0.5645,0.5735,0.62,0.604,0.587,0.573,0.5715,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
800, 0.908,0.9065,0.8765,0.8705,0.863,0.884,0.8695,0.894,0.9495,0.947,0.949,0.9375,0.9655,0.978,0.977,0.986,0.9875,0.993,0.984,0.982,0.845,0.857,0.8275,0.7995,0.7755,0.7355,0.764,0.7425,0.702,0.696,0.643,0.6135,0.659,0.6325,0.627,0.5755,0.5715,0.544,0.525,0.5345,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
900, 0.8985,0.8845,0.899,0.913,0.9105,0.912,0.9455,0.975,0.958,0.9485,0.9525,0.962,0.979,0.985,0.9865,0.992,0.984,0.9945,0.993,0.9905,0.8415,0.852,0.83,0.813,0.8,0.791,0.768,0.7225,0.696,0.738,0.7455,0.7515,0.7245,0.696,0.615,0.591,0.5845,0.561,0.5785,0.5535,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
