gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, 
0, 1,1,1,0.995,0.9575,0.8575,0.4475,0.0575,0.0025,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.96,0.8575,0.455,0.0575,0.0025,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
100, 1,1,1,1,0.995,0.9125,0.48,0.0875,0.015,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.9975,0.985,0.87,0.55,0.095,0.025,0.0025,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
200, 1,1,1,1,1,0.9175,0.5575,0.1675,0.0225,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.995,0.995,0.96,0.6025,0.105,0.01,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
300, 1,1,1,1,0.995,0.955,0.6625,0.16,0.0175,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.9975,0.9575,0.675,0.15,0.015,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
400, 1,1,1,1,0.9925,0.9475,0.69,0.185,0.03,0.005,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.9925,0.9475,0.7,0.205,0.02,0.0025,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
500, 1,1,1,1,1,0.9725,0.715,0.29,0.0225,0.0075,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.995,0.99,0.7325,0.255,0.035,0.005,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
600, 1,1,1,1,1,0.9775,0.8,0.3425,0.0925,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.995,0.9725,0.8,0.28,0.05,0.005,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
700, 1,1,1,1,1,0.9925,0.9475,0.6,0.115,0.005,0.0025,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.99,0.9425,0.585,0.1025,0.0125,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
800, 1,1,1,1,1,0.995,0.94,0.6125,0.1,0.02,0.0025,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.995,0.93,0.655,0.11,0.01,0.0025,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
900, 1,1,1,1,1,0.9875,0.915,0.3075,0.0475,0.0125,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.9875,0.8875,0.265,0.0475,0.005,0.0025,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
