gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d0l8, d1l8, d2l8, d3l8, d4l8, d5l8, d6l8, d7l8, d0l9, d1l9, d2l9, d3l9, d4l9, d5l9, d6l9, d7l9, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, 
0, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.905,0.895,0.85,0.8425,0.855,0.7925,0.8475,0.7975,0.0825,0.0775,0.0925,0.11,0.0825,0.0975,0.1125,0.155,0,0,0,0,0,0,0,0,0.4975,0.5075,0.485,0.4525,0.46,0.52,0.5475,0.5675,0.685,0.7125,0.7475,0.7425,0.735,0.7175,0.7775,0.745,1,1,1,1,1,1,1,1,0.24,0.2625,0.2575,0.3675,0.3425,0.26,0.2975,0.2875,1,1,1,1,1,1,1,1,0.99959,0.99959,0.99959,0.99959,0.99959,0.99959,0.99959,0.99959,
10, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9025,0.835,0.83,0.8675,0.845,0.8625,0.8425,0.845,0.125,0.09,0.105,0.11,0.075,0.0625,0.0925,0.14,0,0,0,0,0,0,0,0,0.5,0.4975,0.45,0.465,0.4525,0.4225,0.465,0.4475,0.7425,0.7175,0.7175,0.7225,0.7525,0.74,0.7325,0.7225,1,1,1,1,1,1,1,1,0.28,0.22,0.2575,0.1925,0.235,0.22,0.19,0.2125,1,1,1,1,1,1,1,1,0.999585,0.999585,0.999585,0.999585,0.999585,0.999585,0.999585,0.999585,
20, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.83,0.8275,0.8225,0.845,0.865,0.825,0.805,0.8825,0.075,0.06,0.1125,0.075,0.0875,0.125,0.12,0.12,0,0,0,0,0,0,0,0,0.4875,0.4025,0.45,0.42,0.37,0.315,0.4175,0.365,0.635,0.5975,0.625,0.6825,0.71,0.7475,0.685,0.6825,1,1,1,1,1,1,1,1,0.175,0.145,0.1775,0.2375,0.1925,0.2475,0.235,0.235,1,1,1,1,1,1,1,1,0.999576,0.999576,0.999576,0.999576,0.999576,0.999576,0.999576,0.999576,
30, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.855,0.865,0.8475,0.89,0.8475,0.91,0.905,0.8925,0.0575,0.075,0.085,0.1,0.09,0.08,0.115,0.075,0,0,0,0,0,0,0,0,0.3925,0.43,0.3525,0.4075,0.355,0.3825,0.375,0.3425,0.63,0.575,0.6375,0.655,0.6425,0.6275,0.6075,0.6675,1,1,1,1,1,1,1,1,0.13,0.1825,0.2425,0.265,0.2475,0.2475,0.2375,0.19,1,1,1,1,1,1,1,1,0.999617,0.999617,0.999617,0.999617,0.999617,0.999617,0.999617,0.999617,
40, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.805,0.8325,0.8275,0.8275,0.8425,0.87,0.8675,0.86,0.085,0.1175,0.085,0.12,0.1125,0.0925,0.0925,0.08,0,0,0,0,0,0,0,0,0.3925,0.4125,0.36,0.4075,0.4525,0.3525,0.335,0.3625,0.5075,0.52,0.5375,0.54,0.5725,0.6125,0.6125,0.64,1,1,1,1,1,1,1,1,0.2,0.245,0.2175,0.2525,0.2675,0.2625,0.2475,0.2825,1,1,1,1,1,1,1,1,0.999506,0.999506,0.999506,0.999506,0.999506,0.999506,0.999506,0.999506,
50, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8025,0.84,0.8025,0.82,0.85,0.85,0.855,0.8875,0.1,0.1075,0.095,0.0875,0.1075,0.0825,0.085,0.0875,0,0,0,0,0,0,0,0,0.36,0.39,0.4025,0.425,0.37,0.3475,0.335,0.35,0.445,0.495,0.5225,0.4775,0.5425,0.5,0.5525,0.5575,1,1,1,1,1,1,1,1,0.2775,0.27,0.3025,0.2825,0.2475,0.2825,0.2925,0.33,1,1,1,1,1,1,1,1,0.999493,0.999493,0.999493,0.999493,0.999493,0.999493,0.999493,0.999493,
60, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8675,0.8825,0.8675,0.845,0.855,0.83,0.86,0.82,0.1225,0.0975,0.11,0.0825,0.1075,0.0875,0.0775,0.08,0,0,0,0,0,0,0,0,0.3175,0.3875,0.3575,0.4225,0.4175,0.38,0.4025,0.3525,0.46,0.4425,0.455,0.5225,0.485,0.5275,0.525,0.625,1,1,1,1,1,1,1,1,0.3475,0.3275,0.31,0.2975,0.2475,0.2875,0.31,0.2875,1,1,1,1,1,1,1,1,0.999461,0.999461,0.999461,0.999461,0.999461,0.999461,0.999461,0.999461,
70, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.84,0.8475,0.8775,0.9,0.8725,0.8525,0.8425,0.8575,0.08,0.0575,0.065,0.07,0.0975,0.105,0.0775,0.125,0,0,0,0,0,0,0,0,0.39,0.4325,0.46,0.4525,0.3975,0.3975,0.4325,0.3925,0.4125,0.48,0.4525,0.4625,0.46,0.4875,0.515,0.6,1,1,1,1,1,1,1,1,0.3125,0.2975,0.2925,0.275,0.275,0.295,0.2825,0.3125,1,1,1,1,1,1,1,1,0.999437,0.999437,0.999437,0.999437,0.999437,0.999437,0.999437,0.999437,
80, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.86,0.85,0.87,0.895,0.9025,0.8475,0.835,0.845,0.05,0.0525,0.0625,0.0925,0.125,0.12,0.1225,0.085,0,0,0,0,0,0,0,0,0.445,0.4375,0.5025,0.46,0.4175,0.4375,0.4225,0.3825,0.38,0.4425,0.44,0.445,0.4825,0.5325,0.5475,0.5625,1,1,1,1,1,1,1,1,0.2575,0.2575,0.235,0.2125,0.2125,0.215,0.235,0.24,1,1,1,1,1,1,1,1,0.999388,0.999388,0.999388,0.999388,0.999388,0.999388,0.999388,0.999388,
90, 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.84,0.835,0.8875,0.9125,0.89,0.8775,0.89,0.8525,0.1125,0.1225,0.1125,0.085,0.11,0.08,0.1425,0.0975,0,0,0,0,0,0,0,0,0.3725,0.41,0.3975,0.455,0.5025,0.4575,0.45,0.485,0.54,0.5375,0.56,0.48,0.545,0.5775,0.535,0.555,1,1,1,1,1,1,1,1,0.2725,0.27,0.25,0.255,0.2275,0.25,0.2525,0.2875,1,1,1,1,1,1,1,1,0.999394,0.999394,0.999394,0.999394,0.999394,0.999394,0.999394,0.999394,
