gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d0l8, d1l8, d2l8, d3l8, d4l8, d5l8, d6l8, d7l8, d0l9, d1l9, d2l9, d3l9, d4l9, d5l9, d6l9, d7l9, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, 
0, 0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.55,0.585,0.6175,0.6575,0.655,0.65,0.7,0.695,0.9025,0.9375,0.9475,0.9725,0.9675,0.9475,0.97,0.9825,0.535,0.6125,0.5675,0.515,0.4675,0.58,0.5725,0.555,0.835,0.8225,0.83,0.835,0.78,0.7625,0.77,0.775,0,0,0,0,0,0,0,0,0.21,0.2625,0.29,0.3275,0.31,0.3125,0.3225,0.3275,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.998657,0.998657,0.998657,0.998657,0.998657,0.998657,0.998657,0.998657,
10, 0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.585,0.6275,0.6575,0.6425,0.6625,0.72,0.7225,0.665,0.9075,0.95,0.9425,0.9525,0.9525,0.965,0.98,0.9625,0.6025,0.525,0.5525,0.5325,0.5425,0.565,0.5725,0.505,0.875,0.8475,0.805,0.76,0.74,0.755,0.6925,0.755,0,0,0,0,0,0,0,0,0.245,0.205,0.235,0.2775,0.325,0.2975,0.2825,0.2675,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.998788,0.998788,0.998788,0.998788,0.998788,0.998788,0.998788,0.998788,
20, 0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.6375,0.61,0.6325,0.665,0.75,0.73,0.7025,0.7125,0.9475,0.9425,0.955,0.94,0.965,0.9725,0.975,0.975,0.575,0.5775,0.5525,0.58,0.545,0.55,0.5625,0.605,0.785,0.8225,0.805,0.7625,0.7325,0.7225,0.7325,0.7375,0,0,0,0,0,0,0,0,0.2025,0.21,0.1875,0.2225,0.2325,0.2525,0.2625,0.2625,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.998704,0.998704,0.998704,0.998704,0.998704,0.998704,0.998704,0.998704,
30, 0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.585,0.5425,0.615,0.6675,0.6975,0.695,0.74,0.73,0.9325,0.935,0.965,0.955,0.93,0.9425,0.935,0.91,0.615,0.6075,0.495,0.4575,0.465,0.5025,0.53,0.485,0.7975,0.8,0.825,0.775,0.7475,0.7225,0.8,0.84,0,0,0,0,0,0,0,0,0.165,0.2075,0.2125,0.2275,0.255,0.27,0.32,0.29,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.998691,0.998691,0.998691,0.998691,0.998691,0.998691,0.998691,0.998691,
40, 0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.525,0.525,0.61,0.675,0.745,0.7025,0.76,0.7575,0.97,0.9475,0.97,0.96,0.975,0.975,0.975,0.96,0.535,0.5325,0.5875,0.5575,0.485,0.4975,0.475,0.4725,0.8,0.78,0.76,0.795,0.785,0.7425,0.7575,0.8025,0,0,0,0,0,0,0,0,0.215,0.2575,0.275,0.2425,0.2375,0.2925,0.3475,0.275,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.998598,0.998598,0.998598,0.998598,0.998598,0.998598,0.998598,0.998598,
50, 0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.65,0.6225,0.6975,0.7025,0.735,0.75,0.76,0.725,0.9275,0.9375,0.94,0.9525,0.9675,0.9725,0.9775,0.985,0.58,0.5875,0.57,0.52,0.5025,0.505,0.5075,0.5025,0.8575,0.8625,0.7925,0.755,0.7825,0.7575,0.78,0.7775,0,0,0,0,0,0,0,0,0.275,0.3125,0.34,0.3,0.3125,0.305,0.2775,0.29,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.998816,0.998816,0.998816,0.998816,0.998816,0.998816,0.998816,0.998816,
60, 0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.7075,0.695,0.72,0.6525,0.72,0.7575,0.78,0.7925,0.9325,0.9275,0.935,0.9625,0.97,0.9575,0.955,0.955,0.56,0.5025,0.5725,0.5025,0.455,0.4525,0.4475,0.42,0.8075,0.7875,0.8225,0.7625,0.7525,0.765,0.8,0.815,0,0,0,0,0,0,0,0,0.225,0.275,0.295,0.31,0.295,0.295,0.28,0.33,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.998746,0.998746,0.998746,0.998746,0.998746,0.998746,0.998746,0.998746,
70, 0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.7375,0.7625,0.77,0.765,0.7425,0.76,0.7425,0.7775,0.8975,0.89,0.95,0.9575,0.955,0.96,0.95,0.9425,0.4625,0.49,0.5025,0.5375,0.4975,0.405,0.385,0.4375,0.8175,0.8175,0.8075,0.8325,0.82,0.81,0.8175,0.825,0,0,0,0,0,0,0,0,0.28,0.3175,0.32,0.325,0.3575,0.2425,0.2275,0.3225,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.99872,0.99872,0.99872,0.99872,0.99872,0.99872,0.99872,0.99872,
80, 0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.8525,0.8275,0.7525,0.755,0.7425,0.7525,0.765,0.72,0.92,0.925,0.955,0.97,0.955,0.9725,0.9575,0.9575,0.47,0.48,0.4625,0.53,0.505,0.53,0.4725,0.485,0.765,0.7925,0.795,0.8175,0.82,0.78,0.7925,0.7875,0,0,0,0,0,0,0,0,0.3275,0.3475,0.3425,0.285,0.255,0.285,0.2475,0.2075,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.998766,0.998766,0.998766,0.998766,0.998766,0.998766,0.998766,0.998766,
90, 0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.805,0.7925,0.8025,0.76,0.7925,0.775,0.74,0.7425,0.8825,0.9275,0.95,0.945,0.9425,0.985,0.98,0.96,0.5675,0.565,0.47,0.47,0.5625,0.5325,0.5675,0.5825,0.805,0.8275,0.8075,0.83,0.7825,0.7525,0.77,0.775,0,0,0,0,0,0,0,0,0.3925,0.4175,0.3775,0.3125,0.2975,0.275,0.21,0.25,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.998813,0.998813,0.998813,0.998813,0.998813,0.998813,0.998813,0.998813,
