gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d0l8, d1l8, d2l8, d3l8, d4l8, d5l8, d6l8, d7l8, d0l9, d1l9, d2l9, d3l9, d4l9, d5l9, d6l9, d7l9, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, 
0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0.7025,0.75,0.7525,0.7225,0.71,0.69,0.595,0.5975,0.5625,0.585,0.5275,0.48,0.56,0.5925,0.5725,0.945,0.925,0.895,0.915,0.95,0.93,0.9025,0.8975,0.49,0.475,0.46,0.495,0.4275,0.43,0.445,0.4575,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.195,0.1875,0.1675,0.19,0.1275,0.1375,0.1025,0.0775,0,0,0,0,0,0,0,0,0.999398,0.999398,0.999398,0.999398,0.999398,0.999398,0.999398,0.999398,
10, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7175,0.7475,0.7075,0.72,0.7525,0.6975,0.6725,0.675,0.59,0.5175,0.5425,0.52,0.5575,0.5425,0.5675,0.565,0.925,0.88,0.9275,0.85,0.86,0.85,0.87,0.8725,0.54,0.5225,0.565,0.475,0.4425,0.4375,0.4825,0.48,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.225,0.18,0.16,0.17,0.1225,0.125,0.125,0.1325,0,0,0,0,0,0,0,0,0.999203,0.999203,0.999203,0.999203,0.999203,0.999203,0.999203,0.999203,
20, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6525,0.67,0.66,0.64,0.68,0.67,0.66,0.69,0.55,0.615,0.6475,0.6225,0.565,0.5325,0.52,0.5575,0.8275,0.8575,0.875,0.915,0.89,0.8675,0.8925,0.8825,0.505,0.5075,0.53,0.5075,0.4825,0.46,0.425,0.345,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.1325,0.1225,0.11,0.105,0.125,0.1125,0.0875,0.0825,0,0,0,0,0,0,0,0,0.998843,0.998843,0.998843,0.998843,0.998843,0.998843,0.998843,0.998843,
30, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6625,0.6625,0.7125,0.68,0.6925,0.6825,0.67,0.67,0.6325,0.5875,0.57,0.545,0.5175,0.53,0.535,0.4925,0.86,0.885,0.8625,0.8425,0.8825,0.9125,0.9025,0.885,0.4625,0.4375,0.45,0.4525,0.4775,0.4125,0.4925,0.425,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.0875,0.085,0.0775,0.1,0.085,0.1075,0.1,0.1175,0,0,0,0,0,0,0,0,0.999035,0.999035,0.999035,0.999035,0.999035,0.999035,0.999035,0.999035,
40, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705,0.6975,0.6975,0.7275,0.735,0.69,0.6725,0.5925,0.6175,0.595,0.635,0.535,0.5725,0.5575,0.585,0.5575,0.795,0.81,0.8525,0.8725,0.9,0.9,0.88,0.8775,0.4725,0.4375,0.4325,0.485,0.4275,0.4375,0.455,0.41,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.07,0.1,0.0825,0.125,0.14,0.14,0.11,0.135,0,0,0,0,0,0,0,0,0.998873,0.998873,0.998873,0.998873,0.998873,0.998873,0.998873,0.998873,
50, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7225,0.71,0.73,0.73,0.6875,0.7625,0.72,0.735,0.535,0.5775,0.5775,0.6325,0.475,0.5,0.53,0.5275,0.8775,0.89,0.915,0.905,0.895,0.925,0.945,0.93,0.525,0.515,0.5275,0.55,0.5125,0.4825,0.42,0.4275,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.1525,0.1375,0.1325,0.1275,0.21,0.15,0.1275,0.1425,0,0,0,0,0,0,0,0,0.998732,0.998732,0.998732,0.998732,0.998732,0.998732,0.998732,0.998732,
60, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7175,0.695,0.7075,0.7,0.705,0.6675,0.7075,0.6725,0.54,0.5225,0.575,0.5575,0.5025,0.5125,0.5425,0.5975,0.8725,0.88,0.8675,0.8825,0.895,0.92,0.93,0.93,0.575,0.5725,0.56,0.5,0.52,0.455,0.39,0.4175,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.1325,0.1475,0.1475,0.1475,0.1625,0.175,0.1725,0.1575,0,0,0,0,0,0,0,0,0.999245,0.999245,0.999245,0.999245,0.999245,0.999245,0.999245,0.999245,
70, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6575,0.71,0.7125,0.71,0.6475,0.605,0.6775,0.685,0.615,0.6,0.605,0.62,0.565,0.5875,0.52,0.57,0.895,0.905,0.915,0.9375,0.8975,0.9,0.8625,0.885,0.52,0.53,0.4975,0.4475,0.4375,0.455,0.4525,0.43,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.23,0.2425,0.195,0.175,0.175,0.195,0.19,0.1925,0,0,0,0,0,0,0,0,0.99892,0.99892,0.99892,0.99892,0.99892,0.99892,0.99892,0.99892,
80, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.65,0.7075,0.74,0.655,0.7575,0.7,0.675,0.6275,0.6125,0.6125,0.5425,0.535,0.58,0.585,0.5575,0.94,0.9275,0.925,0.9125,0.925,0.9,0.91,0.9025,0.615,0.6125,0.61,0.5575,0.51,0.49,0.435,0.385,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.205,0.1875,0.135,0.125,0.195,0.1625,0.13,0.1975,0,0,0,0,0,0,0,0,0.999309,0.999309,0.999309,0.999309,0.999309,0.999309,0.999309,0.999309,
90, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6825,0.7125,0.705,0.6825,0.7025,0.7825,0.7325,0.745,0.5425,0.5575,0.605,0.575,0.62,0.61,0.6075,0.62,0.97,0.9825,0.9575,0.9525,0.9375,0.9175,0.91,0.8625,0.5575,0.56,0.54,0.6025,0.5225,0.545,0.4725,0.5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.22,0.2125,0.2175,0.13,0.15,0.16,0.11,0.1075,0,0,0,0,0,0,0,0,0.999516,0.999516,0.999516,0.999516,0.999516,0.999516,0.999516,0.999516,
