gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W, d0W, d0W, d0W, d0W, d0W, d1W, d1W, d1W, d1W, d1W, d1W, d2W, d2W, d2W, d2W, d2W, d2W, d3W, d3W, d3W, d3W, d3W, d3W, d4W, d4W, d4W, d4W, d4W, d4W, d5W, d5W, d5W, d5W, d5W, d5W, d6W, d6W, d6W, d6W, d6W, d6W, d7W, d7W, d7W, d7W, d7W, d7W, 
0, 0.7375,0.8325,0.7275,0.7,0.6825,0.7525,0.815,0.73,0.55,0.49,0.49,0.475,0.585,0.615,0.6,0.5275,0.998651,0.998651,0.998651,0.998651,0.998651,0.998651,0.998651,0.998651,
10, 0.8725,0.8,0.7125,0.6175,0.6575,0.7825,0.85,0.7775,0.5775,0.51,0.5425,0.4975,0.5625,0.5625,0.515,0.55,0.998686,0.998686,0.998686,0.998686,0.998686,0.998686,0.998686,0.998686,
20, 0.845,0.7925,0.73,0.715,0.68,0.72,0.8225,0.755,0.6075,0.47,0.4975,0.53,0.535,0.565,0.53,0.5575,0.998623,0.998623,0.998623,0.998623,0.998623,0.998623,0.998623,0.998623,
30, 0.85,0.6825,0.7175,0.7475,0.695,0.7475,0.885,0.805,0.485,0.4625,0.525,0.54,0.58,0.44,0.6,0.4525,0.998173,0.998173,0.998173,0.998173,0.998173,0.998173,0.998173,0.998173,
40, 0.7475,0.735,0.7475,0.7475,0.6775,0.7975,0.8475,0.865,0.42,0.4775,0.5125,0.5675,0.4475,0.4725,0.555,0.495,0.998124,0.998124,0.998124,0.998124,0.998124,0.998124,0.998124,0.998124,
50, 0.68,0.7025,0.695,0.8,0.7675,0.795,0.7775,0.78,0.3875,0.415,0.5325,0.5325,0.5025,0.465,0.4275,0.4875,0.998243,0.998243,0.998243,0.998243,0.998243,0.998243,0.998243,0.998243,
60, 0.7875,0.775,0.8,0.7775,0.7575,0.745,0.78,0.8325,0.415,0.4275,0.4375,0.6025,0.4925,0.5325,0.4425,0.5325,0.998419,0.998419,0.998419,0.998419,0.998419,0.998419,0.998419,0.998419,
70, 0.7175,0.77,0.83,0.8125,0.7775,0.785,0.7575,0.885,0.47,0.4525,0.4475,0.4675,0.5575,0.57,0.5,0.4575,0.998349,0.998349,0.998349,0.998349,0.998349,0.998349,0.998349,0.998349,
80, 0.875,0.8625,0.81,0.77,0.705,0.785,0.7925,0.725,0.43,0.555,0.4825,0.5275,0.5725,0.6025,0.505,0.51,0.998089,0.998089,0.998089,0.998089,0.998089,0.998089,0.998089,0.998089,
90, 0.875,0.8675,0.7725,0.715,0.7875,0.7825,0.7825,0.635,0.56,0.455,0.4475,0.505,0.4725,0.4775,0.4925,0.535,0.998517,0.998517,0.998517,0.998517,0.998517,0.998517,0.998517,0.998517,
