gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, 
0, 0.662,0.663,0.66975,0.67425,0.6875,0.705,0.712,0.703,0.698,0.695,0.69825,0.6835,0.69875,0.67775,0.6875,0.671,0.668,0.6785,0.68375,0.69,0.55525,0.55675,0.565,0.583,0.57275,0.55025,0.5425,0.5305,0.54225,0.56475,0.56075,0.55375,0.55375,0.55225,0.55425,0.56,0.54975,0.551,0.5365,0.52525,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,
100, 0.73775,0.713,0.7165,0.72125,0.70125,0.70725,0.71925,0.7195,0.725,0.69975,0.717,0.708,0.7025,0.6975,0.7115,0.697,0.684,0.66925,0.66125,0.661,0.52575,0.50525,0.50575,0.53525,0.5395,0.5455,0.562,0.56725,0.55775,0.56075,0.5485,0.526,0.53425,0.5395,0.5335,0.5525,0.55975,0.5535,0.5575,0.543,0.999944,0.999944,0.999944,0.999944,0.999944,0.999944,0.999944,0.999944,0.999944,0.999944,0.999944,0.999944,0.999944,0.999944,0.999944,0.999944,0.999944,0.999944,0.999944,0.999944,
200, 0.7075,0.7305,0.72475,0.7245,0.731,0.73,0.7185,0.69675,0.70975,0.69525,0.70325,0.71575,0.705,0.7145,0.6905,0.70225,0.692,0.7,0.70675,0.69025,0.56925,0.567,0.561,0.573,0.603,0.60925,0.61475,0.59525,0.57875,0.562,0.554,0.542,0.5425,0.541,0.55,0.54875,0.542,0.5565,0.536,0.5345,0.999958,0.999958,0.999958,0.999958,0.999958,0.999958,0.999958,0.999958,0.999958,0.999958,0.999958,0.999958,0.999958,0.999958,0.999958,0.999958,0.999958,0.999958,0.999958,0.999958,
300, 0.72475,0.73525,0.7375,0.737,0.734,0.73375,0.7235,0.75075,0.738,0.7385,0.73775,0.7225,0.723,0.7375,0.7455,0.72475,0.7125,0.7085,0.699,0.6895,0.60975,0.62375,0.609,0.61025,0.6035,0.59425,0.595,0.594,0.57875,0.58175,0.58,0.55575,0.56475,0.541,0.56825,0.559,0.565,0.546,0.56825,0.555,0.999962,0.999962,0.999962,0.999962,0.999962,0.999962,0.999962,0.999962,0.999962,0.999962,0.999962,0.999962,0.999962,0.999962,0.999962,0.999962,0.999962,0.999962,0.999962,0.999962,
400, 0.809,0.813,0.80425,0.811,0.80925,0.8075,0.808,0.81825,0.8075,0.8005,0.782,0.7725,0.77325,0.772,0.7785,0.766,0.75325,0.7595,0.75375,0.7685,0.5875,0.55975,0.56725,0.536,0.54525,0.55325,0.53825,0.5415,0.549,0.54025,0.546,0.5305,0.55075,0.53975,0.55775,0.55325,0.5475,0.584,0.5655,0.577,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,0.999954,
500, 0.7915,0.804,0.79375,0.80725,0.79775,0.8035,0.806,0.79825,0.7965,0.81075,0.78175,0.8,0.79125,0.78,0.799,0.783,0.7785,0.785,0.772,0.782,0.53975,0.55325,0.5485,0.56875,0.546,0.55775,0.556,0.5575,0.553,0.52925,0.5385,0.54725,0.558,0.56675,0.56925,0.55875,0.56025,0.593,0.57525,0.59625,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,
600, 0.814,0.809,0.8115,0.81,0.79975,0.79625,0.80375,0.81375,0.792,0.8125,0.7995,0.788,0.7845,0.806,0.798,0.8085,0.78825,0.7575,0.78125,0.754,0.59775,0.5945,0.59725,0.5795,0.6,0.58775,0.5825,0.5765,0.5725,0.58325,0.5585,0.54325,0.55,0.5145,0.53575,0.54425,0.546,0.54075,0.54225,0.54275,0.999955,0.999955,0.999955,0.999955,0.999955,0.999955,0.999955,0.999955,0.999955,0.999955,0.999955,0.999955,0.999955,0.999955,0.999955,0.999955,0.999955,0.999955,0.999955,0.999955,
700, 0.82,0.81975,0.817,0.8215,0.82225,0.80775,0.814,0.81475,0.814,0.81525,0.8115,0.784,0.802,0.798,0.79175,0.79825,0.8015,0.79725,0.8195,0.83275,0.55175,0.566,0.55925,0.56575,0.56425,0.55325,0.56425,0.5685,0.55775,0.56,0.55675,0.54525,0.547,0.54025,0.54,0.53875,0.54575,0.51325,0.52825,0.52625,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,0.999946,
800, 0.80625,0.7965,0.78875,0.7995,0.78425,0.7915,0.7915,0.7915,0.80025,0.804,0.7995,0.8025,0.79425,0.7855,0.8025,0.7955,0.77725,0.771,0.76325,0.76125,0.599,0.60475,0.604,0.59875,0.56275,0.5835,0.582,0.60725,0.611,0.57875,0.57725,0.57125,0.54675,0.52475,0.52875,0.532,0.528,0.5305,0.521,0.52225,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,0.999956,
900, 0.816,0.80925,0.8165,0.81725,0.8175,0.80675,0.79375,0.792,0.79025,0.80125,0.79575,0.81175,0.7995,0.797,0.784,0.78725,0.783,0.79125,0.7775,0.776,0.48975,0.50425,0.50925,0.51275,0.5245,0.53775,0.534,0.54675,0.5755,0.57075,0.5655,0.558,0.554,0.52125,0.5255,0.52825,0.51175,0.50975,0.52825,0.5205,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,0.999939,
