gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d0l8, d1l8, d2l8, d3l8, d4l8, d5l8, d6l8, d7l8, d0l9, d1l9, d2l9, d3l9, d4l9, d5l9, d6l9, d7l9, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, 
0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1025,0.0975,0.1,0.1075,0.105,0.105,0.09,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.615,0.685,0.68,0.6825,0.715,0.6825,0.7075,0.655,1,1,1,1,1,1,1,1,0.997683,0.997683,0.997683,0.997683,0.997683,0.997683,0.997683,0.997683,
10, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0.065,0.1025,0.0625,0.14,0.1175,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.675,0.67,0.6875,0.6875,0.6525,0.7025,0.67,0.72,1,1,1,1,1,1,1,1,0.99782,0.99782,0.99782,0.99782,0.99782,0.99782,0.99782,0.99782,
20, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325,0.0625,0.055,0.065,0.0825,0.0525,0.0825,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7275,0.695,0.665,0.6425,0.6675,0.6975,0.6775,0.7,1,1,1,1,1,1,1,1,0.998414,0.998414,0.998414,0.998414,0.998414,0.998414,0.998414,0.998414,
30, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0.05,0.055,0.0775,0.0575,0.06,0.075,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.69,0.685,0.7475,0.75,0.7675,0.6925,0.695,0.6675,1,1,1,1,1,1,1,1,0.998265,0.998265,0.998265,0.998265,0.998265,0.998265,0.998265,0.998265,
40, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.045,0.03,0.07,0.055,0.0825,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.69,0.765,0.705,0.7125,0.71,0.7475,0.73,0.72,1,1,1,1,1,1,1,1,0.998307,0.998307,0.998307,0.998307,0.998307,0.998307,0.998307,0.998307,
50, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.07,0.0625,0.0725,0.075,0.0575,0.0675,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7275,0.7475,0.7325,0.7575,0.685,0.6925,0.6825,0.6725,1,1,1,1,1,1,1,1,0.998298,0.998298,0.998298,0.998298,0.998298,0.998298,0.998298,0.998298,
60, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0775,0.065,0.08,0.0925,0.0725,0.05,0.0475,0.0475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.76,0.745,0.7825,0.7525,0.685,0.7325,0.7,0.6925,1,1,1,1,1,1,1,1,0.998191,0.998191,0.998191,0.998191,0.998191,0.998191,0.998191,0.998191,
70, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.065,0.0825,0.0775,0.055,0.03,0.04,0.0475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7525,0.785,0.685,0.7075,0.755,0.725,0.76,0.7175,1,1,1,1,1,1,1,1,0.998235,0.998235,0.998235,0.998235,0.998235,0.998235,0.998235,0.998235,
80, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055,0.05,0.0325,0.055,0.045,0.08,0.055,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.685,0.745,0.7325,0.7525,0.745,0.725,0.7325,0.7825,1,1,1,1,1,1,1,1,0.998165,0.998165,0.998165,0.998165,0.998165,0.998165,0.998165,0.998165,
90, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375,0.065,0.06,0.0575,0.065,0.045,0.05,0.0425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6575,0.68,0.725,0.775,0.695,0.755,0.8175,0.795,1,1,1,1,1,1,1,1,0.998086,0.998086,0.998086,0.998086,0.998086,0.998086,0.998086,0.998086,
