gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, 
0, 0.4525,0.575,0.6325,0.6175,0.61,0.5675,0.3925,0.265,0.1975,0.275,0.18,0.09,0.0675,0.06,0.0425,0.005,0.0025,0,0,0,0.2175,0.18,0.2975,0.345,0.305,0.2475,0.2475,0.3625,0.345,0.425,0.495,0.535,0.4775,0.4775,0.4425,0.415,0.4625,0.3875,0.2325,0.26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
100, 0.49,0.435,0.395,0.4275,0.4525,0.4425,0.4,0.555,0.4725,0.29,0.17,0.175,0.1275,0.065,0.0075,0.0025,0,0,0,0,0.2875,0.3425,0.3725,0.38,0.5525,0.525,0.5125,0.5525,0.635,0.5,0.435,0.4125,0.4275,0.3225,0.235,0.26,0.31,0.265,0.4325,0.34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
200, 0.615,0.6175,0.575,0.5475,0.5475,0.52,0.4125,0.3575,0.3425,0.2475,0.375,0.19,0.1525,0.1375,0.1025,0.0375,0.015,0,0,0,0.5075,0.5025,0.5175,0.5275,0.6575,0.7325,0.64,0.5475,0.6175,0.6125,0.6125,0.6375,0.5775,0.395,0.49,0.4475,0.3975,0.305,0.2275,0.1425,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
300, 0.6225,0.525,0.585,0.6025,0.5775,0.5125,0.3575,0.285,0.345,0.28,0.16,0.2175,0.1725,0.18,0.13,0.0625,0.0125,0.0175,0,0,0.6225,0.6,0.49,0.5075,0.6125,0.545,0.63,0.65,0.53,0.4975,0.5075,0.4225,0.47,0.4025,0.33,0.3025,0.3325,0.425,0.245,0.2675,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
400, 0.685,0.725,0.6725,0.67,0.53,0.46,0.2775,0.1725,0.07,0.075,0.1,0.145,0.135,0.0275,0.07,0.1,0.0675,0.055,0.0425,0.0875,0.6175,0.6725,0.6775,0.5525,0.5725,0.5025,0.4675,0.515,0.6625,0.6325,0.57,0.4725,0.4125,0.3275,0.3075,0.235,0.215,0.1325,0.175,0.2475,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
500, 0.745,0.6425,0.57,0.5825,0.4625,0.4725,0.39,0.37,0.415,0.31,0.1675,0.0575,0.05,0.01,0.0075,0.025,0,0.005,0.02,0.04,0.4275,0.4825,0.36,0.315,0.3,0.375,0.3825,0.47,0.5175,0.5675,0.5175,0.43,0.3275,0.4025,0.385,0.2425,0.3,0.2325,0.26,0.3275,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,
600, 0.6525,0.6425,0.6425,0.6475,0.5575,0.4775,0.43,0.41,0.2375,0.13,0.22,0.095,0.0625,0.025,0.0275,0.0075,0,0,0,0,0.5475,0.6175,0.4525,0.4525,0.4175,0.305,0.4,0.3375,0.3925,0.4125,0.53,0.6675,0.53,0.36,0.275,0.275,0.445,0.545,0.3575,0.3675,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
700, 0.5025,0.4475,0.4425,0.5975,0.5925,0.4475,0.43,0.2675,0.25,0.1525,0.0675,0.025,0.0025,0.0175,0,0,0,0.0075,0.0025,0.005,0.5575,0.6475,0.5125,0.455,0.435,0.4375,0.3525,0.31,0.3125,0.305,0.34,0.3725,0.2475,0.29,0.3425,0.3425,0.255,0.3825,0.4025,0.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
800, 0.655,0.65,0.7675,0.64,0.545,0.5475,0.36,0.3425,0.225,0.1725,0.1625,0.11,0.0825,0.04,0.015,0,0.0025,0,0,0,0.46,0.4825,0.6,0.465,0.46,0.365,0.3175,0.2125,0.335,0.2775,0.2175,0.2425,0.3875,0.3925,0.235,0.2425,0.3925,0.4375,0.4575,0.5425,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,
900, 0.885,0.8375,0.655,0.5875,0.5025,0.3425,0.2925,0.23,0.32,0.1375,0.09,0.095,0.045,0.0475,0.0825,0.065,0.0175,0,0.0025,0,0.3625,0.3375,0.2125,0.2275,0.2225,0.32,0.35,0.43,0.4225,0.2625,0.2825,0.345,0.3575,0.29,0.315,0.4,0.4,0.42,0.5575,0.53,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,0.999999,
