gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d0l8, d1l8, d2l8, d3l8, d4l8, d5l8, d6l8, d7l8, d0l9, d1l9, d2l9, d3l9, d4l9, d5l9, d6l9, d7l9, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, 
0, 0,0,0,0,0,0,0,0,0.6575,0.5925,0.6225,0.64,0.71,0.66,0.69,0.645,0.9275,0.9075,0.9225,0.9725,0.97,0.9875,0.96,0.9725,0.9175,0.9325,0.9125,0.905,0.905,0.885,0.9175,0.8925,0.6475,0.6275,0.59,0.59,0.5775,0.58,0.555,0.6225,0.16,0.1875,0.19,0.255,0.2275,0.2575,0.265,0.295,0.785,0.775,0.7525,0.8175,0.8025,0.78,0.78,0.7925,0,0,0,0,0,0,0,0,0.3,0.2775,0.2925,0.3075,0.2525,0.215,0.15,0.185,1,1,1,1,1,1,1,1,0.998349,0.998349,0.998349,0.998349,0.998349,0.998349,0.998349,0.998349,
10, 0,0,0,0,0,0,0,0,0.655,0.65,0.6725,0.675,0.585,0.6,0.6725,0.735,0.885,0.905,0.9175,0.9175,0.965,0.9625,0.975,0.995,0.9275,0.9025,0.9,0.8525,0.885,0.905,0.9025,0.895,0.5775,0.5775,0.6175,0.6125,0.64,0.605,0.6325,0.6625,0.185,0.1825,0.2425,0.2575,0.26,0.24,0.2575,0.2325,0.7675,0.765,0.7525,0.765,0.775,0.78,0.77,0.7925,0,0,0,0,0,0,0,0,0.315,0.265,0.2425,0.29,0.2475,0.225,0.25,0.215,1,1,1,1,1,1,1,1,0.998079,0.998079,0.998079,0.998079,0.998079,0.998079,0.998079,0.998079,
20, 0,0,0,0,0,0,0,0,0.595,0.61,0.5775,0.5875,0.6225,0.6325,0.6425,0.6175,0.925,0.91,0.92,0.94,0.92,0.96,0.99,0.9875,0.8925,0.89,0.8825,0.855,0.875,0.9,0.9,0.9425,0.6,0.6175,0.6,0.6175,0.5975,0.5775,0.5325,0.555,0.2375,0.21,0.22,0.2075,0.265,0.195,0.2675,0.2425,0.7075,0.77,0.77,0.8075,0.7575,0.7975,0.795,0.8025,0,0,0,0,0,0,0,0,0.1975,0.24,0.2525,0.235,0.2425,0.265,0.2575,0.2375,1,1,1,1,1,1,1,1,0.998506,0.998506,0.998506,0.998506,0.998506,0.998506,0.998506,0.998506,
30, 0,0,0,0,0,0,0,0,0.515,0.4825,0.57,0.645,0.5975,0.6125,0.6025,0.54,0.9225,0.925,0.895,0.945,0.9675,0.955,0.975,0.985,0.87,0.89,0.845,0.8375,0.89,0.94,0.955,0.9325,0.7125,0.65,0.64,0.635,0.6325,0.67,0.5475,0.515,0.2175,0.235,0.2375,0.25,0.2575,0.2475,0.2225,0.215,0.8125,0.8,0.8075,0.8025,0.8325,0.755,0.785,0.7375,0,0,0,0,0,0,0,0,0.27,0.2425,0.235,0.2425,0.195,0.2125,0.21,0.2475,1,1,1,1,1,1,1,1,0.998252,0.998252,0.998252,0.998252,0.998252,0.998252,0.998252,0.998252,
40, 0,0,0,0,0,0,0,0,0.4675,0.465,0.5525,0.6525,0.64,0.6275,0.595,0.575,0.9175,0.96,0.95,0.975,0.97,0.97,0.9575,0.95,0.8725,0.8425,0.88,0.8625,0.8875,0.91,0.945,0.9325,0.6475,0.6525,0.67,0.62,0.6225,0.64,0.5975,0.6175,0.225,0.23,0.2775,0.2875,0.23,0.24,0.225,0.2825,0.6725,0.715,0.79,0.73,0.76,0.7525,0.6975,0.665,0,0,0,0,0,0,0,0,0.2,0.1675,0.1975,0.21,0.2175,0.1925,0.205,0.2225,1,1,1,1,1,1,1,1,0.998023,0.998023,0.998023,0.998023,0.998023,0.998023,0.998023,0.998023,
50, 0,0,0,0,0,0,0,0,0.495,0.5375,0.47,0.5975,0.655,0.63,0.61,0.6675,0.9525,0.965,0.9575,0.98,0.9875,0.9825,0.9775,0.95,0.8475,0.86,0.85,0.9125,0.905,0.8775,0.9175,0.92,0.6875,0.6675,0.5575,0.58,0.62,0.6575,0.6725,0.6525,0.2525,0.2175,0.2325,0.265,0.1825,0.2275,0.235,0.2275,0.735,0.71,0.7075,0.7525,0.7125,0.7075,0.7225,0.7125,0,0,0,0,0,0,0,0,0.2025,0.1875,0.1925,0.245,0.2225,0.28,0.2175,0.2225,1,1,1,1,1,1,1,1,0.998234,0.998234,0.998234,0.998234,0.998234,0.998234,0.998234,0.998234,
60, 0,0,0,0,0,0,0,0,0.585,0.5975,0.615,0.6125,0.615,0.58,0.6625,0.665,0.94,0.955,0.95,0.9475,0.95,0.9775,0.9925,0.9925,0.8575,0.8775,0.91,0.895,0.865,0.905,0.95,0.9425,0.5875,0.59,0.5725,0.585,0.555,0.5275,0.5525,0.59,0.2075,0.1875,0.2475,0.3,0.2775,0.28,0.2425,0.245,0.64,0.6925,0.7125,0.72,0.6825,0.765,0.7125,0.755,0,0,0,0,0,0,0,0,0.22,0.225,0.18,0.16,0.18,0.1525,0.2125,0.265,1,1,1,1,1,1,1,1,0.997769,0.997769,0.997769,0.997769,0.997769,0.997769,0.997769,0.997769,
70, 0,0,0,0,0,0,0,0,0.6425,0.5425,0.62,0.5975,0.6225,0.6575,0.6625,0.67,0.9475,0.975,0.9675,0.965,0.935,0.96,0.975,0.9725,0.8525,0.8575,0.8475,0.8775,0.9225,0.9425,0.955,0.9525,0.5425,0.5275,0.5275,0.5225,0.585,0.5575,0.57,0.62,0.3125,0.265,0.3,0.2925,0.3175,0.2875,0.2675,0.2225,0.695,0.7075,0.77,0.7025,0.6875,0.6525,0.6825,0.6375,0,0,0,0,0,0,0,0,0.2425,0.19,0.175,0.1675,0.14,0.2,0.2725,0.255,1,1,1,1,1,1,1,1,0.998303,0.998303,0.998303,0.998303,0.998303,0.998303,0.998303,0.998303,
80, 0,0,0,0,0,0,0,0,0.63,0.5675,0.605,0.6375,0.6025,0.5675,0.6375,0.5975,0.975,0.98,0.9575,0.935,0.9425,0.955,0.96,0.9425,0.8825,0.8925,0.875,0.92,0.925,0.94,0.935,0.9325,0.5875,0.5575,0.6675,0.5925,0.55,0.565,0.6275,0.6175,0.3125,0.2975,0.285,0.29,0.2975,0.3375,0.32,0.3325,0.665,0.71,0.7075,0.71,0.705,0.7375,0.6875,0.6625,0,0,0,0,0,0,0,0,0.2375,0.2175,0.2,0.15,0.1675,0.1525,0.16,0.2075,1,1,1,1,1,1,1,1,0.998031,0.998031,0.998031,0.998031,0.998031,0.998031,0.998031,0.998031,
90, 0,0,0,0,0,0,0,0,0.6,0.63,0.63,0.6025,0.6275,0.59,0.625,0.6675,0.95,0.9575,0.975,0.9525,0.9525,0.9625,0.945,0.9725,0.87,0.875,0.89,0.9025,0.93,0.9025,0.9175,0.89,0.5425,0.58,0.605,0.5975,0.5525,0.5725,0.5425,0.585,0.34,0.3775,0.325,0.375,0.34,0.285,0.275,0.285,0.6475,0.6775,0.6775,0.7125,0.745,0.71,0.7075,0.655,0,0,0,0,0,0,0,0,0.25,0.2025,0.215,0.1675,0.1575,0.175,0.17,0.135,1,1,1,1,1,1,1,1,0.997813,0.997813,0.997813,0.997813,0.997813,0.997813,0.997813,0.997813,
