gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, 
0, 1,1,1,1,1,1,1,1,1,1,0.9925,0.8925,0.5525,0.145,0.0375,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9975,1,0.99,0.9025,0.46,0.0775,0.0225,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
100, 1,1,1,1,1,1,1,1,1,1,0.985,0.8825,0.4925,0.12,0.0125,0.0025,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.98,0.9275,0.5425,0.155,0.0175,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
200, 1,1,1,1,1,1,1,1,1,1,0.99,0.9475,0.7025,0.1825,0.025,0.005,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.9925,0.9275,0.7125,0.195,0.03,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
300, 1,1,1,1,1,1,1,1,1,1,0.9975,0.9425,0.6025,0.17,0.03,0.0125,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.995,0.9225,0.6325,0.185,0.04,0.0125,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
400, 1,1,1,1,1,1,1,1,1,1,1,0.96,0.79,0.345,0.0425,0.0025,0,0,0,0,1,1,1,1,1,1,1,1,0.9975,0.9975,0.995,0.96,0.725,0.2975,0.0375,0.0025,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
500, 1,1,1,1,1,1,1,1,1,1,0.995,0.975,0.805,0.2575,0.0275,0.005,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.995,0.9725,0.825,0.275,0.035,0.0025,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
600, 1,1,1,1,1,1,1,1,1,1,1,0.9325,0.6875,0.2275,0.035,0.0075,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.9575,0.7,0.2075,0.045,0.01,0.0025,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
700, 1,1,1,1,1,1,1,1,1,1,0.9975,0.9775,0.815,0.4475,0.1225,0.01,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.9975,0.985,0.81,0.38,0.12,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
800, 1,1,1,1,1,1,1,1,1,1,0.9975,0.99,0.93,0.7025,0.14,0.015,0.01,0,0,0,1,1,1,1,1,1,1,1,1,1,0.9975,0.9975,0.95,0.67,0.175,0.025,0.0025,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
900, 1,1,1,1,1,1,1,1,1,1,0.9975,0.9925,0.8675,0.4775,0.075,0.015,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.9975,0.9825,0.8425,0.5325,0.095,0.005,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
