gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, 
0, 1,1,1,1,1,1,0.9995,0.999,0.982,0.7645,0.2115,0.031,0.003,0,0,0,0,0,0,0,1,1,1,1,1,1,0.9995,0.9995,0.9765,0.7875,0.2165,0.0285,0.001,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
100, 1,1,1,1,1,1,1,0.9995,0.978,0.792,0.186,0.022,0.001,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9755,0.785,0.188,0.0245,0.0015,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
200, 1,1,1,1,1,1,0.9995,0.997,0.9795,0.8185,0.2075,0.0195,0.0035,0,0,0,0,0,0,0,1,1,1,1,1,1,0.9995,0.9965,0.9815,0.8375,0.204,0.0195,0.0025,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
300, 1,1,1,1,1,1,1,0.997,0.986,0.836,0.2425,0.022,0.0015,0,0,0,0,0,0,0,1,1,1,1,1,1,0.9995,0.997,0.989,0.837,0.25,0.027,0.002,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
400, 1,1,1,1,1,1,1,0.998,0.9805,0.7735,0.202,0.019,0.001,0,0,0,0,0,0,0,1,1,1,1,1,1,0.9995,0.998,0.9765,0.763,0.1935,0.023,0.0015,0,0.0005,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
500, 1,1,1,1,1,1,1,0.9975,0.9755,0.8035,0.1755,0.0185,0.003,0.0005,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9985,0.967,0.786,0.177,0.0135,0.0025,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
600, 1,1,1,1,1,1,1,1,0.993,0.8305,0.2465,0.034,0.004,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.998,0.984,0.836,0.248,0.033,0.0035,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
700, 1,1,1,1,1,1,1,0.9995,0.979,0.77,0.184,0.0155,0.0005,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.982,0.762,0.187,0.019,0.001,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
800, 1,1,1,1,1,1,1,0.9995,0.981,0.8415,0.2125,0.0375,0.002,0,0,0,0,0,0,0,1,1,1,1,1,1,0.9995,1,0.977,0.849,0.2175,0.0335,0.003,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
900, 1,1,1,1,1,1,1,1,0.989,0.838,0.254,0.0305,0.006,0.0005,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9995,0.988,0.858,0.264,0.029,0.0055,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
