gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d0l8, d1l8, d2l8, d3l8, d4l8, d5l8, d6l8, d7l8, d0l9, d1l9, d2l9, d3l9, d4l9, d5l9, d6l9, d7l9, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, 
0, 0,0,0,0,0,0,0,0,0.745,0.725,0.7125,0.6675,0.665,0.685,0.6325,0.745,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.7575,0.73,0.7475,0.795,0.835,0.84,0.835,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2525,0.225,0.195,0.1725,0.1925,0.1675,0.22,0.245,0.99524,0.99524,0.99524,0.99524,0.99524,0.99524,0.99524,0.99524,
10, 0,0,0,0,0,0,0,0,0.63,0.655,0.67,0.66,0.6275,0.7,0.65,0.6825,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.78,0.79,0.7575,0.7425,0.805,0.7975,0.8425,0.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,0.2225,0.1725,0.1975,0.2025,0.14,0.1825,0.155,0.995188,0.995188,0.995188,0.995188,0.995188,0.995188,0.995188,0.995188,
20, 0,0,0,0,0,0,0,0,0.6325,0.6025,0.645,0.5775,0.625,0.525,0.5875,0.58,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.8075,0.7875,0.855,0.7775,0.7675,0.8575,0.845,0.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1975,0.2,0.165,0.16,0.135,0.1425,0.13,0.145,0.995613,0.995613,0.995613,0.995613,0.995613,0.995613,0.995613,0.995613,
30, 0,0,0,0,0,0,0,0,0.6325,0.6325,0.6075,0.645,0.6625,0.625,0.6125,0.6075,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.8125,0.8075,0.8225,0.8275,0.8125,0.77,0.86,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155,0.145,0.18,0.165,0.1475,0.15,0.16,0.1475,0.996601,0.996601,0.996601,0.996601,0.996601,0.996601,0.996601,0.996601,
40, 0,0,0,0,0,0,0,0,0.72,0.7025,0.655,0.6475,0.67,0.7375,0.6875,0.65,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.835,0.82,0.825,0.8225,0.845,0.8225,0.815,0.8025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0675,0.12,0.1875,0.185,0.185,0.1325,0.1725,0.99741,0.99741,0.99741,0.99741,0.99741,0.99741,0.99741,0.99741,
50, 0,0,0,0,0,0,0,0,0.71,0.6725,0.6875,0.6675,0.6425,0.645,0.59,0.6125,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.805,0.8075,0.8125,0.8625,0.8475,0.8525,0.8575,0.8875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0825,0.085,0.0325,0.1075,0.1425,0.1475,0.12,0.16,0.996504,0.996504,0.996504,0.996504,0.996504,0.996504,0.996504,0.996504,
60, 0,0,0,0,0,0,0,0,0.655,0.63,0.6575,0.6125,0.7075,0.62,0.585,0.6275,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.84,0.82,0.8625,0.8225,0.8375,0.8525,0.845,0.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475,0.0875,0.09,0.1,0.085,0.1,0.1025,0.1225,0.997452,0.997452,0.997452,0.997452,0.997452,0.997452,0.997452,0.997452,
70, 0,0,0,0,0,0,0,0,0.6625,0.685,0.6425,0.6375,0.6475,0.6425,0.6825,0.6325,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.815,0.855,0.8575,0.8225,0.825,0.87,0.8425,0.8675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0875,0.075,0.0875,0.12,0.1075,0.125,0.115,0.15,0.99651,0.99651,0.99651,0.99651,0.99651,0.99651,0.99651,0.99651,
80, 0,0,0,0,0,0,0,0,0.705,0.64,0.62,0.6775,0.585,0.6725,0.71,0.69,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.86,0.83,0.88,0.87,0.825,0.8275,0.8375,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.0925,0.055,0.06,0.0675,0.0925,0.085,0.085,0.997355,0.997355,0.997355,0.997355,0.997355,0.997355,0.997355,0.997355,
90, 0,0,0,0,0,0,0,0,0.62,0.68,0.6775,0.57,0.645,0.67,0.6825,0.665,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.8775,0.89,0.8975,0.8575,0.8075,0.825,0.8475,0.8425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475,0.0275,0.03,0.045,0.0525,0.0625,0.0375,0.055,0.997654,0.997654,0.997654,0.997654,0.997654,0.997654,0.997654,0.997654,
