gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, 
0, 1,1,0.9975,0.989,0.9765,0.934,0.798,0.5745,0.3385,0.1585,0.0505,0.008,0.003,0.0015,0.001,0,0,0,0,0,1,1,0.998,0.9955,0.9845,0.93,0.7995,0.594,0.3235,0.1545,0.06,0.0065,0.0035,0.0005,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
100, 1,0.998,0.9975,0.9905,0.9655,0.913,0.769,0.562,0.3195,0.1425,0.0655,0.014,0.004,0.0005,0,0,0,0,0,0,0.9995,0.999,0.9985,0.995,0.978,0.9075,0.7505,0.573,0.3485,0.1875,0.0605,0.018,0.0075,0.001,0.0025,0.0005,0,0,0,0,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,
200, 1,1,0.998,0.9975,0.9735,0.9435,0.8305,0.6535,0.439,0.2005,0.0505,0.0225,0.006,0.0025,0,0,0,0,0,0,1,1,0.9995,0.9945,0.981,0.945,0.8335,0.6795,0.4445,0.212,0.062,0.013,0.0055,0.001,0.0005,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
300, 1,1,0.997,0.9965,0.986,0.9495,0.8755,0.695,0.391,0.198,0.0985,0.0345,0.003,0.0045,0.0005,0,0,0,0,0,1,1,1,0.998,0.9845,0.952,0.8745,0.731,0.441,0.225,0.081,0.0315,0.012,0.0075,0.0025,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
400, 1,0.999,0.9975,0.9975,0.9775,0.9365,0.8425,0.6555,0.4375,0.211,0.088,0.019,0.009,0.005,0.0005,0,0,0,0,0,1,1,0.9995,0.997,0.991,0.9715,0.9065,0.7085,0.457,0.1945,0.0605,0.0255,0.007,0.0005,0.001,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
500, 1,1,1,0.999,0.99,0.9645,0.8375,0.6665,0.4135,0.217,0.064,0.0285,0.003,0.002,0,0,0,0,0,0,0.999,0.997,1,0.9955,0.992,0.953,0.8445,0.608,0.409,0.16,0.0565,0.0175,0.001,0.0015,0.0025,0,0,0,0,0,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,
600, 1,1,0.9995,0.998,0.9785,0.942,0.8445,0.667,0.4075,0.167,0.068,0.0165,0.001,0,0,0,0,0,0,0,1,1,1,0.995,0.9865,0.949,0.852,0.6475,0.3595,0.147,0.0525,0.011,0.0045,0.002,0,0,0,0,0,0,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,0.999915,
700, 1,1,0.996,0.994,0.9715,0.897,0.7565,0.484,0.276,0.104,0.019,0.003,0.0005,0,0,0,0,0,0,0,1,1,1,0.993,0.9655,0.8995,0.772,0.5205,0.278,0.123,0.0235,0.0105,0.0075,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
800, 1,1,0.9995,0.994,0.966,0.8695,0.711,0.496,0.2505,0.108,0.042,0.0105,0.002,0,0,0,0,0,0,0,1,1,0.9975,0.992,0.9815,0.914,0.77,0.563,0.2845,0.1195,0.0375,0.0065,0.0025,0.001,0.004,0.001,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
900, 1,1,0.995,0.9835,0.9675,0.899,0.7415,0.5015,0.261,0.096,0.0295,0.009,0.002,0.0005,0,0,0,0,0,0,1,1,0.9995,0.996,0.9705,0.905,0.7445,0.498,0.274,0.0785,0.0315,0.008,0.0025,0.003,0.0055,0.0015,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
