gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, d8W, d9W, d10W, d11W, d12W, d13W, d14W, d15W, d16W, d17W, d18W, d19W, 
0, 1,0.999,0.9985,0.9975,0.9805,0.953,0.8635,0.67,0.4075,0.1955,0.069,0.024,0.0065,0.002,0.001,0,0,0,0,0,0.9995,0.9985,0.9995,0.9965,0.9895,0.9505,0.8685,0.681,0.4195,0.1915,0.068,0.0265,0.0035,0.001,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
100, 1,0.9995,0.999,0.9985,0.9885,0.9635,0.8855,0.725,0.484,0.262,0.1135,0.0315,0.008,0.0025,0,0,0,0,0,0,1,1,1,0.9985,0.9905,0.9725,0.882,0.7245,0.5035,0.2625,0.1205,0.026,0.01,0.002,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
200, 1,0.9995,1,0.9975,0.9895,0.945,0.84,0.6385,0.427,0.197,0.0805,0.017,0.0085,0.0005,0,0,0,0,0,0,1,1,0.9995,0.998,0.99,0.95,0.85,0.64,0.41,0.2085,0.0665,0.019,0.0075,0.0025,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
300, 1,1,0.999,0.996,0.9875,0.9545,0.862,0.6905,0.4555,0.2465,0.103,0.03,0.005,0.003,0,0,0,0,0,0,1,1,0.9995,0.9975,0.9885,0.949,0.8585,0.695,0.4545,0.2375,0.1035,0.0275,0.005,0.0015,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
400, 0.999,1,1,0.996,0.995,0.9705,0.9025,0.76,0.553,0.324,0.132,0.0515,0.0145,0.0055,0.001,0,0,0,0,0,1,1,0.9995,0.9965,0.9935,0.9705,0.9,0.7875,0.562,0.3315,0.134,0.053,0.017,0.0025,0.0015,0.0005,0,0,0,0,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,
500, 1,1,0.9995,0.999,0.9935,0.973,0.909,0.7705,0.5845,0.3355,0.172,0.051,0.014,0.002,0.001,0.0005,0,0,0,0,1,1,1,0.9985,0.997,0.974,0.913,0.7895,0.594,0.3195,0.169,0.0465,0.0115,0.002,0.0015,0.0005,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
600, 1,1,1,0.9985,0.9825,0.9675,0.9105,0.7595,0.5005,0.26,0.138,0.033,0.01,0.001,0,0,0,0,0,0,1,1,1,0.998,0.9865,0.971,0.9005,0.7635,0.518,0.256,0.106,0.036,0.0085,0.002,0.0005,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
700, 1,1,0.9985,0.997,0.9885,0.9475,0.8615,0.6675,0.4405,0.223,0.08,0.0235,0.008,0.002,0,0,0,0,0,0,1,1,1,0.995,0.983,0.9505,0.8605,0.6755,0.4435,0.237,0.088,0.0305,0.013,0.0045,0.0005,0,0,0,0,0,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,0.999487,
800, 1,1,0.9995,0.9965,0.985,0.949,0.832,0.6255,0.3875,0.181,0.0635,0.0165,0.0035,0.001,0,0,0,0,0,0,1,1,0.999,0.9945,0.9865,0.953,0.828,0.6345,0.402,0.1735,0.067,0.0185,0.006,0.0025,0.0005,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
900, 1,0.9995,0.9985,0.997,0.981,0.9375,0.82,0.6275,0.383,0.185,0.065,0.0175,0.0035,0.0005,0,0.0005,0,0,0,0,1,1,1,0.9945,0.9775,0.946,0.831,0.6495,0.3725,0.1955,0.064,0.015,0.006,0.001,0,0.001,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
