gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d0l8, d1l8, d2l8, d3l8, d4l8, d5l8, d6l8, d7l8, d0l9, d1l9, d2l9, d3l9, d4l9, d5l9, d6l9, d7l9, d0W, d1W, d2W, d3W, d4W, d5W, d6W, d7W, 
0, 0.4825,0.4875,0.5075,0.53,0.545,0.5775,0.5925,0.565,0.8725,0.855,0.8475,0.8925,0.9,0.8875,0.8875,0.8725,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0175,0.0125,0.0175,0.0175,0.0175,0.02,0.0075,0.01,0.985,0.9675,0.9925,0.9925,0.985,0.9875,0.9875,0.9825,0.59,0.61,0.57,0.5375,0.51,0.565,0.6525,0.6175,0,0,0,0,0,0,0,0,0.52,0.47,0.435,0.4275,0.4125,0.4975,0.4275,0.46,0.0325,0.0275,0.015,0.015,0.0425,0.03,0.0525,0.0325,0.999618,0.999618,0.999618,0.999618,0.999618,0.999618,0.999618,0.999618,
10, 0.535,0.565,0.57,0.5525,0.4975,0.5375,0.5,0.51,0.8625,0.895,0.885,0.8825,0.905,0.9025,0.9075,0.9075,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.015,0.015,0.0075,0,0.0175,0.025,0.0275,0.04,0.9725,0.975,0.9875,0.9725,0.99,0.97,0.9775,0.9525,0.5075,0.5625,0.585,0.5525,0.5,0.4825,0.53,0.55,0,0,0,0,0,0,0,0,0.4,0.4425,0.4775,0.4725,0.48,0.4575,0.5375,0.465,0.035,0.025,0.02,0.025,0.0475,0.0475,0.06,0.07,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,
20, 0.5,0.515,0.54,0.485,0.5,0.53,0.4875,0.4825,0.8325,0.855,0.8925,0.86,0.8325,0.9025,0.9,0.8975,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.0275,0.0175,0.025,0.02,0.025,0.0375,0.0325,0.0225,0.9975,0.995,0.995,0.99,0.9875,0.975,0.97,0.9775,0.585,0.5775,0.5775,0.5125,0.54,0.53,0.5275,0.575,0,0,0,0,0,0,0,0,0.49,0.5275,0.53,0.51,0.48,0.4275,0.405,0.425,0.0225,0.0425,0.03,0.0275,0.0525,0.0425,0.0225,0.02,0.999686,0.999686,0.999686,0.999686,0.999686,0.999686,0.999686,0.999686,
30, 0.455,0.51,0.5025,0.4425,0.4775,0.535,0.515,0.505,0.815,0.8525,0.835,0.86,0.8225,0.84,0.92,0.885,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.025,0.025,0.0075,0.0125,0.03,0.0275,0.03,0.035,0.9925,0.99,0.99,0.98,0.9825,0.995,0.99,0.9875,0.505,0.5475,0.55,0.555,0.5275,0.5575,0.4925,0.5275,0,0,0,0,0,0,0,0,0.5425,0.4725,0.5275,0.48,0.495,0.47,0.5225,0.555,0.0575,0.0475,0.0425,0.035,0.0275,0.045,0.025,0.025,0.999671,0.999671,0.999671,0.999671,0.999671,0.999671,0.999671,0.999671,
40, 0.4425,0.4825,0.485,0.465,0.425,0.4925,0.575,0.5275,0.885,0.8725,0.895,0.85,0.7875,0.8375,0.855,0.85,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.02,0.0125,0.025,0.02,0.0175,0.005,0.0025,0.0175,1,0.9925,0.9825,0.99,0.9675,0.9925,0.9825,0.98,0.545,0.515,0.4975,0.5025,0.54,0.5075,0.5675,0.54,0,0,0,0,0,0,0,0,0.4725,0.4925,0.5175,0.465,0.4425,0.5,0.515,0.5175,0.0225,0.0325,0.0425,0.0425,0.0175,0.025,0.0175,0.0425,0.999631,0.999631,0.999631,0.999631,0.999631,0.999631,0.999631,0.999631,
50, 0.47,0.4675,0.455,0.4475,0.4725,0.525,0.5475,0.51,0.9075,0.8825,0.89,0.8875,0.885,0.9075,0.8725,0.85,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.015,0.0025,0.025,0.01,0.0075,0.0025,0.0075,0.0075,0.9975,0.9925,0.9825,0.9775,0.975,0.985,0.9625,0.9725,0.545,0.5525,0.56,0.545,0.545,0.465,0.465,0.4275,0,0,0,0,0,0,0,0,0.4775,0.4525,0.4425,0.415,0.405,0.3925,0.44,0.4725,0.0375,0.05,0.05,0.045,0.0375,0.0275,0.0175,0.0175,0.999634,0.999634,0.999634,0.999634,0.999634,0.999634,0.999634,0.999634,
60, 0.54,0.52,0.5,0.475,0.505,0.5625,0.515,0.545,0.895,0.8925,0.915,0.915,0.9225,0.915,0.9125,0.9,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.005,0.0025,0,0,0,0.0025,0.005,0.015,0.99,0.9825,0.9825,0.9775,0.98,0.9775,0.97,0.9775,0.5325,0.57,0.47,0.49,0.4775,0.4375,0.41,0.4975,0,0,0,0,0,0,0,0,0.475,0.475,0.4525,0.3925,0.37,0.41,0.44,0.4325,0.0375,0.04,0.045,0.0325,0.0225,0.035,0.015,0.005,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,0.999635,
70, 0.57,0.5175,0.475,0.43,0.5025,0.525,0.4775,0.4775,0.9125,0.915,0.8925,0.9075,0.9225,0.9475,0.9275,0.9425,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0.0025,0.005,0.0125,0.005,0.995,1,0.995,0.9875,0.9625,0.9825,0.9775,0.9825,0.5675,0.475,0.445,0.4925,0.33,0.425,0.45,0.4375,0,0,0,0,0,0,0,0,0.42,0.4025,0.405,0.465,0.43,0.405,0.425,0.385,0.0425,0.0575,0.04,0.0275,0.0325,0.04,0.0225,0.03,0.999615,0.999615,0.999615,0.999615,0.999615,0.999615,0.999615,0.999615,
80, 0.485,0.465,0.5125,0.46,0.455,0.435,0.47,0.4275,0.9125,0.9075,0.9325,0.885,0.8575,0.8975,0.9275,0.905,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0.99,0.97,0.98,0.9875,0.97,0.41,0.415,0.4275,0.405,0.4325,0.485,0.39,0.4325,0,0,0,0,0,0,0,0,0.47,0.39,0.37,0.385,0.3475,0.395,0.3725,0.3675,0.0525,0.07,0.09,0.04,0.0275,0.0425,0.025,0.0175,0.99971,0.99971,0.99971,0.99971,0.99971,0.99971,0.99971,0.99971,
90, 0.53,0.615,0.5075,0.4075,0.5175,0.48,0.415,0.4225,0.9275,0.905,0.8925,0.8375,0.86,0.8875,0.8825,0.9025,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0.9975,0.99,0.99,1,1,0.3925,0.4,0.41,0.395,0.3525,0.4225,0.4275,0.435,0,0,0,0,0,0,0,0,0.4325,0.4425,0.41,0.415,0.365,0.42,0.3775,0.4425,0.07,0.065,0.055,0.055,0.03,0.0225,0.0275,0.035,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,0.9997,
