0	0	-0.0397347
0	1	0.211051
0	2	0.193916
0	3	-0.0782095
0	4	0.0825026
0	5	-0.0699207
0	6	-0.157368
0	7	-0.142236
8	0	-0.285591
8	1	0.0389514
8	2	-0.00601306
8	3	-0.177871
8	4	0.0936636
8	5	0.10556
8	6	0.338179
8	7	-0.106879
16	0	0.009596
16	1	-0.0229846
16	2	0.0664621
16	3	0.0220861
16	4	-0.275333
16	5	0.0153329
16	6	0.0835245
16	7	0.101316
24	0	-0.146907
24	1	-0.0326258
24	2	0.0253462
24	3	0.170988
24	4	0.0155862
24	5	-0.0547072
24	6	0.134943
24	7	-0.112623
32	0	-0.441855
32	1	0.0531597
32	2	0.00286733
32	3	0.00047438
32	4	0.0348844
32	5	-0.0549851
32	6	0.19745
32	7	0.208004
