dimension	locus	mutational effect
0	0	0.0637235
0	1	-0.0457798
0	2	-0.0427788
0	3	0.00417743
0	4	0.0214746
0	5	-0.0113697
0	6	-0.025785
0	7	0.0363377
8	0	-0.00863864
8	1	-0.0277143
8	2	-0.0275576
8	3	-0.0114894
8	4	0.00202294
8	5	0.0144192
8	6	0.023713
8	7	0.0352447
16	0	-0.00244987
16	1	-0.00505466
16	2	-0.0526691
16	3	-0.0125065
16	4	0.00871383
16	5	0.00549717
16	6	0.0642261
16	7	-0.00575698
24	0	-0.0132704
24	1	-0.0275638
24	2	0.0170451
24	3	-0.0188274
24	4	-0.0368656
24	5	0.03424
24	6	0.0558482
24	7	-0.0106063
32	0	0.0211427
32	1	-0.0054664
32	2	0.0497466
32	3	0.0122801
32	4	0.00551819
32	5	-0.0136447
32	6	-0.0279793
32	7	-0.0415972
2000 generations ont pris 873 secondes
dimension	locus	mutational effect
0	0	-0.0247631
0	1	0.0398508
0	2	-0.0429973
0	3	-0.0404455
0	4	0.0716322
0	5	-0.0396734
0	6	0.040099
0	7	-0.0037026
8	0	0.023158
8	1	-0.00182028
8	2	-0.0538869
8	3	0.0413237
8	4	-0.0487446
8	5	0.0373483
8	6	0.00740154
8	7	-0.00477977
16	0	0.0190423
16	1	-0.0159957
16	2	-0.0285492
16	3	0.00656787
16	4	0.0289996
16	5	-0.0071772
16	6	-0.00119493
16	7	-0.00169267
24	0	0.0446372
24	1	-0.0223079
24	2	-0.00883308
24	3	0.0488257
24	4	-0.0838646
24	5	0.0284226
24	6	0.0410135
24	7	-0.0478934
32	0	-0.0151062
32	1	0.0209494
32	2	-0.0363157
32	3	-0.0255805
32	4	0.0127431
32	5	0.0357173
32	6	-0.0152628
32	7	0.0228554
2000 generations ont pris 873 secondes
dimension	locus	mutational effect
0	0	-0.0250261
0	1	0.0490734
0	2	-0.0206243
0	3	0.0681222
0	4	0.0208018
0	5	-0.050819
0	6	-0.0194396
0	7	-0.0220884
8	0	-0.0302143
8	1	0.0106773
8	2	-0.014044
8	3	0.00916669
8	4	-0.00290414
8	5	-0.0279025
8	6	0.0537644
8	7	0.00145658
16	0	0.0132106
16	1	-0.0201037
16	2	-0.0166821
16	3	-0.0245825
16	4	-0.0068435
16	5	-0.0153328
16	6	0.0313304
16	7	0.0390036
24	0	-0.0230081
24	1	0.0342535
24	2	-0.0313758
24	3	-0.0149681
24	4	0.00550235
24	5	0.0399538
24	6	0.0181991
24	7	-0.0285567
32	0	0.0326324
32	1	-0.0173008
32	2	-0.0353649
32	3	-0.0234767
32	4	-0.0234477
32	5	0.0321816
32	6	0.0516627
32	7	-0.0168866
2000 generations ont pris 693 secondes
