dimension	locus	mutational effect
0	0	0.00216907
0	1	0.0232416
0	2	-0.00389512
0	3	-0.0590769
0	4	-0.0281277
0	5	0.0357382
0	6	0.00811211
0	7	0.0218388
8	0	0.000870192
8	1	-0.000505122
8	2	-0.0261171
8	3	-0.0269944
8	4	0.0679777
8	5	-0.0336088
8	6	0.044205
8	7	-0.0258275
16	0	-0.0230278
16	1	0.00165924
16	2	-0.0376223
16	3	0.0385415
16	4	0.0426504
16	5	0.00895274
16	6	-0.0045449
16	7	-0.026609
24	0	0.0211546
24	1	0.0163536
24	2	-0.0232745
24	3	-0.0299271
24	4	-0.0235858
24	5	0.0347913
24	6	0.0223456
24	7	-0.0178577
32	0	-0.0627004
32	1	0.0191009
32	2	0.040465
32	3	0.0108254
32	4	0.0338936
32	5	-0.0233732
32	6	0.0174509
32	7	-0.0356622
2000 generations ont pris 688 secondes
