dimension	locus	mutational effect
0	0	-0.0290815
0	1	-0.0172067
0	2	0.0212144
0	3	-0.00741066
0	4	0.0425402
0	5	0.0148672
0	6	0.0125878
0	7	-0.0375107
8	0	-0.00133726
8	1	0.00283888
8	2	0.0377585
8	3	0.0254508
8	4	0.0159632
8	5	-0.112682
8	6	0.0180666
8	7	0.0139412
16	0	0.0262788
16	1	-0.0267661
16	2	-0.0275749
16	3	-0.027359
16	4	0.019632
16	5	0.0392612
16	6	-0.0388653
16	7	0.0353932
24	0	0.0220699
24	1	-0.00151707
24	2	0.0264217
24	3	-0.00589662
24	4	-0.000386964
24	5	-0.0525451
24	6	0.055545
24	7	-0.0436908
32	0	0.0118361
32	1	0.0208954
32	2	0.00351955
32	3	-0.00777456
32	4	0.0250804
32	5	-0.012475
32	6	0.0139635
32	7	-0.0550453
1000 generations ont pris 253 secondes
