dimension	locus	mutational effect
0	0	-0.0681752
0	1	-0.0183184
0	2	0.0234334
0	3	0.0217318
0	4	-0.0432552
0	5	0.0225621
0	6	-0.0199771
0	7	0.0819986
8	0	0.00187677
8	1	0.035653
8	2	-0.0141138
8	3	-0.0499273
8	4	0.00423114
8	5	-0.00517631
8	6	0.0116524
8	7	0.0158041
16	0	0.0193967
16	1	-0.045106
16	2	0.0207678
16	3	0.010093
16	4	0.018729
16	5	-0.0125395
16	6	0.015021
16	7	-0.0263619
24	0	-0.0115958
24	1	-0.0254501
24	2	0.0309369
24	3	0.0249518
24	4	-0.0413826
24	5	0.0279448
24	6	0.000143543
24	7	-0.00554862
32	0	-0.0222482
32	1	0.0296532
32	2	-0.0163519
32	3	0.0283434
32	4	0.0181234
32	5	-0.0175826
32	6	0.0377156
32	7	-0.0576528
1000 generations ont pris 199 secondes
