dimension	locus	mutational effect
0	0	0.0129704
0	1	-0.0129704
2	0	0.0397862
2	1	-0.0397862
4	0	-0.0447869
4	1	0.0447869
6	0	0.0479518
6	1	-0.0479518
8	0	0.0249969
8	1	-0.0249969
2000 generations ont pris 691 secondes
dimension	locus	mutational effect
0	0	0.0217484
0	1	-0.0217484
2	0	-0.0112415
2	1	0.0112415
4	0	-0.0570532
4	1	0.0570532
6	0	-0.0653792
6	1	0.0653792
8	0	0.0436689
8	1	-0.0436689
2000 generations ont pris 395 secondes
dimension	locus	mutational effect
0	0	-0.0176681
0	1	0.0176681
2	0	0.0390419
2	1	-0.0390419
4	0	-0.0980947
4	1	0.0980947
6	0	0.000157335
6	1	-0.000157335
8	0	-0.0449609
8	1	0.0449609
2000 generations ont pris 686 secondes
