dimension	locus	mutational effect
0	0	-0.00291425
0	1	-0.0044259
0	2	-0.0173439
0	3	0.013212
0	4	0.0140455
0	5	-0.00225404
0	6	0.0221815
0	7	-0.022501
8	0	-0.0200685
8	1	-0.0147338
8	2	-0.0370386
8	3	0.0335174
8	4	-0.0401087
8	5	0.0558849
8	6	0.0613735
8	7	-0.0388263
16	0	-0.0488944
16	1	0.024789
16	2	0.0184255
16	3	0.00539703
16	4	0.0482581
16	5	-0.0168879
16	6	-0.0232707
16	7	-0.00781661
24	0	-0.0542732
24	1	-0.0298363
24	2	-0.0101461
24	3	0.0544875
24	4	-0.0260047
24	5	0.0473201
24	6	0.0211063
24	7	-0.00265364
32	0	-0.0396822
32	1	-0.0291002
32	2	0.0586713
32	3	-0.0318157
32	4	-0.0221977
32	5	-0.0516657
32	6	0.085684
32	7	0.0301062
1000 generations ont pris 251 secondes
