dimension	locus	mutational effect
0	0	0.0263277
0	1	-0.0263277
2	0	-0.0448309
2	1	0.0448309
4	0	0.0351427
4	1	-0.0351427
6	0	0.0574287
6	1	-0.0574287
8	0	-0.00270754
8	1	0.00270754
2000 generations ont pris 492 secondes
dimension	locus	mutational effect
0	0	0.0194609
0	1	-0.0194609
2	0	-0.00753143
2	1	0.00753143
4	0	0.0499643
4	1	-0.0499643
6	0	0.0187975
6	1	-0.0187975
8	0	0.0828092
8	1	-0.0828092
2000 generations ont pris 490 secondes
dimension	locus	mutational effect
0	0	0.0435732
0	1	-0.0435732
2	0	0.0132268
2	1	-0.0132268
4	0	0.0170348
4	1	-0.0170348
6	0	-0.0349246
6	1	0.0349246
8	0	0.0602569
8	1	-0.0602569
2000 generations ont pris 491 secondes
