gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d8l2, d9l2, d10l2, d11l2, d12l2, d13l2, d14l2, d15l2, d16l2, d17l2, d18l2, d19l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d8l3, d9l3, d10l3, d11l3, d12l3, d13l3, d14l3, d15l3, d16l3, d17l3, d18l3, d19l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d8l4, d9l4, d10l4, d11l4, d12l4, d13l4, d14l4, d15l4, d16l4, d17l4, d18l4, d19l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d8l5, d9l5, d10l5, d11l5, d12l5, d13l5, d14l5, d15l5, d16l5, d17l5, d18l5, d19l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d8l6, d9l6, d10l6, d11l6, d12l6, d13l6, d14l6, d15l6, d16l6, d17l6, d18l6, d19l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d8l7, d9l7, d10l7, d11l7, d12l7, d13l7, d14l7, d15l7, d16l7, d17l7, d18l7, d19l7, d0W1, d0W0.999998, d0W1, d0W0.990027, d0W0.999991, d0W1, d0W0.700421, d0W0.992869, d0W0.999985, d0W1, d0W0.367879, d0W0.915307, d0W0.997512, d0W0.999991, d0W1, d0W0.700421, d0W0.915307, d0W0.990027, d0W0.999639, d0W0.999998, d0W1, d0W0.990027, d0W0.992869, d0W0.997512, d0W0.999639, d0W0.999985, d0W1, d0W1, d0W0.999998, d0W0.999991, d0W0.999985, d0W0.999991, d0W0.999998, d0W1, d0W1, d0W1, d0W1, d0W1, d0W1, d0W1, d0W1, d0W1, d0W1, d0W1, d0W1, d1W1, d1W0.999998, d1W1, d1W0.990027, d1W0.999991, d1W1, d1W0.700421, d1W0.992869, d1W0.999985, d1W1, d1W0.367879, d1W0.915307, d1W0.997512, d1W0.999991, d1W1, d1W0.700421, d1W0.915307, d1W0.990027, d1W0.999639, d1W0.999998, d1W1, d1W0.990027, d1W0.992869, d1W0.997512, d1W0.999639, d1W0.999985, d1W1, d1W1, d1W0.999998, d1W0.999991, d1W0.999985, d1W0.999991, d1W0.999998, d1W1, d1W1, d1W1, d1W1, d1W1, d1W1, d1W1, d1W1, d1W1, d1W1, d1W1, d1W1, d2W1, d2W0.999998, d2W1, d2W0.990027, d2W0.999991, d2W1, d2W0.700421, d2W0.992869, d2W0.999985, d2W1, d2W0.367879, d2W0.915307, d2W0.997512, d2W0.999991, d2W1, d2W0.700421, d2W0.915307, d2W0.990027, d2W0.999639, d2W0.999998, d2W1, d2W0.990027, d2W0.992869, d2W0.997512, d2W0.999639, d2W0.999985, d2W1, d2W1, d2W0.999998, d2W0.999991, d2W0.999985, d2W0.999991, d2W0.999998, d2W1, d2W1, d2W1, d2W1, d2W1, d2W1, d2W1, d2W1, d2W1, d2W1, d2W1, d2W1, d3W1, d3W0.999998, d3W1, d3W0.990027, d3W0.999991, d3W1, d3W0.700421, d3W0.992869, d3W0.999985, d3W1, d3W0.367879, d3W0.915307, d3W0.997512, d3W0.999991, d3W1, d3W0.700421, d3W0.915307, d3W0.990027, d3W0.999639, d3W0.999998, d3W1, d3W0.990027, d3W0.992869, d3W0.997512, d3W0.999639, d3W0.999985, d3W1, d3W1, d3W0.999998, d3W0.999991, d3W0.999985, d3W0.999991, d3W0.999998, d3W1, d3W1, d3W1, d3W1, d3W1, d3W1, d3W1, d3W1, d3W1, d3W1, d3W1, d3W1, d4W1, d4W0.999998, d4W1, d4W0.990027, d4W0.999991, d4W1, d4W0.700421, d4W0.992869, d4W0.999985, d4W1, d4W0.367879, d4W0.915307, d4W0.997512, d4W0.999991, d4W1, d4W0.700421, d4W0.915307, d4W0.990027, d4W0.999639, d4W0.999998, d4W1, d4W0.990027, d4W0.992869, d4W0.997512, d4W0.999639, d4W0.999985, d4W1, d4W1, d4W0.999998, d4W0.999991, d4W0.999985, d4W0.999991, d4W0.999998, d4W1, d4W1, d4W1, d4W1, d4W1, d4W1, d4W1, d4W1, d4W1, d4W1, d4W1, d4W1, d5W1, d5W0.999998, d5W1, d5W0.990027, d5W0.999991, d5W1, d5W0.700421, d5W0.992869, d5W0.999985, d5W1, d5W0.367879, d5W0.915307, d5W0.997512, d5W0.999991, d5W1, d5W0.700421, d5W0.915307, d5W0.990027, d5W0.999639, d5W0.999998, d5W1, d5W0.990027, d5W0.992869, d5W0.997512, d5W0.999639, d5W0.999985, d5W1, d5W1, d5W0.999998, d5W0.999991, d5W0.999985, d5W0.999991, d5W0.999998, d5W1, d5W1, d5W1, d5W1, d5W1, d5W1, d5W1, d5W1, d5W1, d5W1, d5W1, d5W1, d6W1, d6W0.999998, d6W1, d6W0.990027, d6W0.999991, d6W1, d6W0.700421, d6W0.992869, d6W0.999985, d6W1, d6W0.367879, d6W0.915307, d6W0.997512, d6W0.999991, d6W1, d6W0.700421, d6W0.915307, d6W0.990027, d6W0.999639, d6W0.999998, d6W1, d6W0.990027, d6W0.992869, d6W0.997512, d6W0.999639, d6W0.999985, d6W1, d6W1, d6W0.999998, d6W0.999991, d6W0.999985, d6W0.999991, d6W0.999998, d6W1, d6W1, d6W1, d6W1, d6W1, d6W1, d6W1, d6W1, d6W1, d6W1, d6W1, d6W1, d7W1, d7W0.999998, d7W1, d7W0.990027, d7W0.999991, d7W1, d7W0.700421, d7W0.992869, d7W0.999985, d7W1, d7W0.367879, d7W0.915307, d7W0.997512, d7W0.999991, d7W1, d7W0.700421, d7W0.915307, d7W0.990027, d7W0.999639, d7W0.999998, d7W1, d7W0.990027, d7W0.992869, d7W0.997512, d7W0.999639, d7W0.999985, d7W1, d7W1, d7W0.999998, d7W0.999991, d7W0.999985, d7W0.999991, d7W0.999998, d7W1, d7W1, d7W1, d7W1, d7W1, d7W1, d7W1, d7W1, d7W1, d7W1, d7W1, d7W1, d8W1, d8W0.999998, d8W1, d8W0.990027, d8W0.999991, d8W1, d8W0.700421, d8W0.992869, d8W0.999985, d8W1, d8W0.367879, d8W0.915307, d8W0.997512, d8W0.999991, d8W1, d8W0.700421, d8W0.915307, d8W0.990027, d8W0.999639, d8W0.999998, d8W1, d8W0.990027, d8W0.992869, d8W0.997512, d8W0.999639, d8W0.999985, d8W1, d8W1, d8W0.999998, d8W0.999991, d8W0.999985, d8W0.999991, d8W0.999998, d8W1, d8W1, d8W1, d8W1, d8W1, d8W1, d8W1, d8W1, d8W1, d8W1, d8W1, d8W1, d9W1, d9W0.999998, d9W1, d9W0.990027, d9W0.999991, d9W1, d9W0.700421, d9W0.992869, d9W0.999985, d9W1, d9W0.367879, d9W0.915307, d9W0.997512, d9W0.999991, d9W1, d9W0.700421, d9W0.915307, d9W0.990027, d9W0.999639, d9W0.999998, d9W1, d9W0.990027, d9W0.992869, d9W0.997512, d9W0.999639, d9W0.999985, d9W1, d9W1, d9W0.999998, d9W0.999991, d9W0.999985, d9W0.999991, d9W0.999998, d9W1, d9W1, d9W1, d9W1, d9W1, d9W1, d9W1, d9W1, d9W1, d9W1, d9W1, d9W1, d10W1, d10W0.999998, d10W1, d10W0.990027, d10W0.999991, d10W1, d10W0.700421, d10W0.992869, d10W0.999985, d10W1, d10W0.367879, d10W0.915307, d10W0.997512, d10W0.999991, d10W1, d10W0.700421, d10W0.915307, d10W0.990027, d10W0.999639, d10W0.999998, d10W1, d10W0.990027, d10W0.992869, d10W0.997512, d10W0.999639, d10W0.999985, d10W1, d10W1, d10W0.999998, d10W0.999991, d10W0.999985, d10W0.999991, d10W0.999998, d10W1, d10W1, d10W1, d10W1, d10W1, d10W1, d10W1, d10W1, d10W1, d10W1, d10W1, d10W1, d11W1, d11W0.999998, d11W1, d11W0.990027, d11W0.999991, d11W1, d11W0.700421, d11W0.992869, d11W0.999985, d11W1, d11W0.367879, d11W0.915307, d11W0.997512, d11W0.999991, d11W1, d11W0.700421, d11W0.915307, d11W0.990027, d11W0.999639, d11W0.999998, d11W1, d11W0.990027, d11W0.992869, d11W0.997512, d11W0.999639, d11W0.999985, d11W1, d11W1, d11W0.999998, d11W0.999991, d11W0.999985, d11W0.999991, d11W0.999998, d11W1, d11W1, d11W1, d11W1, d11W1, d11W1, d11W1, d11W1, d11W1, d11W1, d11W1, d11W1, d12W1, d12W0.999998, d12W1, d12W0.990027, d12W0.999991, d12W1, d12W0.700421, d12W0.992869, d12W0.999985, d12W1, d12W0.367879, d12W0.915307, d12W0.997512, d12W0.999991, d12W1, d12W0.700421, d12W0.915307, d12W0.990027, d12W0.999639, d12W0.999998, d12W1, d12W0.990027, d12W0.992869, d12W0.997512, d12W0.999639, d12W0.999985, d12W1, d12W1, d12W0.999998, d12W0.999991, d12W0.999985, d12W0.999991, d12W0.999998, d12W1, d12W1, d12W1, d12W1, d12W1, d12W1, d12W1, d12W1, d12W1, d12W1, d12W1, d12W1, d13W1, d13W0.999998, d13W1, d13W0.990027, d13W0.999991, d13W1, d13W0.700421, d13W0.992869, d13W0.999985, d13W1, d13W0.367879, d13W0.915307, d13W0.997512, d13W0.999991, d13W1, d13W0.700421, d13W0.915307, d13W0.990027, d13W0.999639, d13W0.999998, d13W1, d13W0.990027, d13W0.992869, d13W0.997512, d13W0.999639, d13W0.999985, d13W1, d13W1, d13W0.999998, d13W0.999991, d13W0.999985, d13W0.999991, d13W0.999998, d13W1, d13W1, d13W1, d13W1, d13W1, d13W1, d13W1, d13W1, d13W1, d13W1, d13W1, d13W1, d14W1, d14W0.999998, d14W1, d14W0.990027, d14W0.999991, d14W1, d14W0.700421, d14W0.992869, d14W0.999985, d14W1, d14W0.367879, d14W0.915307, d14W0.997512, d14W0.999991, d14W1, d14W0.700421, d14W0.915307, d14W0.990027, d14W0.999639, d14W0.999998, d14W1, d14W0.990027, d14W0.992869, d14W0.997512, d14W0.999639, d14W0.999985, d14W1, d14W1, d14W0.999998, d14W0.999991, d14W0.999985, d14W0.999991, d14W0.999998, d14W1, d14W1, d14W1, d14W1, d14W1, d14W1, d14W1, d14W1, d14W1, d14W1, d14W1, d14W1, d15W1, d15W0.999998, d15W1, d15W0.990027, d15W0.999991, d15W1, d15W0.700421, d15W0.992869, d15W0.999985, d15W1, d15W0.367879, d15W0.915307, d15W0.997512, d15W0.999991, d15W1, d15W0.700421, d15W0.915307, d15W0.990027, d15W0.999639, d15W0.999998, d15W1, d15W0.990027, d15W0.992869, d15W0.997512, d15W0.999639, d15W0.999985, d15W1, d15W1, d15W0.999998, d15W0.999991, d15W0.999985, d15W0.999991, d15W0.999998, d15W1, d15W1, d15W1, d15W1, d15W1, d15W1, d15W1, d15W1, d15W1, d15W1, d15W1, d15W1, d16W1, d16W0.999998, d16W1, d16W0.990027, d16W0.999991, d16W1, d16W0.700421, d16W0.992869, d16W0.999985, d16W1, d16W0.367879, d16W0.915307, d16W0.997512, d16W0.999991, d16W1, d16W0.700421, d16W0.915307, d16W0.990027, d16W0.999639, d16W0.999998, d16W1, d16W0.990027, d16W0.992869, d16W0.997512, d16W0.999639, d16W0.999985, d16W1, d16W1, d16W0.999998, d16W0.999991, d16W0.999985, d16W0.999991, d16W0.999998, d16W1, d16W1, d16W1, d16W1, d16W1, d16W1, d16W1, d16W1, d16W1, d16W1, d16W1, d16W1, d17W1, d17W0.999998, d17W1, d17W0.990027, d17W0.999991, d17W1, d17W0.700421, d17W0.992869, d17W0.999985, d17W1, d17W0.367879, d17W0.915307, d17W0.997512, d17W0.999991, d17W1, d17W0.700421, d17W0.915307, d17W0.990027, d17W0.999639, d17W0.999998, d17W1, d17W0.990027, d17W0.992869, d17W0.997512, d17W0.999639, d17W0.999985, d17W1, d17W1, d17W0.999998, d17W0.999991, d17W0.999985, d17W0.999991, d17W0.999998, d17W1, d17W1, d17W1, d17W1, d17W1, d17W1, d17W1, d17W1, d17W1, d17W1, d17W1, d17W1, d18W1, d18W0.999998, d18W1, d18W0.990027, d18W0.999991, d18W1, d18W0.700421, d18W0.992869, d18W0.999985, d18W1, d18W0.367879, d18W0.915307, d18W0.997512, d18W0.999991, d18W1, d18W0.700421, d18W0.915307, d18W0.990027, d18W0.999639, d18W0.999998, d18W1, d18W0.990027, d18W0.992869, d18W0.997512, d18W0.999639, d18W0.999985, d18W1, d18W1, d18W0.999998, d18W0.999991, d18W0.999985, d18W0.999991, d18W0.999998, d18W1, d18W1, d18W1, d18W1, d18W1, d18W1, d18W1, d18W1, d18W1, d18W1, d18W1, d18W1, d19W1, d19W0.999998, d19W1, d19W0.990027, d19W0.999991, d19W1, d19W0.700421, d19W0.992869, d19W0.999985, d19W1, d19W0.367879, d19W0.915307, d19W0.997512, d19W0.999991, d19W1, d19W0.700421, d19W0.915307, d19W0.990027, d19W0.999639, d19W0.999998, d19W1, d19W0.990027, d19W0.992869, d19W0.997512, d19W0.999639, d19W0.999985, d19W1, d19W1, d19W0.999998, d19W0.999991, d19W0.999985, d19W0.999991, d19W0.999998, d19W1, d19W1, d19W1, d19W1, d19W1, d19W1, d19W1, d19W1, d19W1, d19W1, d19W1, d19W1, 
0, 0.8995,0.8995,0.9135,0.89975,0.91875,0.907,0.91075,0.9105,0.9065,0.89325,0.89375,0.89775,0.898,0.89525,0.90725,0.912,0.9245,0.92925,0.92225,0.924,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.805,0.8095,0.8195,0.81375,0.82125,0.82225,0.82325,0.82775,0.812,0.819,0.82975,0.83375,0.847,0.8415,0.82725,0.834,0.83375,0.8335,0.84325,0.851,0.846,0.8545,0.8495,0.844,0.855,0.8525,0.85525,0.84125,0.846,0.84575,0.8445,0.8435,0.84125,0.8155,0.814,0.82725,0.80975,0.813,0.82825,0.8145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9595,0.96075,0.96075,0.95925,0.95925,0.95775,0.9555,0.96025,0.96,0.95675,0.95275,0.96025,0.95675,0.95475,0.96225,0.9595,0.965,0.967,0.97,0.9745,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,742,59,753,5,62,327,0,0,5,43,0,0,1,62,3,0,0,5,0,59,43,5,0,1,0,5,0,327,59,62,5,62,59,0,3,753,742,753,327,43,3,43,327,753,742,693,67,812,2,52,306,0,0,10,54,0,0,0,52,4,0,0,2,0,67,54,2,0,0,0,10,0,306,67,52,10,52,67,0,4,812,693,812,306,54,4,54,306,812,693,677,68,815,3,53,321,0,1,11,46,0,0,0,53,5,0,0,3,0,68,46,3,1,0,0,11,0,321,68,53,11,53,68,0,5,815,677,815,321,46,5,46,321,815,677,696,75,816,2,50,312,1,0,8,40,0,0,0,50,0,1,0,2,0,75,40,2,0,0,0,8,0,312,75,50,8,50,75,0,0,816,696,816,312,40,0,40,312,816,696,748,53,801,1,47,294,0,0,13,39,0,0,0,47,4,0,0,1,0,53,39,1,0,0,0,13,0,294,53,47,13,47,53,0,4,801,748,801,294,39,4,39,294,801,748,760,54,793,2,48,285,0,0,15,42,0,0,0,48,1,0,0,2,0,54,42,2,0,0,0,15,0,285,54,48,15,48,54,0,1,793,760,793,285,42,1,42,285,793,760,797,58,778,1,39,276,0,0,9,38,0,0,0,39,4,0,0,1,0,58,38,1,0,0,0,9,0,276,58,39,9,39,58,0,4,778,797,778,276,38,4,38,276,778,797,714,85,785,0,48,313,0,0,13,41,0,0,0,48,1,0,0,0,0,85,41,0,0,0,0,13,0,313,85,48,13,48,85,0,1,785,714,785,313,41,1,41,313,785,714,705,73,780,3,55,317,1,0,9,54,0,0,0,55,3,1,0,3,0,73,54,3,0,0,0,9,0,317,73,55,9,55,73,0,3,780,705,780,317,54,3,54,317,780,705,724,66,780,2,52,319,0,0,9,48,0,0,0,52,0,0,0,2,0,66,48,2,0,0,0,9,0,319,66,52,9,52,66,0,0,780,724,780,319,48,0,48,319,780,724,724,71,805,2,40,294,0,0,10,51,0,0,0,40,3,0,0,2,0,71,51,2,0,0,0,10,0,294,71,40,10,40,71,0,3,805,724,805,294,51,3,51,294,805,724,771,62,739,2,46,300,0,1,16,58,0,0,0,46,5,0,0,2,0,62,58,2,1,0,0,16,0,300,62,46,16,46,62,0,5,739,771,739,300,58,5,58,300,739,771,722,68,814,2,44,298,0,0,7,43,0,0,0,44,2,0,0,2,0,68,43,2,0,0,0,7,0,298,68,44,7,44,68,0,2,814,722,814,298,43,2,43,298,814,722,708,72,803,2,66,284,0,0,8,57,0,0,0,66,0,0,0,2,0,72,57,2,0,0,0,8,0,284,72,66,8,66,72,0,0,803,708,803,284,57,0,57,284,803,708,683,77,828,2,55,298,0,1,12,40,0,0,0,55,4,0,0,2,0,77,40,2,1,0,0,12,0,298,77,55,12,55,77,0,4,828,683,828,298,40,4,40,298,828,683,690,71,802,3,46,325,0,1,12,50,0,0,0,46,0,0,0,3,0,71,50,3,1,0,0,12,0,325,71,46,12,46,71,0,0,802,690,802,325,50,0,50,325,802,690,754,69,814,2,47,266,0,1,9,36,0,0,0,47,2,0,0,2,0,69,36,2,1,0,0,9,0,266,69,47,9,47,69,0,2,814,754,814,266,36,2,36,266,814,754,728,82,819,3,38,282,0,0,6,41,0,0,0,38,1,0,0,3,0,82,41,3,0,0,0,6,0,282,82,38,6,38,82,0,1,819,728,819,282,41,1,41,282,819,728,769,67,813,1,37,266,0,2,9,36,0,0,0,37,0,0,0,1,0,67,36,1,2,0,0,9,0,266,67,37,9,37,67,0,0,813,769,813,266,36,0,36,266,813,769,762,63,792,1,48,287,0,0,12,34,0,0,0,48,1,0,0,1,0,63,34,1,0,0,0,12,0,287,63,48,12,48,63,0,1,792,762,792,287,34,1,34,287,792,762,
100, 0.917,0.921,0.91875,0.92775,0.91775,0.91875,0.9105,0.9045,0.90575,0.905,0.91525,0.9305,0.92175,0.92475,0.919,0.92625,0.90725,0.90275,0.9145,0.92675,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.84175,0.8215,0.84175,0.81225,0.8175,0.811,0.813,0.80275,0.82675,0.8195,0.8185,0.82775,0.832,0.84075,0.84375,0.8405,0.8525,0.8575,0.854,0.84775,0.82575,0.8305,0.83375,0.83825,0.83375,0.85175,0.8485,0.84575,0.8555,0.854,0.83425,0.82525,0.83025,0.82775,0.816,0.82175,0.80075,0.7935,0.78075,0.78675,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.96525,0.96875,0.97775,0.97525,0.97525,0.9695,0.96775,0.9735,0.977,0.969,0.977,0.96425,0.97075,0.968,0.968,0.965,0.97025,0.96375,0.971,0.97275,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,766,54,801,1,39,289,0,0,10,38,0,0,0,39,2,0,0,1,0,54,38,1,0,0,0,10,0,289,54,39,10,39,54,0,2,801,766,801,289,38,2,38,289,801,766,741,65,821,1,44,283,0,0,7,37,0,0,0,44,1,0,0,1,0,65,37,1,0,0,0,7,0,283,65,44,7,44,65,0,1,821,741,821,283,37,1,37,283,821,741,734,73,823,2,54,263,0,0,6,43,0,0,0,54,2,0,0,2,0,73,43,2,0,0,0,6,0,263,73,54,6,54,73,0,2,823,734,823,263,43,2,43,263,823,734,772,71,814,2,38,265,0,0,9,28,0,0,0,38,1,0,0,2,0,71,28,2,0,0,0,9,0,265,71,38,9,38,71,0,1,814,772,814,265,28,1,28,265,814,772,707,73,847,0,45,294,0,0,7,24,0,0,0,45,3,0,0,0,0,73,24,0,0,0,0,7,0,294,73,45,7,45,73,0,3,847,707,847,294,24,3,24,294,847,707,787,73,791,0,37,262,0,1,9,40,0,0,0,37,0,0,0,0,0,73,40,0,1,0,0,9,0,262,73,37,9,37,73,0,0,791,787,791,262,40,0,40,262,791,787,734,85,802,0,52,276,0,1,12,35,0,0,1,52,2,0,0,0,0,85,35,0,1,1,0,12,0,276,85,52,12,52,85,0,2,802,734,802,276,35,2,35,276,802,734,705,71,813,3,50,294,0,1,8,55,0,0,0,50,0,0,0,3,0,71,55,3,1,0,0,8,0,294,71,50,8,50,71,0,0,813,705,813,294,55,0,55,294,813,705,762,81,813,0,47,249,0,0,9,37,0,0,0,47,2,0,0,0,0,81,37,0,0,0,0,9,0,249,81,47,9,47,81,0,2,813,762,813,249,37,2,37,249,813,762,751,77,781,1,54,293,0,0,7,36,0,0,0,54,0,0,0,1,0,77,36,1,0,0,0,7,0,293,77,54,7,54,77,0,0,781,751,781,293,36,0,36,293,781,751,754,79,819,4,41,253,1,2,6,41,0,0,0,41,0,1,0,4,0,79,41,4,2,0,0,6,0,253,79,41,6,41,79,0,0,819,754,819,253,41,0,41,253,819,754,816,75,770,3,35,264,0,0,7,28,0,0,0,35,2,0,0,3,0,75,28,3,0,0,0,7,0,264,75,35,7,35,75,0,2,770,816,770,264,28,2,28,264,770,816,760,63,799,4,36,292,0,2,9,35,0,0,0,36,0,0,0,4,0,63,35,4,2,0,0,9,0,292,63,36,9,36,63,0,0,799,760,799,292,35,0,35,292,799,760,784,69,807,0,42,263,0,1,6,26,0,0,0,42,2,0,0,0,0,69,26,0,1,0,0,6,0,263,69,42,6,42,69,0,2,807,784,807,263,26,2,26,263,807,784,732,67,806,0,56,291,0,0,7,40,0,0,0,56,1,0,0,0,0,67,40,0,0,0,0,7,0,291,67,56,7,56,67,0,1,806,732,806,291,40,1,40,291,806,732,755,68,782,0,49,296,0,0,9,39,0,0,0,49,2,0,0,0,0,68,39,0,0,0,0,9,0,296,68,49,9,49,68,0,2,782,755,782,296,39,2,39,296,782,755,718,88,788,1,56,293,0,1,12,43,0,0,0,56,0,0,0,1,0,88,43,1,1,0,0,12,0,293,88,56,12,56,88,0,0,788,718,788,293,43,0,43,293,788,718,680,91,809,2,46,324,0,0,6,42,0,0,0,46,0,0,0,2,0,91,42,2,0,0,0,6,0,324,91,46,6,46,91,0,0,809,680,809,324,42,0,42,324,809,680,709,64,808,1,71,302,0,1,8,36,0,0,0,71,0,0,0,1,0,64,36,1,1,0,0,8,0,302,64,71,8,71,64,0,0,808,709,808,302,36,0,36,302,808,709,709,80,820,3,67,276,0,1,7,35,0,0,0,67,2,0,0,3,0,80,35,3,1,0,0,7,0,276,80,67,7,67,80,0,2,820,709,820,276,35,2,35,276,820,709,
200, 0.92525,0.92275,0.92375,0.924,0.91225,0.91175,0.915,0.925,0.92425,0.924,0.931,0.93,0.9245,0.921,0.9225,0.92475,0.93175,0.92625,0.923,0.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.82325,0.82275,0.81375,0.8315,0.8225,0.81675,0.827,0.82225,0.8365,0.8425,0.82025,0.83725,0.8385,0.8545,0.85875,0.85175,0.858,0.85175,0.85625,0.84075,0.861,0.8705,0.8815,0.88,0.87025,0.8705,0.85975,0.85025,0.84975,0.8505,0.83425,0.83425,0.8285,0.819,0.821,0.8255,0.819,0.82,0.8235,0.82375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.97775,0.9735,0.9715,0.96975,0.97225,0.96975,0.963,0.96275,0.97125,0.97325,0.9655,0.97,0.95825,0.96825,0.966,0.97325,0.96525,0.95825,0.967,0.96925,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,797,57,806,3,48,236,0,0,8,42,0,0,0,48,3,0,0,3,0,57,42,3,0,0,0,8,0,236,57,48,8,48,57,0,3,806,797,806,236,42,3,42,236,806,797,840,55,770,2,37,243,0,0,4,47,0,0,0,37,2,0,0,2,0,55,47,2,0,0,0,4,0,243,55,37,4,37,55,0,2,770,840,770,243,47,2,47,243,770,840,868,53,780,1,35,231,0,1,3,28,0,0,0,35,0,0,0,1,0,53,28,1,1,0,0,3,0,231,53,35,3,35,53,0,0,780,868,780,231,28,0,28,231,780,868,824,54,796,1,37,251,0,1,6,29,0,0,0,37,1,0,0,1,0,54,29,1,1,0,0,6,0,251,54,37,6,37,54,0,1,796,824,796,251,29,1,29,251,796,824,859,58,748,0,40,247,0,0,11,35,0,0,0,40,2,0,0,0,0,58,35,0,0,0,0,11,0,247,58,40,11,40,58,0,2,748,859,748,247,35,2,35,247,748,859,779,60,807,2,52,268,0,0,7,24,0,0,0,52,1,0,0,2,0,60,24,2,0,0,0,7,0,268,60,52,7,52,60,0,1,807,779,807,268,24,1,24,268,807,779,783,69,764,5,54,271,0,1,7,44,0,0,0,54,2,0,0,5,0,69,44,5,1,0,0,7,0,271,69,54,7,54,69,0,2,764,783,764,271,44,2,44,271,764,783,794,57,786,4,40,261,0,0,10,46,0,0,1,40,1,0,0,4,0,57,46,4,0,1,0,10,0,261,57,40,10,40,57,0,1,786,794,786,261,46,1,46,261,786,794,817,63,780,2,41,253,0,0,10,34,0,0,0,41,0,0,0,2,0,63,34,2,0,0,0,10,0,253,63,41,10,41,63,0,0,780,817,780,253,34,0,34,253,780,817,886,64,731,1,42,233,0,0,6,34,0,0,0,42,3,0,0,1,0,64,34,1,0,0,0,6,0,233,64,42,6,42,64,0,3,731,886,731,233,34,3,34,233,731,886,792,67,797,2,47,260,0,0,5,29,0,0,0,47,1,0,0,2,0,67,29,2,0,0,0,5,0,260,67,47,5,47,67,0,1,797,792,797,260,29,1,29,260,797,792,768,64,791,3,37,297,0,0,4,36,0,0,0,37,0,0,0,3,0,64,36,3,0,0,0,4,0,297,64,37,4,37,64,0,0,791,768,791,297,36,0,36,297,791,768,769,76,783,0,49,281,0,0,7,33,0,0,0,49,2,0,0,0,0,76,33,0,0,0,0,7,0,281,76,49,7,49,76,0,2,783,769,783,281,33,2,33,281,783,769,750,61,822,0,43,271,0,1,7,43,0,0,0,43,2,0,0,0,0,61,43,0,1,0,0,7,0,271,61,43,7,43,61,0,2,822,750,822,271,43,2,43,271,822,750,780,70,804,1,40,275,0,1,8,21,0,0,0,40,0,0,0,1,0,70,21,1,1,0,0,8,0,275,70,40,8,40,70,0,0,804,780,804,275,21,0,21,275,804,780,793,65,804,0,40,253,0,0,8,35,0,0,0,40,2,0,0,0,0,65,35,0,0,0,0,8,0,253,65,40,8,40,65,0,2,804,793,804,253,35,2,35,253,804,793,809,66,793,0,38,252,0,0,9,30,0,0,0,38,3,0,0,0,0,66,30,0,0,0,0,9,0,252,66,38,9,38,66,0,3,793,809,793,252,30,3,30,252,793,809,775,82,774,2,47,277,0,0,10,30,0,0,0,47,3,0,0,2,0,82,30,2,0,0,0,10,0,277,82,47,10,47,82,0,3,774,775,774,277,30,3,30,277,774,775,764,71,784,0,39,302,0,0,5,34,0,0,0,39,1,0,0,0,0,71,34,0,0,0,0,5,0,302,71,39,5,39,71,0,1,784,764,784,302,34,1,34,302,784,764,769,63,824,1,42,270,0,1,3,27,0,0,0,42,0,0,0,1,0,63,27,1,1,0,0,3,0,270,63,42,3,42,63,0,0,824,769,824,270,27,0,27,270,824,769,
