gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0l2, d1l2, d2l2, d3l2, d4l2, d5l2, d6l2, d7l2, d8l2, d9l2, d10l2, d11l2, d12l2, d13l2, d14l2, d15l2, d16l2, d17l2, d18l2, d19l2, d0l3, d1l3, d2l3, d3l3, d4l3, d5l3, d6l3, d7l3, d8l3, d9l3, d10l3, d11l3, d12l3, d13l3, d14l3, d15l3, d16l3, d17l3, d18l3, d19l3, d0l4, d1l4, d2l4, d3l4, d4l4, d5l4, d6l4, d7l4, d8l4, d9l4, d10l4, d11l4, d12l4, d13l4, d14l4, d15l4, d16l4, d17l4, d18l4, d19l4, d0l5, d1l5, d2l5, d3l5, d4l5, d5l5, d6l5, d7l5, d8l5, d9l5, d10l5, d11l5, d12l5, d13l5, d14l5, d15l5, d16l5, d17l5, d18l5, d19l5, d0l6, d1l6, d2l6, d3l6, d4l6, d5l6, d6l6, d7l6, d8l6, d9l6, d10l6, d11l6, d12l6, d13l6, d14l6, d15l6, d16l6, d17l6, d18l6, d19l6, d0l7, d1l7, d2l7, d3l7, d4l7, d5l7, d6l7, d7l7, d8l7, d9l7, d10l7, d11l7, d12l7, d13l7, d14l7, d15l7, d16l7, d17l7, d18l7, d19l7, d0W1, d0W1, d0W1, d0W0.998998, d0W0.999999, d0W1, d0W0.965019, d0W0.999285, d0W0.999998, d0W1, d0W0.904837, d0W0.991189, d0W0.999751, d0W0.999999, d0W1, d0W0.965019, d0W0.991189, d0W0.998998, d0W0.999964, d0W1, d0W1, d0W0.998998, d0W0.999285, d0W0.999751, d0W0.999964, d0W0.999998, d0W1, d0W1, d0W1, d0W0.999999, d0W0.999998, d0W0.999999, d0W1, d0W1, d0W1, d0W1, d0W1, d0W1, d0W1, d0W1, d0W1, d0W1, d0W1, d0W1, d0W1, d1W1, d1W1, d1W1, d1W0.998998, d1W0.999999, d1W1, d1W0.965019, d1W0.999285, d1W0.999998, d1W1, d1W0.904837, d1W0.991189, d1W0.999751, d1W0.999999, d1W1, d1W0.965019, d1W0.991189, d1W0.998998, d1W0.999964, d1W1, d1W1, d1W0.998998, d1W0.999285, d1W0.999751, d1W0.999964, d1W0.999998, d1W1, d1W1, d1W1, d1W0.999999, d1W0.999998, d1W0.999999, d1W1, d1W1, d1W1, d1W1, d1W1, d1W1, d1W1, d1W1, d1W1, d1W1, d1W1, d1W1, d1W1, d2W1, d2W1, d2W1, d2W0.998998, d2W0.999999, d2W1, d2W0.965019, d2W0.999285, d2W0.999998, d2W1, d2W0.904837, d2W0.991189, d2W0.999751, d2W0.999999, d2W1, d2W0.965019, d2W0.991189, d2W0.998998, d2W0.999964, d2W1, d2W1, d2W0.998998, d2W0.999285, d2W0.999751, d2W0.999964, d2W0.999998, d2W1, d2W1, d2W1, d2W0.999999, d2W0.999998, d2W0.999999, d2W1, d2W1, d2W1, d2W1, d2W1, d2W1, d2W1, d2W1, d2W1, d2W1, d2W1, d2W1, d2W1, d3W1, d3W1, d3W1, d3W0.998998, d3W0.999999, d3W1, d3W0.965019, d3W0.999285, d3W0.999998, d3W1, d3W0.904837, d3W0.991189, d3W0.999751, d3W0.999999, d3W1, d3W0.965019, d3W0.991189, d3W0.998998, d3W0.999964, d3W1, d3W1, d3W0.998998, d3W0.999285, d3W0.999751, d3W0.999964, d3W0.999998, d3W1, d3W1, d3W1, d3W0.999999, d3W0.999998, d3W0.999999, d3W1, d3W1, d3W1, d3W1, d3W1, d3W1, d3W1, d3W1, d3W1, d3W1, d3W1, d3W1, d3W1, d4W1, d4W1, d4W1, d4W0.998998, d4W0.999999, d4W1, d4W0.965019, d4W0.999285, d4W0.999998, d4W1, d4W0.904837, d4W0.991189, d4W0.999751, d4W0.999999, d4W1, d4W0.965019, d4W0.991189, d4W0.998998, d4W0.999964, d4W1, d4W1, d4W0.998998, d4W0.999285, d4W0.999751, d4W0.999964, d4W0.999998, d4W1, d4W1, d4W1, d4W0.999999, d4W0.999998, d4W0.999999, d4W1, d4W1, d4W1, d4W1, d4W1, d4W1, d4W1, d4W1, d4W1, d4W1, d4W1, d4W1, d4W1, d5W1, d5W1, d5W1, d5W0.998998, d5W0.999999, d5W1, d5W0.965019, d5W0.999285, d5W0.999998, d5W1, d5W0.904837, d5W0.991189, d5W0.999751, d5W0.999999, d5W1, d5W0.965019, d5W0.991189, d5W0.998998, d5W0.999964, d5W1, d5W1, d5W0.998998, d5W0.999285, d5W0.999751, d5W0.999964, d5W0.999998, d5W1, d5W1, d5W1, d5W0.999999, d5W0.999998, d5W0.999999, d5W1, d5W1, d5W1, d5W1, d5W1, d5W1, d5W1, d5W1, d5W1, d5W1, d5W1, d5W1, d5W1, d6W1, d6W1, d6W1, d6W0.998998, d6W0.999999, d6W1, d6W0.965019, d6W0.999285, d6W0.999998, d6W1, d6W0.904837, d6W0.991189, d6W0.999751, d6W0.999999, d6W1, d6W0.965019, d6W0.991189, d6W0.998998, d6W0.999964, d6W1, d6W1, d6W0.998998, d6W0.999285, d6W0.999751, d6W0.999964, d6W0.999998, d6W1, d6W1, d6W1, d6W0.999999, d6W0.999998, d6W0.999999, d6W1, d6W1, d6W1, d6W1, d6W1, d6W1, d6W1, d6W1, d6W1, d6W1, d6W1, d6W1, d6W1, d7W1, d7W1, d7W1, d7W0.998998, d7W0.999999, d7W1, d7W0.965019, d7W0.999285, d7W0.999998, d7W1, d7W0.904837, d7W0.991189, d7W0.999751, d7W0.999999, d7W1, d7W0.965019, d7W0.991189, d7W0.998998, d7W0.999964, d7W1, d7W1, d7W0.998998, d7W0.999285, d7W0.999751, d7W0.999964, d7W0.999998, d7W1, d7W1, d7W1, d7W0.999999, d7W0.999998, d7W0.999999, d7W1, d7W1, d7W1, d7W1, d7W1, d7W1, d7W1, d7W1, d7W1, d7W1, d7W1, d7W1, d7W1, d8W1, d8W1, d8W1, d8W0.998998, d8W0.999999, d8W1, d8W0.965019, d8W0.999285, d8W0.999998, d8W1, d8W0.904837, d8W0.991189, d8W0.999751, d8W0.999999, d8W1, d8W0.965019, d8W0.991189, d8W0.998998, d8W0.999964, d8W1, d8W1, d8W0.998998, d8W0.999285, d8W0.999751, d8W0.999964, d8W0.999998, d8W1, d8W1, d8W1, d8W0.999999, d8W0.999998, d8W0.999999, d8W1, d8W1, d8W1, d8W1, d8W1, d8W1, d8W1, d8W1, d8W1, d8W1, d8W1, d8W1, d8W1, d9W1, d9W1, d9W1, d9W0.998998, d9W0.999999, d9W1, d9W0.965019, d9W0.999285, d9W0.999998, d9W1, d9W0.904837, d9W0.991189, d9W0.999751, d9W0.999999, d9W1, d9W0.965019, d9W0.991189, d9W0.998998, d9W0.999964, d9W1, d9W1, d9W0.998998, d9W0.999285, d9W0.999751, d9W0.999964, d9W0.999998, d9W1, d9W1, d9W1, d9W0.999999, d9W0.999998, d9W0.999999, d9W1, d9W1, d9W1, d9W1, d9W1, d9W1, d9W1, d9W1, d9W1, d9W1, d9W1, d9W1, d9W1, d10W1, d10W1, d10W1, d10W0.998998, d10W0.999999, d10W1, d10W0.965019, d10W0.999285, d10W0.999998, d10W1, d10W0.904837, d10W0.991189, d10W0.999751, d10W0.999999, d10W1, d10W0.965019, d10W0.991189, d10W0.998998, d10W0.999964, d10W1, d10W1, d10W0.998998, d10W0.999285, d10W0.999751, d10W0.999964, d10W0.999998, d10W1, d10W1, d10W1, d10W0.999999, d10W0.999998, d10W0.999999, d10W1, d10W1, d10W1, d10W1, d10W1, d10W1, d10W1, d10W1, d10W1, d10W1, d10W1, d10W1, d10W1, d11W1, d11W1, d11W1, d11W0.998998, d11W0.999999, d11W1, d11W0.965019, d11W0.999285, d11W0.999998, d11W1, d11W0.904837, d11W0.991189, d11W0.999751, d11W0.999999, d11W1, d11W0.965019, d11W0.991189, d11W0.998998, d11W0.999964, d11W1, d11W1, d11W0.998998, d11W0.999285, d11W0.999751, d11W0.999964, d11W0.999998, d11W1, d11W1, d11W1, d11W0.999999, d11W0.999998, d11W0.999999, d11W1, d11W1, d11W1, d11W1, d11W1, d11W1, d11W1, d11W1, d11W1, d11W1, d11W1, d11W1, d11W1, d12W1, d12W1, d12W1, d12W0.998998, d12W0.999999, d12W1, d12W0.965019, d12W0.999285, d12W0.999998, d12W1, d12W0.904837, d12W0.991189, d12W0.999751, d12W0.999999, d12W1, d12W0.965019, d12W0.991189, d12W0.998998, d12W0.999964, d12W1, d12W1, d12W0.998998, d12W0.999285, d12W0.999751, d12W0.999964, d12W0.999998, d12W1, d12W1, d12W1, d12W0.999999, d12W0.999998, d12W0.999999, d12W1, d12W1, d12W1, d12W1, d12W1, d12W1, d12W1, d12W1, d12W1, d12W1, d12W1, d12W1, d12W1, d13W1, d13W1, d13W1, d13W0.998998, d13W0.999999, d13W1, d13W0.965019, d13W0.999285, d13W0.999998, d13W1, d13W0.904837, d13W0.991189, d13W0.999751, d13W0.999999, d13W1, d13W0.965019, d13W0.991189, d13W0.998998, d13W0.999964, d13W1, d13W1, d13W0.998998, d13W0.999285, d13W0.999751, d13W0.999964, d13W0.999998, d13W1, d13W1, d13W1, d13W0.999999, d13W0.999998, d13W0.999999, d13W1, d13W1, d13W1, d13W1, d13W1, d13W1, d13W1, d13W1, d13W1, d13W1, d13W1, d13W1, d13W1, d14W1, d14W1, d14W1, d14W0.998998, d14W0.999999, d14W1, d14W0.965019, d14W0.999285, d14W0.999998, d14W1, d14W0.904837, d14W0.991189, d14W0.999751, d14W0.999999, d14W1, d14W0.965019, d14W0.991189, d14W0.998998, d14W0.999964, d14W1, d14W1, d14W0.998998, d14W0.999285, d14W0.999751, d14W0.999964, d14W0.999998, d14W1, d14W1, d14W1, d14W0.999999, d14W0.999998, d14W0.999999, d14W1, d14W1, d14W1, d14W1, d14W1, d14W1, d14W1, d14W1, d14W1, d14W1, d14W1, d14W1, d14W1, d15W1, d15W1, d15W1, d15W0.998998, d15W0.999999, d15W1, d15W0.965019, d15W0.999285, d15W0.999998, d15W1, d15W0.904837, d15W0.991189, d15W0.999751, d15W0.999999, d15W1, d15W0.965019, d15W0.991189, d15W0.998998, d15W0.999964, d15W1, d15W1, d15W0.998998, d15W0.999285, d15W0.999751, d15W0.999964, d15W0.999998, d15W1, d15W1, d15W1, d15W0.999999, d15W0.999998, d15W0.999999, d15W1, d15W1, d15W1, d15W1, d15W1, d15W1, d15W1, d15W1, d15W1, d15W1, d15W1, d15W1, d15W1, d16W1, d16W1, d16W1, d16W0.998998, d16W0.999999, d16W1, d16W0.965019, d16W0.999285, d16W0.999998, d16W1, d16W0.904837, d16W0.991189, d16W0.999751, d16W0.999999, d16W1, d16W0.965019, d16W0.991189, d16W0.998998, d16W0.999964, d16W1, d16W1, d16W0.998998, d16W0.999285, d16W0.999751, d16W0.999964, d16W0.999998, d16W1, d16W1, d16W1, d16W0.999999, d16W0.999998, d16W0.999999, d16W1, d16W1, d16W1, d16W1, d16W1, d16W1, d16W1, d16W1, d16W1, d16W1, d16W1, d16W1, d16W1, d17W1, d17W1, d17W1, d17W0.998998, d17W0.999999, d17W1, d17W0.965019, d17W0.999285, d17W0.999998, d17W1, d17W0.904837, d17W0.991189, d17W0.999751, d17W0.999999, d17W1, d17W0.965019, d17W0.991189, d17W0.998998, d17W0.999964, d17W1, d17W1, d17W0.998998, d17W0.999285, d17W0.999751, d17W0.999964, d17W0.999998, d17W1, d17W1, d17W1, d17W0.999999, d17W0.999998, d17W0.999999, d17W1, d17W1, d17W1, d17W1, d17W1, d17W1, d17W1, d17W1, d17W1, d17W1, d17W1, d17W1, d17W1, d18W1, d18W1, d18W1, d18W0.998998, d18W0.999999, d18W1, d18W0.965019, d18W0.999285, d18W0.999998, d18W1, d18W0.904837, d18W0.991189, d18W0.999751, d18W0.999999, d18W1, d18W0.965019, d18W0.991189, d18W0.998998, d18W0.999964, d18W1, d18W1, d18W0.998998, d18W0.999285, d18W0.999751, d18W0.999964, d18W0.999998, d18W1, d18W1, d18W1, d18W0.999999, d18W0.999998, d18W0.999999, d18W1, d18W1, d18W1, d18W1, d18W1, d18W1, d18W1, d18W1, d18W1, d18W1, d18W1, d18W1, d18W1, d19W1, d19W1, d19W1, d19W0.998998, d19W0.999999, d19W1, d19W0.965019, d19W0.999285, d19W0.999998, d19W1, d19W0.904837, d19W0.991189, d19W0.999751, d19W0.999999, d19W1, d19W0.965019, d19W0.991189, d19W0.998998, d19W0.999964, d19W1, d19W1, d19W0.998998, d19W0.999285, d19W0.999751, d19W0.999964, d19W0.999998, d19W1, d19W1, d19W1, d19W0.999999, d19W0.999998, d19W0.999999, d19W1, d19W1, d19W1, d19W1, d19W1, d19W1, d19W1, d19W1, d19W1, d19W1, d19W1, d19W1, d19W1, 
0, 0.133,0.12925,0.15175,0.16375,0.1855,0.20475,0.197,0.21,0.2425,0.23425,0.21675,0.23175,0.23,0.19325,0.196,0.19825,0.18375,0.17825,0.17525,0.18525,0.1075,0.1,0.1355,0.12,0.12375,0.099,0.08775,0.08175,0.101,0.11625,0.12625,0.14375,0.13025,0.13775,0.155,0.16975,0.15825,0.18225,0.1815,0.184,0.00275,0.0035,0.0115,0.0065,0.0035,0.003,0.00525,0.005,0.00375,0.0105,0.01325,0.00925,0.01125,0.01575,0.0255,0.014,0.00575,0.001,0,0,0.11925,0.11725,0.129,0.13525,0.113,0.131,0.07775,0.0935,0.0885,0.10075,0.14275,0.12275,0.13275,0.14875,0.13375,0.1255,0.1165,0.125,0.12725,0.1385,0.263,0.21625,0.21275,0.19525,0.22475,0.245,0.18725,0.183,0.1855,0.18775,0.207,0.202,0.21625,0.20725,0.235,0.22875,0.23875,0.26775,0.30475,0.324,0.2395,0.27675,0.25025,0.23975,0.232,0.214,0.1905,0.18775,0.21975,0.185,0.169,0.171,0.174,0.17775,0.2245,0.2125,0.178,0.1975,0.16075,0.18025,0.31625,0.317,0.302,0.32525,0.282,0.2435,0.24775,0.23675,0.2495,0.2335,0.23975,0.23825,0.2565,0.257,0.235,0.2235,0.23525,0.254,0.26075,0.24825,0.065,0.077,0.067,0.06425,0.06375,0.0805,0.08225,0.105,0.101,0.1025,0.08175,0.0945,0.07275,0.05875,0.05,0.052,0.04175,0.04875,0.0425,0.03875,496,84,496,7,200,538,1,24,137,367,0,0,10,200,129,1,0,7,4,84,367,7,24,10,4,137,3,538,84,200,137,200,84,3,129,496,496,496,538,367,129,367,538,496,496,523,78,523,6,206,484,0,19,154,380,0,1,7,206,135,0,1,6,3,78,380,6,19,7,3,154,4,484,78,206,154,206,78,4,135,523,523,523,484,380,135,380,484,523,523,470,76,470,13,215,521,0,16,136,391,0,0,13,215,142,0,0,13,6,76,391,13,16,13,6,136,1,521,76,215,136,215,76,1,142,470,470,470,521,391,142,391,521,470,470,506,86,506,8,217,503,1,12,131,390,0,3,10,217,124,1,3,8,5,86,390,8,12,10,5,131,4,503,86,217,131,217,86,4,124,506,506,506,503,390,124,390,503,506,506,517,72,517,6,204,515,0,19,118,378,0,2,12,204,152,0,2,6,5,72,378,6,19,12,5,118,0,515,72,204,118,204,72,0,152,517,517,517,515,378,152,378,515,517,517,527,77,527,10,182,536,0,12,132,364,0,0,10,182,146,0,0,10,4,77,364,10,12,10,4,132,0,536,77,182,132,182,77,0,146,527,527,527,536,364,146,364,536,527,527,675,64,675,10,153,544,0,10,89,340,0,1,5,153,104,0,1,10,2,64,340,10,10,5,2,89,3,544,64,153,89,153,64,3,104,675,675,675,544,340,104,340,544,675,675,624,66,624,6,151,510,1,12,99,407,0,0,6,151,114,1,0,6,3,66,407,6,12,6,3,99,1,510,66,151,99,151,66,1,114,624,624,624,510,407,114,407,510,624,624,568,66,568,8,196,522,2,13,120,363,0,1,16,196,118,2,1,8,6,66,363,8,13,16,6,120,1,522,66,196,120,196,66,1,118,568,568,568,522,363,118,363,522,568,568,611,68,611,8,168,497,0,11,121,375,0,0,9,168,129,0,0,8,1,68,375,8,11,9,1,121,2,497,68,168,121,168,68,2,129,611,611,611,497,375,129,375,497,611,611,543,67,543,9,163,505,1,5,130,428,0,1,11,163,134,1,1,9,1,67,428,9,5,11,1,130,2,505,67,163,130,163,67,2,134,543,543,543,505,428,134,428,505,543,543,551,67,551,4,177,499,0,13,127,409,0,0,10,177,132,0,0,4,8,67,409,4,13,10,8,127,3,499,67,177,127,177,67,3,132,551,551,551,499,409,132,409,499,551,551,505,70,505,9,182,522,0,14,150,380,0,1,16,182,141,0,1,9,7,70,380,9,14,16,7,150,3,522,70,182,150,182,70,3,141,505,505,505,522,380,141,380,522,505,505,539,77,539,6,174,521,0,23,116,369,0,1,11,174,150,0,1,6,10,77,369,6,23,11,10,116,3,521,77,174,116,174,77,3,150,539,539,539,521,369,150,369,521,539,539,515,74,515,6,204,500,0,17,122,404,0,0,7,204,146,0,0,6,1,74,404,6,17,7,1,122,4,500,74,204,122,204,74,4,146,515,515,515,500,404,146,404,500,515,515,511,80,511,2,167,532,1,11,111,424,0,1,6,167,144,1,1,2,7,80,424,2,11,6,7,111,3,532,80,167,111,167,80,3,144,511,511,511,532,424,144,424,532,511,511,606,55,606,5,197,513,0,12,119,357,0,0,14,197,117,0,0,5,3,55,357,5,12,14,3,119,2,513,55,197,119,197,55,2,117,606,606,606,513,357,117,357,513,606,606,517,92,517,6,198,489,0,22,134,359,0,1,15,198,159,0,1,6,7,92,359,6,22,15,7,134,1,489,92,198,134,198,92,1,159,517,517,517,489,359,159,359,489,517,517,506,60,506,13,197,529,2,19,134,382,1,3,15,197,134,2,3,13,4,60,382,13,19,15,4,134,1,529,60,197,134,197,60,1,134,506,506,506,529,382,134,382,529,506,506,478,87,478,12,230,506,2,20,149,368,0,1,14,230,129,2,1,12,4,87,368,12,20,14,4,149,0,506,87,230,149,230,87,0,129,478,478,478,506,368,129,368,506,478,478,
100, 0.17275,0.1855,0.14825,0.19025,0.194,0.1815,0.19125,0.2045,0.20825,0.205,0.2145,0.204,0.1565,0.16925,0.15825,0.14425,0.167,0.165,0.16875,0.17525,0.16025,0.1445,0.1385,0.141,0.14525,0.115,0.126,0.114,0.11025,0.11325,0.13125,0.15325,0.121,0.1025,0.10275,0.14725,0.153,0.14,0.1585,0.16025,0.01825,0.009,0.01875,0.01425,0.01575,0.02025,0.01775,0.0165,0.00725,0.013,0.01275,0.023,0.017,0.016,0.00775,0.0105,0.0075,0.00225,0.001,0.0005,0.1305,0.1315,0.12075,0.116,0.13275,0.133,0.133,0.13275,0.1165,0.142,0.1455,0.14525,0.14825,0.14075,0.11575,0.1405,0.16875,0.15925,0.1385,0.13925,0.24925,0.2595,0.256,0.21775,0.22875,0.22625,0.218,0.17675,0.17875,0.153,0.14975,0.14975,0.19225,0.2085,0.23325,0.254,0.23525,0.23325,0.20825,0.22425,0.23725,0.2425,0.234,0.225,0.22675,0.25225,0.22225,0.2415,0.26275,0.21875,0.22075,0.21325,0.20375,0.18,0.17225,0.18525,0.16675,0.166,0.18275,0.16625,0.30575,0.304,0.2865,0.282,0.27825,0.27425,0.24175,0.252,0.29175,0.249,0.2545,0.2485,0.2405,0.232,0.23075,0.219,0.2195,0.23025,0.23675,0.25,0.051,0.03525,0.06225,0.06775,0.07075,0.07675,0.10475,0.1155,0.09525,0.08025,0.05375,0.05325,0.06525,0.05625,0.06375,0.05425,0.0265,0.034,0.04475,0.037,432,85,432,14,232,490,0,20,133,414,0,2,11,232,157,0,2,14,5,85,414,14,20,11,5,133,5,490,85,232,133,232,85,5,157,432,432,432,490,414,157,414,490,432,432,439,69,439,20,217,486,1,20,166,414,0,1,9,217,147,1,1,20,8,69,414,20,20,9,8,166,3,486,69,217,166,217,69,3,147,439,439,439,486,414,147,414,486,439,439,520,78,520,12,196,496,1,16,141,373,0,0,16,196,148,1,0,12,2,78,373,12,16,16,2,141,1,496,78,196,141,196,78,1,148,520,520,520,496,373,148,373,496,520,520,559,83,559,10,219,497,2,25,123,333,0,2,10,219,130,2,2,10,4,83,333,10,25,10,4,123,3,497,83,219,123,219,83,3,130,559,559,559,497,333,130,333,497,559,559,489,70,489,11,202,509,0,11,139,394,0,2,15,202,148,0,2,11,8,70,394,11,11,15,8,139,2,509,70,202,139,202,70,2,148,489,489,489,509,394,148,394,509,489,489,477,64,477,9,206,471,1,18,148,404,0,0,18,206,180,1,0,9,2,64,404,9,18,18,2,148,2,471,64,206,148,206,64,2,180,477,477,477,471,404,180,404,471,477,477,538,67,538,13,190,476,0,19,125,385,0,2,14,190,160,0,2,13,6,67,385,13,19,14,6,125,5,476,67,190,125,190,67,5,160,538,538,538,476,385,160,385,476,538,538,515,58,515,4,206,524,1,13,118,402,0,0,12,206,142,1,0,4,1,58,402,4,13,12,1,118,4,524,58,206,118,206,58,4,142,515,515,515,524,402,142,402,524,515,515,500,75,500,6,187,518,0,19,140,379,0,1,16,187,150,0,1,6,8,75,379,6,19,16,8,140,1,518,75,187,140,187,75,1,150,500,500,500,518,379,150,379,518,500,500,609,76,609,8,171,521,1,12,98,365,0,1,9,171,121,1,1,8,6,76,365,8,12,9,6,98,2,521,76,171,98,171,76,2,121,609,609,609,521,365,121,365,521,609,609,599,69,599,9,166,505,0,11,122,376,0,1,6,166,129,0,1,9,7,69,376,9,11,6,7,122,0,505,69,166,122,166,69,0,129,599,599,599,505,376,129,376,505,599,599,572,75,572,6,183,517,0,14,121,365,1,1,8,183,133,0,1,6,2,75,365,6,14,8,2,121,2,517,75,183,121,183,75,2,133,572,572,572,517,365,133,365,517,572,572,610,61,610,6,168,543,0,11,102,365,0,1,12,168,119,0,1,6,2,61,365,6,11,12,2,102,0,543,61,168,102,168,61,0,119,610,610,610,543,365,119,365,543,610,610,647,77,647,11,160,530,0,8,93,346,0,0,5,160,118,0,0,11,3,77,346,11,8,5,3,93,2,530,77,160,93,160,77,2,118,647,647,647,530,346,118,346,530,647,647,625,72,625,6,157,557,1,14,108,344,0,1,7,157,99,1,1,6,8,72,344,6,14,7,8,108,1,557,72,157,108,157,72,1,99,625,625,625,557,344,99,344,557,625,625,603,72,603,6,179,507,0,13,108,358,0,1,9,179,137,0,1,6,5,72,358,6,13,9,5,108,2,507,72,179,108,179,72,2,137,603,603,603,507,358,137,358,507,603,603,606,68,606,4,175,562,0,6,105,342,0,0,10,175,120,0,0,4,2,68,342,4,6,10,2,105,0,562,68,175,105,175,68,0,120,606,606,606,562,342,120,342,562,606,606,585,73,585,9,177,544,0,12,113,349,0,1,9,177,121,0,1,9,4,73,349,9,12,9,4,113,3,544,73,177,113,177,73,3,121,585,585,585,544,349,121,349,544,585,585,585,76,585,9,159,561,0,9,110,345,0,1,8,159,133,0,1,9,4,76,345,9,9,8,4,110,0,561,76,159,110,159,76,0,133,585,585,585,561,345,133,345,561,585,585,583,69,583,12,180,535,0,14,115,336,0,0,8,180,146,0,0,12,2,69,336,12,14,8,2,115,0,535,69,180,115,180,69,0,146,583,583,583,535,336,146,336,535,583,583,
