gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W1, d0W0.449329, d0W0.45578, d0W1, d0W0.45578, d0W0.449329, d1W1, d1W0.449329, d1W0.45578, d1W1, d1W0.45578, d1W0.449329, d2W1, d2W0.449329, d2W0.45578, d2W1, d2W0.45578, d2W0.449329, d3W1, d3W0.449329, d3W0.45578, d3W1, d3W0.45578, d3W0.449329, d4W1, d4W0.449329, d4W0.45578, d4W1, d4W0.45578, d4W0.449329, d5W1, d5W0.449329, d5W0.45578, d5W1, d5W0.45578, d5W0.449329, d6W1, d6W0.449329, d6W0.45578, d6W1, d6W0.45578, d6W0.449329, d7W1, d7W0.449329, d7W0.45578, d7W1, d7W0.45578, d7W0.449329, 
180, 1,1,0.9975,0.8725,0.1,0.0075,0,0,1,1,1,0.88,0.0975,0.0075,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,1,2,197,2,1,174,10,16,174,16,10,160,21,19,160,19,21,194,2,4,194,4,2,200,0,0,200,0,0,200,0,0,200,0,0,
190, 1,1,0.995,0.89,0.1675,0.005,0,0,1,0.9975,0.9775,0.8925,0.195,0.0025,0,0,200,0,0,200,0,0,199,0,1,199,1,0,192,0,8,192,8,0,165,17,18,165,18,17,142,32,26,142,26,32,197,0,3,197,3,0,200,0,0,200,0,0,200,0,0,200,0,0,
200, 1,1,0.9975,0.8375,0.12,0.0075,0,0,1,1,0.9975,0.83,0.1525,0.01,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,163,28,9,163,9,28,151,30,19,151,19,30,196,0,4,196,4,0,200,0,0,200,0,0,200,0,0,200,0,0,
210, 1,1,0.985,0.8675,0.1625,0.005,0,0,1,1,0.9925,0.865,0.15,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,195,0,5,195,5,0,161,14,25,161,25,14,148,26,26,148,26,26,192,2,6,192,6,2,200,0,0,200,0,0,200,0,0,200,0,0,
220, 1,1,0.995,0.8725,0.0875,0.0275,0,0,1,1,0.995,0.875,0.0925,0.015,0.0025,0,200,0,0,200,0,0,200,0,0,200,0,0,195,3,2,195,2,3,163,27,10,163,10,27,149,30,21,149,21,30,190,3,7,190,7,3,200,0,0,200,0,0,200,0,0,200,0,0,
230, 1,0.995,0.9925,0.8875,0.1225,0.0225,0,0,1,1,0.9925,0.8775,0.1125,0.015,0,0,200,0,0,200,0,0,200,0,0,200,0,0,195,3,2,195,2,3,173,20,7,173,7,20,158,21,21,158,21,21,191,4,5,191,5,4,199,0,1,199,1,0,200,0,0,200,0,0,
240, 1,1,0.9975,0.88,0.1175,0,0,0,1,0.9975,0.9925,0.895,0.14,0.0075,0,0,200,0,0,200,0,0,199,0,1,199,1,0,196,1,3,196,3,1,161,23,16,161,16,23,157,18,25,157,25,18,199,1,0,199,0,1,200,0,0,200,0,0,200,0,0,200,0,0,
250, 1,1,0.9925,0.91,0.135,0.0075,0,0,1,1,0.9875,0.915,0.1425,0.01,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,1,1,198,1,1,161,17,22,161,22,17,158,20,22,158,22,20,194,4,2,194,2,4,200,0,0,200,0,0,200,0,0,200,0,0,
260, 1,1,1,0.87,0.1175,0.0075,0,0,1,1,0.9975,0.8775,0.1025,0.0075,0,0,200,0,0,200,0,0,199,0,1,199,1,0,198,0,2,198,2,0,168,20,12,168,12,20,151,29,20,151,20,29,193,3,4,193,4,3,200,0,0,200,0,0,200,0,0,200,0,0,
270, 1,1,1,0.885,0.0975,0.0125,0,0,1,1,1,0.8625,0.1075,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,1,1,198,1,1,144,32,24,144,24,32,180,11,9,180,9,11,195,4,1,195,1,4,199,0,1,199,1,0,200,0,0,200,0,0,
280, 1,1,0.99,0.8075,0.1325,0.0125,0,0,1,1,0.9975,0.8125,0.1225,0.0175,0,0,200,0,0,200,0,0,198,1,1,198,1,1,197,1,2,197,2,1,154,26,20,154,20,26,164,20,16,164,16,20,199,1,0,199,0,1,200,0,0,200,0,0,200,0,0,200,0,0,
290, 1,1,0.99,0.845,0.0875,0.0025,0,0,1,1,0.985,0.845,0.08,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,195,4,1,195,1,4,154,33,13,154,13,33,174,13,13,174,13,13,198,2,0,198,0,2,200,0,0,200,0,0,200,0,0,200,0,0,
300, 1,1,0.995,0.8825,0.095,0,0,0,1,1,0.9925,0.87,0.095,0.0025,0,0,200,0,0,200,0,0,200,0,0,200,0,0,196,3,1,196,1,3,160,28,12,160,12,28,151,27,22,151,22,27,198,1,1,198,1,1,200,0,0,200,0,0,200,0,0,200,0,0,
