gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W1, d0W0.367879, d0W0.399715, d0W1, d0W0.399715, d0W1, d1W1, d1W0.367879, d1W0.399715, d1W1, d1W0.399715, d1W1, d2W1, d2W0.367879, d2W0.399715, d2W1, d2W0.399715, d2W1, d3W1, d3W0.367879, d3W0.399715, d3W1, d3W0.399715, d3W1, d4W1, d4W0.367879, d4W0.399715, d4W1, d4W0.399715, d4W1, d5W1, d5W0.367879, d5W0.399715, d5W1, d5W0.399715, d5W1, d6W1, d6W0.367879, d6W0.399715, d6W1, d6W0.399715, d6W1, d7W1, d7W0.367879, d7W0.399715, d7W1, d7W0.399715, d7W1, d8W1, d8W0.367879, d8W0.399715, d8W1, d8W0.399715, d8W1, d9W1, d9W0.367879, d9W0.399715, d9W1, d9W0.399715, d9W1, d10W1, d10W0.367879, d10W0.399715, d10W1, d10W0.399715, d10W1, d11W1, d11W0.367879, d11W0.399715, d11W1, d11W0.399715, d11W1, d12W1, d12W0.367879, d12W0.399715, d12W1, d12W0.399715, d12W1, d13W1, d13W0.367879, d13W0.399715, d13W1, d13W0.399715, d13W1, d14W1, d14W0.367879, d14W0.399715, d14W1, d14W0.399715, d14W1, d15W1, d15W0.367879, d15W0.399715, d15W1, d15W0.399715, d15W1, d16W1, d16W0.367879, d16W0.399715, d16W1, d16W0.399715, d16W1, d17W1, d17W0.367879, d17W0.399715, d17W1, d17W0.399715, d17W1, d18W1, d18W0.367879, d18W0.399715, d18W1, d18W0.399715, d18W1, d19W1, d19W0.367879, d19W0.399715, d19W1, d19W0.399715, d19W1, 
0, 1,1,1,1,1,1,1,1,0.98,0.855,0.19,0.02,0.0025,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9825,0.84,0.185,0.03,0,0,0,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,190,0,10,190,10,190,146,2,52,146,52,146,142,1,57,142,57,142,192,0,8,192,8,192,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
100, 1,1,1,1,1,1,1,0.9975,0.9875,0.7475,0.2825,0.025,0.005,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9975,0.9675,0.7275,0.2675,0.025,0.005,0,0,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,198,0,2,198,2,198,183,0,17,183,17,183,136,2,62,136,62,136,128,7,65,128,65,128,188,1,11,188,11,188,198,0,2,198,2,198,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
200, 1,1,1,1,1,1,1,1,0.98,0.8875,0.255,0.055,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.995,0.8825,0.25,0.04,0.0025,0,0,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,197,0,3,197,3,197,173,1,26,173,26,173,125,8,67,125,67,125,184,0,16,184,16,184,198,0,2,198,2,198,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
300, 1,1,1,1,1,1,0.9975,1,0.9875,0.8675,0.31,0.0375,0.0025,0,0,0,0,0,0,0,1,1,1,1,1,1,0.9975,0.9925,0.9925,0.8675,0.31,0.025,0.0025,0,0,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,197,0,3,197,3,197,198,0,2,198,2,198,168,1,31,168,31,168,151,3,46,151,46,151,186,0,14,186,14,186,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
400, 1,1,1,1,1,1,1,0.9925,0.9775,0.8475,0.135,0.0075,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9975,0.9825,0.8375,0.1475,0.015,0.0025,0,0,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,199,0,1,199,1,199,194,0,6,194,6,194,171,2,27,171,27,171,168,0,32,168,32,168,196,1,3,196,3,196,199,0,1,199,1,199,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
500, 1,1,1,1,1,1,1,0.995,0.945,0.7225,0.1475,0.0125,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.965,0.72,0.145,0.015,0,0,0,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,198,0,2,198,2,198,182,0,18,182,18,182,118,10,72,118,72,118,160,2,38,160,38,160,197,0,3,197,3,197,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
600, 1,1,1,1,1,1,1,1,0.98,0.7875,0.1975,0.0225,0.0025,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.98,0.795,0.205,0.0125,0,0,0,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,195,0,5,195,5,195,151,2,47,151,47,151,154,0,46,154,46,154,189,0,11,189,11,189,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
700, 1,1,1,1,1,1,1,1,0.985,0.7925,0.185,0.0175,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9925,0.8075,0.1975,0.01,0.0025,0,0,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,199,0,1,199,1,199,193,0,7,193,7,193,163,1,36,163,36,163,153,2,45,153,45,153,190,0,10,190,10,190,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
800, 1,1,1,1,1,1,1,1,0.9875,0.9225,0.4,0.065,0.005,0,0,0,0,0,0,0,1,1,1,1,1,1,0.995,1,0.995,0.91,0.4025,0.0775,0.0075,0,0,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,199,0,1,199,1,199,200,0,0,200,0,200,196,0,4,196,4,196,172,1,27,172,27,172,124,5,71,124,71,124,180,3,17,180,17,180,199,0,1,199,1,199,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
900, 1,1,1,1,1,1,1,1,0.9825,0.8625,0.23,0.0475,0.01,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9975,0.985,0.8425,0.2275,0.0425,0.005,0,0,0,0,0,0,0,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,199,0,1,199,1,199,197,0,3,197,3,197,160,0,40,160,40,160,137,2,61,137,61,137,191,0,9,191,9,191,197,0,3,197,3,197,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,200,0,0,200,0,200,
