gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W1, d0W0.449329, d0W0.992014, d0W1, d0W0.992014, d0W0.449329, d1W1, d1W0.449329, d1W0.992014, d1W1, d1W0.992014, d1W0.449329, d2W1, d2W0.449329, d2W0.992014, d2W1, d2W0.992014, d2W0.449329, d3W1, d3W0.449329, d3W0.992014, d3W1, d3W0.992014, d3W0.449329, d4W1, d4W0.449329, d4W0.992014, d4W1, d4W0.992014, d4W0.449329, d5W1, d5W0.449329, d5W0.992014, d5W1, d5W0.992014, d5W0.449329, d6W1, d6W0.449329, d6W0.992014, d6W1, d6W0.992014, d6W0.449329, d7W1, d7W0.449329, d7W0.992014, d7W1, d7W0.992014, d7W0.449329, 
0, 0.98,0.9525,0.9175,0.73,0.2075,0.0325,0.0375,0.0225,0.995,0.985,0.9625,0.7575,0.185,0.0475,0.02,0.0125,192,0,8,192,8,0,176,0,24,176,24,0,163,3,34,163,34,3,97,34,69,97,69,34,104,26,70,104,70,26,168,1,31,168,31,1,178,1,21,178,21,1,188,1,11,188,11,1,
10, 0.93,0.95,0.955,0.7875,0.205,0.08,0.0675,0.045,0.985,0.995,0.9725,0.8025,0.225,0.045,0.01,0,160,4,36,160,36,4,185,0,15,185,15,0,175,4,21,175,21,4,122,33,45,122,45,33,131,16,53,131,53,16,160,1,39,160,39,1,168,0,32,168,32,0,183,0,17,183,17,0,
20, 0.9525,0.9925,0.9325,0.7925,0.19,0.085,0.0425,0.035,0.97,0.99,0.9625,0.8025,0.17,0.045,0.03,0.0075,171,2,27,171,27,2,190,0,10,190,10,0,157,8,35,157,35,8,119,22,59,119,59,22,106,35,59,106,59,35,150,5,45,150,45,5,173,4,23,173,23,4,181,0,19,181,19,0,
30, 1,0.9975,0.93,0.7875,0.185,0.0575,0.03,0.0075,0.9975,0.9925,0.9225,0.7725,0.1625,0.055,0.04,0.0175,199,0,1,199,1,0,199,0,1,199,1,0,163,5,32,163,32,5,100,32,68,100,68,32,119,24,57,119,57,24,150,8,42,150,42,8,182,1,17,182,17,1,193,0,7,193,7,0,
40, 1,0.995,0.9375,0.725,0.1775,0.0775,0.0025,0,0.9975,0.9675,0.9475,0.85,0.1325,0.0325,0.0125,0.02,198,0,2,198,2,0,188,0,12,188,12,0,161,6,33,161,33,6,90,32,78,90,78,32,129,21,50,129,50,21,169,4,27,169,27,4,196,0,4,196,4,0,191,0,9,191,9,0,
50, 1,0.99,0.93,0.805,0.24,0.0775,0.01,0,0.9725,0.98,0.9425,0.7825,0.1725,0.0525,0.0225,0.0025,188,0,12,188,12,0,196,0,4,196,4,0,154,4,42,154,42,4,105,29,66,105,66,29,107,23,70,107,70,23,152,6,42,152,42,6,190,0,10,190,10,0,199,0,1,199,1,0,
60, 1,0.98,0.9325,0.735,0.26,0.06,0.005,0.005,0.9775,0.9625,0.93,0.7325,0.205,0.0275,0,0.0025,189,1,10,189,10,1,176,0,24,176,24,0,157,4,39,157,39,4,94,35,71,94,71,35,82,37,81,82,81,37,175,5,20,175,20,5,196,0,4,196,4,0,199,0,1,199,1,0,
70, 0.9625,0.99,0.9225,0.84,0.2,0.07,0.0125,0.005,0.9875,0.965,0.9025,0.795,0.145,0.025,0.02,0,185,0,15,185,15,0,183,2,15,183,15,2,143,5,52,143,52,5,102,23,75,102,75,23,123,22,55,123,55,22,158,3,39,158,39,3,188,0,12,188,12,0,194,0,6,194,6,0,
80, 0.9675,0.985,0.96,0.805,0.245,0.0775,0.01,0.005,0.945,0.97,0.92,0.81,0.1775,0.015,0.0125,0.03,174,2,24,174,24,2,183,1,16,183,16,1,144,7,49,144,49,7,107,25,68,107,68,25,102,29,69,102,69,29,172,2,26,172,26,2,190,0,10,190,10,0,191,0,9,191,9,0,
90, 0.9975,0.9625,0.9425,0.7875,0.2225,0.0225,0.025,0.02,0.9525,0.985,0.9625,0.76,0.1525,0.0325,0.025,0.0075,172,1,27,172,27,1,178,0,22,178,22,0,165,1,34,165,34,1,109,27,64,109,64,27,114,30,56,114,56,30,181,4,15,181,15,4,181,0,19,181,19,0,194,0,6,194,6,0,
100, 1,0.98,0.9575,0.7875,0.1925,0.0625,0.015,0.0225,0.995,0.98,0.935,0.7475,0.1625,0.0225,0.0225,0.0175,196,0,4,196,4,0,182,0,18,182,18,0,159,5,36,159,36,5,95,35,70,95,70,35,124,23,53,124,53,23,164,4,32,164,32,4,186,0,14,186,14,0,185,0,15,185,15,0,
110, 0.995,0.99,0.9575,0.87,0.3025,0.04,0.015,0.035,0.94,0.9375,0.945,0.875,0.28,0.035,0.0175,0.005,181,0,19,181,19,0,174,3,23,174,23,3,170,1,29,170,29,1,140,15,45,140,45,15,96,31,73,96,73,31,167,4,29,167,29,4,190,1,9,190,9,1,186,0,14,186,14,0,
120, 0.9925,0.9725,0.9625,0.7925,0.175,0.06,0.0225,0.0075,0.9575,0.9475,0.96,0.775,0.1875,0.0375,0.04,0.0275,178,0,22,178,22,0,170,1,29,170,29,1,162,1,37,162,37,1,119,24,57,119,57,24,102,22,76,102,76,22,152,5,43,152,43,5,175,1,24,175,24,1,188,0,12,188,12,0,
130, 0.995,0.98,0.9625,0.7375,0.2325,0.0275,0.0175,0.005,0.945,0.9375,0.9425,0.8475,0.25,0.0875,0.0475,0.065,179,0,21,179,21,0,163,0,37,163,37,0,166,2,32,166,32,2,104,24,72,104,72,24,89,25,86,89,86,25,153,7,40,153,40,7,177,2,21,177,21,2,173,0,27,173,27,0,
140, 0.985,0.9775,0.9425,0.805,0.2825,0.0575,0.0175,0.025,0.9375,0.9,0.945,0.8775,0.295,0.095,0.045,0.0425,168,1,31,168,31,1,160,3,37,160,37,3,166,6,28,166,28,6,96,29,75,96,75,29,75,52,73,75,73,52,150,4,46,150,46,4,164,3,33,164,33,3,180,1,19,180,19,1,
