gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W1, d0W0.367879, d0W1, d0W1, d0W1, d0W1, d1W1, d1W0.367879, d1W1, d1W1, d1W1, d1W1, d2W1, d2W0.367879, d2W1, d2W1, d2W1, d2W1, d3W1, d3W0.367879, d3W1, d3W1, d3W1, d3W1, d4W1, d4W0.367879, d4W1, d4W1, d4W1, d4W1, d5W1, d5W0.367879, d5W1, d5W1, d5W1, d5W1, d6W1, d6W0.367879, d6W1, d6W1, d6W1, d6W1, d7W1, d7W0.367879, d7W1, d7W1, d7W1, d7W1, d8W1, d8W0.367879, d8W1, d8W1, d8W1, d8W1, d9W1, d9W0.367879, d9W1, d9W1, d9W1, d9W1, d10W1, d10W0.367879, d10W1, d10W1, d10W1, d10W1, d11W1, d11W0.367879, d11W1, d11W1, d11W1, d11W1, d12W1, d12W0.367879, d12W1, d12W1, d12W1, d12W1, d13W1, d13W0.367879, d13W1, d13W1, d13W1, d13W1, d14W1, d14W0.367879, d14W1, d14W1, d14W1, d14W1, d15W1, d15W0.367879, d15W1, d15W1, d15W1, d15W1, d16W1, d16W0.367879, d16W1, d16W1, d16W1, d16W1, d17W1, d17W0.367879, d17W1, d17W1, d17W1, d17W1, d18W1, d18W0.367879, d18W1, d18W1, d18W1, d18W1, d19W1, d19W0.367879, d19W1, d19W1, d19W1, d19W1, 
0, 1,1,1,1,1,1,1,0.975,0.9675,0.965,0.8275,0.5575,0.3025,0.1675,0.11,0.0225,0.0225,0.06,0.0125,0.0225,1,1,1,0.9925,0.975,0.97,0.9925,0.9775,0.9625,0.935,0.79,0.58,0.2575,0.0825,0.05,0.04,0.0675,0.01,0,0,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,198,2,198,198,198,198,190,10,190,190,190,190,184,16,184,184,184,184,191,9,191,191,191,191,192,8,192,192,192,192,197,3,197,197,197,197,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
100, 1,1,1,0.995,1,1,1,0.985,0.9825,0.9175,0.7975,0.505,0.19,0.0825,0.0575,0.005,0,0,0.005,0.0075,1,1,1,1,1,1,1,0.99,0.95,0.9225,0.8275,0.5525,0.1975,0.1025,0.0425,0.0675,0.0475,0.0275,0,0,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,198,2,198,198,198,198,196,4,196,196,196,196,187,13,187,187,187,187,190,10,190,190,190,190,195,5,195,195,195,195,199,1,199,199,199,199,199,1,199,199,199,199,199,1,199,199,199,199,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,
200, 1,1,1,1,0.9775,0.955,0.99,0.9775,0.935,0.845,0.695,0.4025,0.16,0.1,0.02,0.025,0,0,0,0,1,1,1,1,0.9975,0.985,0.9675,0.9225,0.965,0.81,0.6525,0.3975,0.14,0.065,0.0025,0,0,0,0,0,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,198,2,198,198,198,198,198,2,198,198,198,198,196,4,196,196,196,196,190,10,190,190,190,190,184,16,184,184,184,184,188,12,188,188,188,188,200,0,200,200,200,200,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
300, 1,1,1,1,1,0.985,0.97,0.93,0.9275,0.8025,0.53,0.2225,0.0875,0.0425,0.0025,0,0,0,0,0,1,0.9925,0.985,0.9875,1,0.9775,0.955,0.95,0.885,0.815,0.5175,0.1875,0.1,0.0525,0.025,0.0025,0,0,0,0,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,197,3,197,197,197,197,194,6,194,194,194,194,183,17,183,183,183,183,187,13,187,187,187,187,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
400, 1,1,1,1,0.9975,0.9875,0.975,0.9225,0.8275,0.7225,0.3475,0.18,0.0875,0.015,0.02,0,0,0,0,0,1,1,1,1,1,0.9925,0.965,0.96,0.905,0.7275,0.3625,0.1225,0.0375,0.005,0.005,0.0025,0.0425,0.0075,0.0125,0.015,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,198,2,198,198,198,198,194,6,194,194,194,194,192,8,192,192,192,192,187,13,187,187,187,187,192,8,192,192,192,192,196,4,196,196,196,196,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
500, 1,1,1,0.97,0.9875,0.99,0.995,0.985,0.8725,0.725,0.3875,0.1375,0.0725,0.045,0.0025,0.0025,0,0,0,0,1,1,1,1,1,0.9925,0.965,0.95,0.9225,0.7175,0.3925,0.1975,0.135,0.03,0.0175,0.0025,0,0,0,0,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,198,2,198,198,198,198,196,4,196,196,196,196,189,11,189,189,189,189,187,13,187,187,187,187,195,5,195,195,195,195,195,5,195,195,195,195,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
600, 0.995,0.9875,1,0.985,0.9875,1,0.995,0.98,0.9025,0.7875,0.585,0.2225,0.0725,0.0725,0.0425,0.0125,0.0025,0,0,0,1,1,1,1,1,0.98,0.99,0.9475,0.895,0.8075,0.5825,0.25,0.0425,0.0275,0.005,0,0,0,0,0,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,199,1,199,199,199,199,192,8,192,192,192,192,190,10,190,190,190,190,190,10,190,190,190,190,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
700, 1,1,1,1,1,1,1,0.9475,0.91,0.7675,0.6175,0.235,0.1025,0.0475,0.02,0.0325,0.005,0,0,0,1,1,1,1,1,1,0.9975,0.98,0.9575,0.78,0.5925,0.3325,0.1325,0.0225,0.0025,0,0,0,0,0,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,198,2,198,198,198,198,194,6,194,194,194,194,180,20,180,180,180,180,187,13,187,187,187,187,197,3,197,197,197,197,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
800, 1,1,1,1,1,1,0.9975,0.9775,0.92,0.8275,0.6575,0.39,0.125,0.05,0.04,0.025,0.0725,0.0375,0.0175,0.0025,1,1,1,1,1,1,0.9875,0.965,0.9625,0.855,0.6625,0.345,0.1775,0.095,0.04,0.0175,0,0,0,0,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,199,1,199,199,199,199,194,6,194,194,194,194,184,16,184,184,184,184,181,19,181,181,181,181,198,2,198,198,198,198,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,199,1,199,199,199,199,199,1,199,199,199,199,200,0,200,200,200,200,200,0,200,200,200,200,
900, 1,1,1,0.9825,0.985,1,0.9725,0.98,0.9725,0.8625,0.645,0.405,0.265,0.115,0.055,0.04,0.01,0.01,0.0075,0.015,1,1,1,1,1,1,0.99,0.9575,0.955,0.8825,0.72,0.45,0.2025,0.0575,0.09,0.035,0.0025,0,0.0075,0.0225,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,195,5,195,195,195,195,196,4,196,196,196,196,190,10,190,190,190,190,193,7,193,193,193,193,199,1,199,199,199,199,198,2,198,198,198,198,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,200,0,200,200,200,200,
