0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
200,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
300,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
400,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
400,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
500,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
600,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
600,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
700,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
700,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
800,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
900,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
900,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
