gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W1, d0W0.606531, d0W0.611959, d0W1, d0W0.611959, d0W0.606531, d1W1, d1W0.606531, d1W0.611959, d1W1, d1W0.611959, d1W0.606531, d2W1, d2W0.606531, d2W0.611959, d2W1, d2W0.611959, d2W0.606531, d3W1, d3W0.606531, d3W0.611959, d3W1, d3W0.611959, d3W0.606531, d4W1, d4W0.606531, d4W0.611959, d4W1, d4W0.611959, d4W0.606531, d5W1, d5W0.606531, d5W0.611959, d5W1, d5W0.611959, d5W0.606531, d6W1, d6W0.606531, d6W0.611959, d6W1, d6W0.611959, d6W0.606531, d7W1, d7W0.606531, d7W0.611959, d7W1, d7W0.611959, d7W0.606531, d8W1, d8W0.606531, d8W0.611959, d8W1, d8W0.611959, d8W0.606531, d9W1, d9W0.606531, d9W0.611959, d9W1, d9W0.611959, d9W0.606531, d10W1, d10W0.606531, d10W0.611959, d10W1, d10W0.611959, d10W0.606531, d11W1, d11W0.606531, d11W0.611959, d11W1, d11W0.611959, d11W0.606531, d12W1, d12W0.606531, d12W0.611959, d12W1, d12W0.611959, d12W0.606531, d13W1, d13W0.606531, d13W0.611959, d13W1, d13W0.611959, d13W0.606531, d14W1, d14W0.606531, d14W0.611959, d14W1, d14W0.611959, d14W0.606531, d15W1, d15W0.606531, d15W0.611959, d15W1, d15W0.611959, d15W0.606531, d16W1, d16W0.606531, d16W0.611959, d16W1, d16W0.611959, d16W0.606531, d17W1, d17W0.606531, d17W0.611959, d17W1, d17W0.611959, d17W0.606531, d18W1, d18W0.606531, d18W0.611959, d18W1, d18W0.611959, d18W0.606531, d19W1, d19W0.606531, d19W0.611959, d19W1, d19W0.611959, d19W0.606531, 
0, 1,1,1,1,1,1,1,1,0.98,0.8125,0.2025,0.0175,0.0025,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9825,0.8,0.2325,0.01,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,192,1,7,192,7,1,107,28,65,107,65,28,115,30,55,115,55,30,189,3,8,189,8,3,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
200, 1,1,1,1,1,1,1,0.9975,0.99,0.8575,0.165,0.0125,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.995,0.9825,0.8675,0.17,0.0175,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,0,2,198,2,0,187,4,9,187,9,4,136,28,36,136,36,28,148,24,28,148,28,24,195,2,3,195,3,2,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
400, 1,1,1,1,1,1,1,1,0.9925,0.8775,0.145,0.0075,0.0025,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9825,0.875,0.165,0.0125,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,1,0,199,0,1,191,3,6,191,6,3,146,23,31,146,31,23,146,30,24,146,24,30,193,5,2,193,2,5,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
600, 1,1,1,1,1,1,1,1,0.9925,0.8675,0.205,0.03,0.005,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9975,0.8675,0.21,0.0225,0.0025,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,194,2,4,194,4,2,144,17,39,144,39,17,133,40,27,133,27,40,194,6,0,194,0,6,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
800, 1,1,1,1,1,1,1,1,0.9875,0.82,0.18,0.0175,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.985,0.8225,0.1625,0.0425,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,193,2,5,193,5,2,126,29,45,126,45,29,120,31,49,120,49,31,186,3,11,186,11,3,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
1000, 1,1,1,1,1,1,1,1,0.9875,0.7875,0.2125,0.025,0.0025,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.98,0.795,0.235,0.0225,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,181,5,14,181,14,5,111,34,55,111,55,34,126,27,47,126,47,27,186,5,9,186,9,5,198,0,2,198,2,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
1200, 1,1,1,1,1,1,1,1,0.995,0.9175,0.215,0.03,0.0075,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9975,0.905,0.185,0.0325,0,0.0025,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,169,7,24,169,24,7,124,36,40,124,40,36,183,7,10,183,10,7,200,0,0,200,0,0,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
1400, 1,1,1,1,1,1,0.9975,1,0.98,0.835,0.195,0.0125,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9975,0.985,0.82,0.2,0.0225,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,0,2,198,2,0,197,0,3,197,3,0,193,1,6,193,6,1,134,36,30,134,30,36,130,24,46,130,46,24,197,1,2,197,2,1,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
1600, 1,1,1,1,1,1,1,1,0.995,0.905,0.145,0.0075,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.995,0.9125,0.15,0.01,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,1,1,198,1,1,148,25,27,148,27,25,139,27,34,139,34,27,188,6,6,188,6,6,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
1800, 1,1,1,1,1,1,1,1,0.9825,0.83,0.185,0.0175,0.0025,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9825,0.82,0.1675,0.025,0.005,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,186,2,12,186,12,2,121,35,44,121,44,35,117,32,51,117,51,32,184,3,13,184,13,3,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
