gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W1, d0W0.367879, d0W1, d0W1, d0W1, d0W1, d1W1, d1W0.367879, d1W1, d1W1, d1W1, d1W1, d2W1, d2W0.367879, d2W1, d2W1, d2W1, d2W1, d3W1, d3W0.367879, d3W1, d3W1, d3W1, d3W1, d4W1, d4W0.367879, d4W1, d4W1, d4W1, d4W1, d5W1, d5W0.367879, d5W1, d5W1, d5W1, d5W1, d6W1, d6W0.367879, d6W1, d6W1, d6W1, d6W1, d7W1, d7W0.367879, d7W1, d7W1, d7W1, d7W1, d8W1, d8W0.367879, d8W1, d8W1, d8W1, d8W1, d9W1, d9W0.367879, d9W1, d9W1, d9W1, d9W1, d10W1, d10W0.367879, d10W1, d10W1, d10W1, d10W1, d11W1, d11W0.367879, d11W1, d11W1, d11W1, d11W1, d12W1, d12W0.367879, d12W1, d12W1, d12W1, d12W1, d13W1, d13W0.367879, d13W1, d13W1, d13W1, d13W1, d14W1, d14W0.367879, d14W1, d14W1, d14W1, d14W1, d15W1, d15W0.367879, d15W1, d15W1, d15W1, d15W1, d16W1, d16W0.367879, d16W1, d16W1, d16W1, d16W1, d17W1, d17W0.367879, d17W1, d17W1, d17W1, d17W1, d18W1, d18W0.367879, d18W1, d18W1, d18W1, d18W1, d19W1, d19W0.367879, d19W1, d19W1, d19W1, d19W1, 
0, 0.9945,0.9825,0.9575,0.9755,0.9535,0.923,0.8445,0.644,0.253,0.108,0.045,0.016,0.012,0.007,0.006,0,0.0005,0.0005,0,0,0.9815,0.9955,0.988,0.9795,0.957,0.9235,0.855,0.6465,0.2775,0.1245,0.0575,0.0375,0.0055,0.0065,0.0055,0.0015,0,0,0,0,960,0,40,960,40,960,948,0,52,948,52,948,898,2,100,898,100,898,917,0,83,917,83,917,824,3,173,824,173,824,745,10,245,745,245,745,605,16,379,605,379,605,492,58,450,492,450,492,515,67,418,515,418,515,670,24,306,670,306,670,843,5,152,843,152,843,899,2,99,899,99,899,976,0,24,976,24,976,980,0,20,980,20,980,973,0,27,973,27,973,998,0,2,998,2,998,998,0,2,998,2,998,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,
100, 0.9995,0.9955,0.9925,0.977,0.96,0.9445,0.8585,0.7235,0.4045,0.2035,0.083,0.036,0.01,0.0145,0.0125,0.0185,0.0065,0.0095,0.012,0.008,0.989,0.976,0.9865,0.978,0.9625,0.9355,0.882,0.7535,0.4015,0.205,0.0765,0.023,0.0135,0.0245,0.0095,0.005,0.003,0.0005,0.0005,0,974,0,26,974,26,974,956,1,43,956,43,956,970,2,28,970,28,970,911,0,89,911,89,911,862,7,131,862,131,862,800,5,195,800,195,800,662,29,309,662,309,662,534,33,433,534,433,534,457,84,459,457,459,457,567,31,402,567,402,567,735,6,259,735,259,735,869,4,127,869,127,869,952,0,48,952,48,952,934,1,65,934,65,934,945,1,54,945,54,945,954,1,45,954,45,954,982,0,18,982,18,982,979,0,21,979,21,979,980,0,20,980,20,980,987,0,13,987,13,987,
200, 1,0.999,0.997,0.9885,0.979,0.9365,0.896,0.7,0.3815,0.19,0.0695,0.0605,0.031,0.0125,0.01,0.0085,0.0055,0.008,0.008,0.0005,0.994,0.9965,0.9975,0.991,0.977,0.935,0.887,0.683,0.3905,0.1795,0.0795,0.044,0.0165,0.011,0.007,0.003,0.011,0.0105,0.01,0.006,992,0,8,992,8,992,992,0,8,992,8,992,991,0,9,991,9,991,957,0,43,957,43,957,913,1,86,913,86,913,796,2,202,796,202,796,699,22,279,699,279,699,485,59,456,485,456,485,485,83,432,485,432,485,587,25,388,587,388,587,761,9,230,761,230,761,807,4,189,807,189,807,917,0,83,917,83,917,956,0,44,956,44,956,967,1,32,967,32,967,975,0,25,975,25,975,958,0,42,958,42,958,965,0,35,965,35,965,969,0,31,969,31,969,988,0,12,988,12,988,
300, 0.999,0.997,0.9855,0.9835,0.9625,0.9595,0.864,0.7345,0.428,0.1915,0.087,0.048,0.026,0.0075,0.008,0.0035,0,0,0,0,0.969,0.9785,0.969,0.9715,0.9555,0.948,0.888,0.7195,0.4375,0.1955,0.084,0.055,0.024,0.0235,0.017,0.005,0.007,0.005,0.0005,0.005,930,0,70,930,70,930,946,2,52,946,52,946,926,2,72,926,72,926,909,2,89,909,89,909,891,2,107,891,107,891,826,8,166,826,166,826,664,16,320,664,320,664,494,58,448,494,448,494,426,92,482,426,482,426,579,34,387,579,387,579,754,9,237,754,237,754,824,7,169,824,169,824,910,2,88,910,88,910,928,0,72,928,72,928,952,0,48,952,48,952,986,0,14,986,14,986,988,0,12,988,12,988,995,0,5,995,5,995,995,0,5,995,5,995,991,0,9,991,9,991,
400, 0.982,0.9765,0.972,0.978,0.967,0.9505,0.89,0.789,0.485,0.2085,0.105,0.0425,0.052,0.0285,0.027,0.0125,0.005,0,0,0,0.967,0.974,0.9655,0.978,0.969,0.941,0.895,0.7775,0.487,0.2035,0.1055,0.064,0.0275,0.0295,0.016,0.013,0.0165,0.011,0.0015,0,887,0,113,887,113,887,917,2,81,917,81,917,899,1,100,899,100,899,912,0,88,912,88,912,874,2,124,874,124,874,809,5,186,809,186,809,673,19,308,673,308,673,565,44,391,565,391,565,465,70,465,465,465,465,534,41,425,534,425,534,695,14,291,695,291,695,845,3,152,845,152,845,829,6,165,829,165,829,892,1,107,892,107,892,914,1,85,914,85,914,936,1,63,936,63,936,964,0,36,964,36,964,975,0,25,975,25,975,996,0,4,996,4,996,1000,0,0,1000,0,1000,
500, 0.9985,0.9985,0.994,0.986,0.974,0.952,0.8775,0.78,0.473,0.2055,0.0985,0.037,0.0235,0.0095,0.0055,0.0025,0.0015,0,0,0,0.9865,0.982,0.9745,0.9705,0.96,0.94,0.9055,0.79,0.4955,0.239,0.097,0.044,0.022,0.0125,0.019,0.014,0.015,0.005,0,0,964,2,34,964,34,964,956,0,44,956,44,956,940,0,60,940,60,940,920,1,79,920,79,920,876,4,120,876,120,876,815,5,180,815,180,815,695,17,288,695,288,695,565,57,378,565,378,565,450,83,467,450,467,450,547,29,424,547,424,547,726,12,262,726,262,726,841,3,156,841,156,841,920,0,80,920,80,920,963,0,37,963,37,963,954,0,46,954,46,954,966,0,34,966,34,966,967,1,32,967,32,967,992,0,8,992,8,992,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,
600, 0.986,0.9915,0.9745,0.9875,0.9545,0.9175,0.842,0.633,0.3075,0.13,0.054,0.04,0.013,0.0195,0.012,0.0055,0.0045,0.0065,0.0015,0,0.996,0.997,0.9885,0.9835,0.9755,0.937,0.844,0.6375,0.3085,0.15,0.067,0.0555,0.0455,0.0335,0.0175,0.004,0.0025,0,0,0,975,0,25,975,25,975,986,0,14,986,14,986,934,0,66,934,66,934,943,1,56,943,56,943,878,1,121,878,121,878,756,6,238,756,238,756,628,31,341,628,341,628,444,81,475,444,475,444,479,83,438,479,438,479,656,21,323,656,323,656,814,9,177,814,177,814,835,5,160,835,160,835,884,1,115,884,115,884,902,2,96,902,96,902,933,0,67,933,67,933,980,0,20,980,20,980,981,0,19,981,19,981,987,0,13,987,13,987,996,0,4,996,4,996,998,0,2,998,2,998,
700, 0.992,0.9955,0.9925,0.979,0.9695,0.9365,0.847,0.6655,0.298,0.14,0.0505,0.044,0.023,0.0205,0.016,0.0065,0.0075,0.0025,0.004,0.0015,0.971,0.9895,0.9845,0.9825,0.939,0.9285,0.834,0.611,0.3385,0.126,0.0645,0.03,0.0335,0.017,0.008,0.0055,0.003,0.0005,0,0,936,1,63,936,63,936,958,0,42,958,42,958,959,2,39,959,39,959,935,1,64,935,64,935,844,5,151,844,151,844,798,5,197,798,197,798,617,22,361,617,361,617,480,49,471,480,471,480,445,67,488,445,488,445,641,25,334,641,334,641,793,4,203,793,203,793,859,3,138,859,138,859,891,1,108,891,108,891,931,2,67,931,67,931,954,0,46,954,46,954,978,0,22,978,22,978,986,0,14,986,14,986,998,0,2,998,2,998,991,0,9,991,9,991,999,0,1,999,1,999,
800, 0.9935,0.9945,0.9855,0.9615,0.9485,0.918,0.849,0.662,0.31,0.162,0.073,0.027,0.033,0.03,0.0175,0.006,0.007,0.0025,0.002,0.0015,0.9995,0.998,0.997,0.9845,0.9815,0.9535,0.8545,0.6775,0.2745,0.165,0.0635,0.0225,0.0095,0.01,0.0055,0.0045,0.002,0.003,0.0005,0,979,0,21,979,21,979,982,1,17,982,17,982,963,0,37,963,37,963,906,1,93,906,93,906,874,2,124,874,124,874,792,10,198,792,198,792,610,23,367,610,367,610,480,62,458,480,458,480,471,70,459,471,459,471,604,26,370,604,370,604,777,9,214,777,214,777,892,1,107,892,107,892,940,1,59,940,59,940,922,0,78,922,78,922,961,1,38,961,38,961,975,0,25,975,25,975,978,0,22,978,22,978,987,0,13,987,13,987,996,0,4,996,4,996,997,0,3,997,3,997,
900, 0.987,0.979,0.9705,0.9715,0.9505,0.932,0.8475,0.6075,0.2905,0.1255,0.068,0.0455,0.0375,0.02,0.024,0.011,0,0,0.001,0.0005,0.9915,0.981,0.982,0.9565,0.955,0.902,0.8615,0.6405,0.281,0.1105,0.068,0.033,0.0265,0.0205,0.003,0.0025,0.002,0.005,0.0055,0.006,955,0,45,955,45,955,929,1,70,929,70,929,906,2,92,906,92,906,872,2,126,872,126,872,845,2,153,845,153,845,754,12,234,754,234,754,618,32,350,618,350,618,467,60,473,467,473,467,473,70,457,473,457,473,645,24,331,645,331,645,775,9,216,775,216,775,845,3,152,845,152,845,888,1,111,888,111,888,922,1,77,922,77,922,937,0,63,937,63,937,981,0,19,981,19,981,995,0,5,995,5,995,989,0,11,989,11,989,987,1,12,987,12,987,991,0,9,991,9,991,
