gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W1, d0W0.606531, d0W0.882497, d0W1, d0W0.882497, d0W1, d1W1, d1W0.606531, d1W0.882497, d1W1, d1W0.882497, d1W1, d2W1, d2W0.606531, d2W0.882497, d2W1, d2W0.882497, d2W1, d3W1, d3W0.606531, d3W0.882497, d3W1, d3W0.882497, d3W1, d4W1, d4W0.606531, d4W0.882497, d4W1, d4W0.882497, d4W1, d5W1, d5W0.606531, d5W0.882497, d5W1, d5W0.882497, d5W1, d6W1, d6W0.606531, d6W0.882497, d6W1, d6W0.882497, d6W1, d7W1, d7W0.606531, d7W0.882497, d7W1, d7W0.882497, d7W1, d8W1, d8W0.606531, d8W0.882497, d8W1, d8W0.882497, d8W1, d9W1, d9W0.606531, d9W0.882497, d9W1, d9W0.882497, d9W1, d10W1, d10W0.606531, d10W0.882497, d10W1, d10W0.882497, d10W1, d11W1, d11W0.606531, d11W0.882497, d11W1, d11W0.882497, d11W1, d12W1, d12W0.606531, d12W0.882497, d12W1, d12W0.882497, d12W1, d13W1, d13W0.606531, d13W0.882497, d13W1, d13W0.882497, d13W1, d14W1, d14W0.606531, d14W0.882497, d14W1, d14W0.882497, d14W1, d15W1, d15W0.606531, d15W0.882497, d15W1, d15W0.882497, d15W1, d16W1, d16W0.606531, d16W0.882497, d16W1, d16W0.882497, d16W1, d17W1, d17W0.606531, d17W0.882497, d17W1, d17W0.882497, d17W1, d18W1, d18W0.606531, d18W0.882497, d18W1, d18W0.882497, d18W1, d19W1, d19W0.606531, d19W0.882497, d19W1, d19W0.882497, d19W1, 
0, 1,0.999,0.9965,0.984,0.9255,0.707,0.4255,0.115,0.0255,0.002,0.0005,0,0,0,0,0,0,0,0,0,1,0.997,0.9905,0.9885,0.9345,0.7425,0.4125,0.1445,0.0265,0.0035,0.0005,0.0025,0,0,0,0,0,0,0,0,999,0,1,999,1,999,992,0,8,992,8,992,973,0,27,973,27,973,939,0,61,939,61,939,805,7,188,805,188,805,517,58,425,517,425,517,414,80,506,414,506,414,671,21,308,671,308,671,926,2,72,926,72,926,989,0,11,989,11,989,997,0,3,997,3,997,997,0,3,997,3,997,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,
100, 0.9995,0.998,0.989,0.9725,0.91,0.729,0.367,0.1135,0.0265,0.0065,0.002,0.0025,0,0,0,0,0,0,0,0,1,1,0.9965,0.974,0.9155,0.702,0.356,0.1275,0.0365,0.012,0.002,0,0,0,0,0,0,0,0,0,998,0,2,998,2,998,997,0,3,997,3,997,976,0,24,976,24,976,898,1,101,898,101,898,755,14,231,755,231,755,534,72,394,534,394,534,461,77,462,461,462,461,703,22,275,703,275,703,882,3,115,882,115,882,964,0,36,964,36,964,994,0,6,994,6,994,993,0,7,993,7,993,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,
200, 1,0.9995,0.995,0.9775,0.9175,0.75,0.418,0.134,0.0345,0.0165,0.0015,0,0,0,0,0,0,0,0,0,0.995,0.993,0.993,0.974,0.9385,0.744,0.3635,0.1195,0.0485,0.013,0.0055,0.0005,0.0005,0.0005,0,0,0,0,0,0,996,0,4,996,4,996,987,1,12,987,12,987,974,0,26,974,26,974,920,0,80,920,80,920,798,10,192,798,192,798,544,47,409,544,409,544,473,81,446,473,446,473,660,18,322,660,322,660,870,3,127,870,127,870,955,0,45,955,45,955,983,0,17,983,17,983,999,0,1,999,1,999,1000,0,0,1000,0,1000,999,0,1,999,1,999,999,0,1,999,1,999,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,
300, 0.998,0.9995,0.9925,0.9715,0.929,0.717,0.391,0.1335,0.0425,0.011,0.002,0.001,0,0,0,0,0,0,0,0,0.9995,0.999,0.9955,0.988,0.934,0.7205,0.383,0.1305,0.029,0.009,0.0025,0.002,0,0,0,0,0,0,0,0,996,0,4,996,4,996,999,0,1,999,1,999,975,0,25,975,25,975,936,1,63,936,63,936,765,9,226,765,226,765,502,64,434,502,434,502,452,71,477,452,477,452,684,17,299,684,299,684,848,3,149,848,149,848,972,0,28,972,28,972,997,0,3,997,3,997,995,0,5,995,5,995,999,0,1,999,1,999,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,
400, 1,1,1,0.993,0.95,0.7995,0.474,0.181,0.0425,0.011,0.0035,0.004,0,0,0,0,0,0,0,0,1,1,0.999,0.982,0.934,0.787,0.454,0.182,0.037,0.0065,0,0.001,0,0,0,0,0,0,0,0,1000,0,0,1000,0,1000,999,0,1,999,1,999,998,0,2,998,2,998,956,0,44,956,44,956,798,4,198,798,198,798,576,32,392,576,392,576,451,76,473,451,473,451,611,29,360,611,360,611,858,3,139,858,139,858,972,0,28,972,28,972,994,0,6,994,6,994,994,0,6,994,6,994,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,
500, 1,1,0.999,0.9855,0.9245,0.7035,0.373,0.154,0.0605,0.01,0.003,0,0,0,0,0,0,0,0,0,0.999,0.995,0.9955,0.9815,0.9185,0.693,0.3545,0.154,0.0365,0.0165,0.003,0,0,0,0,0,0,0,0,0,1000,0,0,1000,0,1000,996,0,4,996,4,996,983,0,17,983,17,983,930,2,68,930,68,930,798,12,190,798,190,798,509,55,436,509,436,509,446,78,476,446,476,446,636,23,341,636,341,636,854,4,142,854,142,854,948,0,52,948,52,948,995,0,5,995,5,995,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,
600, 1,1,0.992,0.974,0.8875,0.65,0.319,0.0985,0.015,0.0075,0,0,0,0,0,0,0,0,0,0,1,0.997,0.992,0.97,0.883,0.647,0.328,0.096,0.014,0.0075,0.0005,0,0,0,0,0,0,0,0,0,1000,0,0,1000,0,1000,993,0,7,993,7,993,960,0,40,960,40,960,907,1,92,907,92,907,734,13,253,734,253,734,492,79,429,492,429,492,476,68,456,476,456,476,753,15,232,753,232,753,946,0,54,946,54,946,966,0,34,966,34,966,999,0,1,999,1,999,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,
700, 1,1,0.995,0.9555,0.889,0.6905,0.3115,0.0835,0.02,0.0085,0.001,0,0,0,0,0,0,0,0,0,0.9995,0.998,0.994,0.972,0.904,0.6745,0.3325,0.1075,0.033,0.0095,0,0,0,0,0,0,0,0,0,0,1000,0,0,1000,0,1000,998,0,2,998,2,998,975,0,25,975,25,975,880,2,118,880,118,880,749,13,238,749,238,749,463,79,458,463,458,463,473,69,458,473,458,473,737,10,253,737,253,737,906,0,94,906,94,906,974,0,26,974,26,974,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,
800, 1,1,0.989,0.9745,0.935,0.737,0.3665,0.133,0.0335,0.0085,0.001,0.002,0,0,0,0,0,0,0,0,1,0.9985,0.9965,0.9795,0.9215,0.7615,0.368,0.137,0.0395,0.0155,0.002,0.0005,0,0,0,0,0,0,0,0,1000,0,0,1000,0,1000,995,0,5,995,5,995,975,0,25,975,25,975,927,3,70,927,70,927,778,7,215,778,215,778,498,45,457,498,457,498,490,64,446,490,446,490,662,20,318,662,318,662,876,0,124,876,124,876,959,0,41,959,41,959,991,0,9,991,9,991,995,0,5,995,5,995,999,0,1,999,1,999,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,
900, 1,0.9995,0.9955,0.9715,0.91,0.706,0.365,0.119,0.0265,0.0045,0.001,0,0,0,0,0,0,0,0,0,1,0.9995,0.9915,0.963,0.8895,0.6835,0.3735,0.1215,0.0355,0.007,0,0,0,0,0,0,0,0,0,0,1000,0,0,1000,0,1000,998,0,2,998,2,998,972,0,28,972,28,972,893,1,106,893,106,893,714,14,272,714,272,714,495,62,443,495,443,495,463,70,467,463,467,463,667,17,316,667,316,667,901,2,97,901,97,901,983,0,17,983,17,983,997,0,3,997,3,997,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,1000,0,0,1000,0,1000,
