gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W1, d0W0.606531, d0W0.611959, d0W1, d0W0.611959, d0W0.606531, d1W1, d1W0.606531, d1W0.611959, d1W1, d1W0.611959, d1W0.606531, d2W1, d2W0.606531, d2W0.611959, d2W1, d2W0.611959, d2W0.606531, d3W1, d3W0.606531, d3W0.611959, d3W1, d3W0.611959, d3W0.606531, d4W1, d4W0.606531, d4W0.611959, d4W1, d4W0.611959, d4W0.606531, d5W1, d5W0.606531, d5W0.611959, d5W1, d5W0.611959, d5W0.606531, d6W1, d6W0.606531, d6W0.611959, d6W1, d6W0.611959, d6W0.606531, d7W1, d7W0.606531, d7W0.611959, d7W1, d7W0.611959, d7W0.606531, d8W1, d8W0.606531, d8W0.611959, d8W1, d8W0.611959, d8W0.606531, d9W1, d9W0.606531, d9W0.611959, d9W1, d9W0.611959, d9W0.606531, d10W1, d10W0.606531, d10W0.611959, d10W1, d10W0.611959, d10W0.606531, d11W1, d11W0.606531, d11W0.611959, d11W1, d11W0.611959, d11W0.606531, d12W1, d12W0.606531, d12W0.611959, d12W1, d12W0.611959, d12W0.606531, d13W1, d13W0.606531, d13W0.611959, d13W1, d13W0.611959, d13W0.606531, d14W1, d14W0.606531, d14W0.611959, d14W1, d14W0.611959, d14W0.606531, d15W1, d15W0.606531, d15W0.611959, d15W1, d15W0.611959, d15W0.606531, d16W1, d16W0.606531, d16W0.611959, d16W1, d16W0.611959, d16W0.606531, d17W1, d17W0.606531, d17W0.611959, d17W1, d17W0.611959, d17W0.606531, d18W1, d18W0.606531, d18W0.611959, d18W1, d18W0.611959, d18W0.606531, d19W1, d19W0.606531, d19W0.611959, d19W1, d19W0.611959, d19W0.606531, 
0, 1,1,1,1,1,1,1,1,0.9775,0.83,0.0925,0.015,0.0025,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9725,0.8475,0.1325,0.015,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,194,1,5,194,5,1,150,24,26,150,26,24,146,20,34,146,34,20,191,2,7,191,7,2,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
10, 1,1,1,1,1,1,1,1,0.9875,0.7925,0.125,0.005,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9975,0.9875,0.775,0.1175,0.01,0.0025,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,0,2,198,2,0,188,5,7,188,7,5,111,30,59,111,59,30,136,19,45,136,45,19,187,5,8,187,8,5,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
20, 1,1,1,1,1,1,1,1,0.985,0.7875,0.2,0.02,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9975,0.985,0.7775,0.195,0.0125,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,1,0,199,0,1,187,1,12,187,12,1,118,24,58,118,58,24,139,22,39,139,39,22,193,1,6,193,6,1,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
30, 1,1,1,1,1,1,1,1,0.9875,0.83,0.16,0.025,0.0025,0.0025,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.975,0.81,0.1625,0.035,0.01,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,188,1,11,188,11,1,108,19,73,108,73,19,137,21,42,137,42,21,177,6,17,177,17,6,199,1,0,199,0,1,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
40, 1,1,1,1,1,1,1,1,0.98,0.88,0.1175,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9975,0.98,0.8725,0.1075,0.015,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,192,2,6,192,6,2,158,12,30,158,30,12,146,22,32,146,32,22,190,4,6,190,6,4,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
50, 1,1,1,1,1,1,1,1,0.9875,0.905,0.2,0.0175,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9925,0.9875,0.895,0.145,0.0225,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,194,1,5,194,5,1,161,11,28,161,28,11,116,30,54,116,54,30,191,2,7,191,7,2,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
60, 1,1,1,1,1,1,1,1,0.98,0.7725,0.135,0.0125,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9825,0.7725,0.1175,0.0075,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,194,3,3,194,3,3,137,27,36,137,36,27,156,21,23,156,23,21,195,1,4,195,4,1,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
70, 1,1,1,1,1,1,1,0.9975,0.98,0.7925,0.1725,0.0075,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.99,0.7975,0.1525,0.01,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,189,0,11,189,11,0,114,37,49,114,49,37,149,17,34,149,34,17,194,1,5,194,5,1,199,1,0,199,0,1,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
80, 1,1,1,1,1,1,1,0.9975,0.995,0.86,0.17,0.0075,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.9875,0.8275,0.165,0.0225,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,192,2,6,192,6,2,122,38,40,122,40,38,129,25,46,129,46,25,192,0,8,192,8,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
90, 1,1,1,1,1,1,1,1,0.99,0.82,0.1325,0.0025,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.9975,0.9875,0.8525,0.13,0.0025,0,0,0,0,0,0,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,187,2,11,187,11,2,132,27,41,132,41,27,152,11,37,152,37,11,196,1,3,196,3,1,198,0,2,198,2,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,200,0,0,
