0	p2: 8	p12: 0	HI: 1	fitness: 1
1	p2: 7	p12: 0	HI: 0.875	fitness: 0.999999
2	p2: 7	p12: 1	HI: 0.9375	fitness: 1
3	p2: 6	p12: 0	HI: 0.75	fitness: 0.995001
4	p2: 6	p12: 1	HI: 0.8125	fitness: 0.999819
5	p2: 6	p12: 2	HI: 0.875	fitness: 0.999999
6	p2: 5	p12: 0	HI: 0.625	fitness: 0.836911
7	p2: 5	p12: 1	HI: 0.6875	fitness: 0.956717
8	p2: 5	p12: 2	HI: 0.75	fitness: 0.995001
9	p2: 5	p12: 3	HI: 0.8125	fitness: 0.999819
10	p2: 4	p12: 0	HI: 0.5	fitness: 0.606531
11	p2: 4	p12: 1	HI: 0.5625	fitness: 0.677983
12	p2: 4	p12: 2	HI: 0.625	fitness: 0.836911
13	p2: 4	p12: 3	HI: 0.6875	fitness: 0.956717
14	p2: 4	p12: 4	HI: 0.75	fitness: 0.995001
15	p2: 3	p12: 0	HI: 0.375	fitness: 0.836911
16	p2: 3	p12: 1	HI: 0.4375	fitness: 0.677983
17	p2: 3	p12: 2	HI: 0.5	fitness: 0.606531
18	p2: 3	p12: 3	HI: 0.5625	fitness: 0.677983
19	p2: 3	p12: 4	HI: 0.625	fitness: 0.836911
20	p2: 3	p12: 5	HI: 0.6875	fitness: 0.956717
21	p2: 2	p12: 0	HI: 0.25	fitness: 0.995001
22	p2: 2	p12: 1	HI: 0.3125	fitness: 0.956717
23	p2: 2	p12: 2	HI: 0.375	fitness: 0.836911
24	p2: 2	p12: 3	HI: 0.4375	fitness: 0.677983
25	p2: 2	p12: 4	HI: 0.5	fitness: 0.606531
26	p2: 2	p12: 5	HI: 0.5625	fitness: 0.677983
27	p2: 2	p12: 6	HI: 0.625	fitness: 0.836911
28	p2: 1	p12: 0	HI: 0.125	fitness: 0.999999
29	p2: 1	p12: 1	HI: 0.1875	fitness: 0.999819
30	p2: 1	p12: 2	HI: 0.25	fitness: 0.995001
31	p2: 1	p12: 3	HI: 0.3125	fitness: 0.956717
32	p2: 1	p12: 4	HI: 0.375	fitness: 0.836911
33	p2: 1	p12: 5	HI: 0.4375	fitness: 0.677983
34	p2: 1	p12: 6	HI: 0.5	fitness: 0.606531
35	p2: 1	p12: 7	HI: 0.5625	fitness: 0.677983
36	p2: 0	p12: 0	HI: 0	fitness: 1
37	p2: 0	p12: 1	HI: 0.0625	fitness: 1
38	p2: 0	p12: 2	HI: 0.125	fitness: 0.999999
39	p2: 0	p12: 3	HI: 0.1875	fitness: 0.999819
40	p2: 0	p12: 4	HI: 0.25	fitness: 0.995001
41	p2: 0	p12: 5	HI: 0.3125	fitness: 0.956717
42	p2: 0	p12: 6	HI: 0.375	fitness: 0.836911
43	p2: 0	p12: 7	HI: 0.4375	fitness: 0.677983
44	p2: 0	p12: 8	HI: 0.5	fitness: 0.606531
round: 0	nbSign: 0	last?: 0	accGen: 0
round: 1	nbSign: 5	last?: 0	accGen: 2000
round: 2	nbSign: 10	last?: 0	accGen: 4000
round: 3	nbSign: 17	last?: 1	accGen: 6000
2000 generations ont pris394secondes
