gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d0W1, d0W0.367879, d0W0.472367, d0W1, d0W0.472367, d0W0.367879, d1W1, d1W0.367879, d1W0.472367, d1W1, d1W0.472367, d1W0.367879, d2W1, d2W0.367879, d2W0.472367, d2W1, d2W0.472367, d2W0.367879, d3W1, d3W0.367879, d3W0.472367, d3W1, d3W0.472367, d3W0.367879, d4W1, d4W0.367879, d4W0.472367, d4W1, d4W0.472367, d4W0.367879, d5W1, d5W0.367879, d5W0.472367, d5W1, d5W0.472367, d5W0.367879, d6W1, d6W0.367879, d6W0.472367, d6W1, d6W0.472367, d6W0.367879, d7W1, d7W0.367879, d7W0.472367, d7W1, d7W0.472367, d7W0.367879, 
0, 1,1,0.985,0.8675,0.1275,0.0125,0.0025,0,1,1,0.9925,0.86,0.115,0.0125,0.0025,0,200,0,0,200,0,0,200,0,0,200,0,0,198,1,1,198,1,1,163,17,20,163,20,17,172,14,14,172,14,14,196,2,2,196,2,2,200,0,0,200,0,0,200,0,0,200,0,0,
10, 1,1,1,0.9125,0.1325,0.0125,0,0,1,1,0.9975,0.8875,0.115,0.01,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,0,1,199,1,0,168,19,13,168,13,19,148,30,22,148,22,30,196,0,4,196,4,0,200,0,0,200,0,0,200,0,0,200,0,0,
20, 1,1,0.99,0.835,0.0925,0.0025,0.0025,0,1,1,0.99,0.835,0.0975,0.0075,0,0,200,0,0,200,0,0,200,0,0,200,0,0,196,2,2,196,2,2,169,20,11,169,11,20,158,20,22,158,22,20,193,1,6,193,6,1,199,1,0,199,0,1,200,0,0,200,0,0,
30, 1,1,0.995,0.8925,0.1125,0,0,0,1,1,0.9925,0.8725,0.1125,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,0,2,198,2,0,165,18,17,165,17,18,164,21,15,164,15,21,195,0,5,195,5,0,200,0,0,200,0,0,200,0,0,200,0,0,
40, 1,1,0.985,0.815,0.0725,0.005,0,0,1,1,0.9875,0.795,0.09,0.0025,0,0,200,0,0,200,0,0,200,0,0,200,0,0,194,4,2,194,2,4,156,32,12,156,12,32,163,18,19,163,19,18,196,0,4,196,4,0,200,0,0,200,0,0,200,0,0,200,0,0,
50, 1,1,0.99,0.87,0.07,0.015,0,0,1,0.9975,0.99,0.8725,0.075,0.01,0,0,200,0,0,200,0,0,199,0,1,199,1,0,195,0,5,195,5,0,164,12,24,164,24,12,170,18,12,170,12,18,198,1,1,198,1,1,200,0,0,200,0,0,200,0,0,200,0,0,
60, 1,1,0.9925,0.8875,0.125,0.005,0,0,1,1,0.995,0.895,0.1425,0.01,0,0,200,0,0,200,0,0,198,0,2,198,2,0,199,1,0,199,0,1,159,22,19,159,19,22,153,31,16,153,16,31,193,4,3,193,3,4,200,0,0,200,0,0,200,0,0,200,0,0,
70, 1,1,0.995,0.87,0.105,0.01,0,0,1,1,0.9925,0.8825,0.0975,0.01,0,0,200,0,0,200,0,0,200,0,0,200,0,0,194,1,5,194,5,1,168,25,7,168,7,25,160,21,19,160,19,21,192,4,4,192,4,4,200,0,0,200,0,0,200,0,0,200,0,0,
80, 1,1,0.99,0.8975,0.125,0.005,0,0,1,1,0.995,0.8775,0.1175,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,0,3,197,3,0,160,23,17,160,17,23,158,20,22,158,22,20,194,6,0,194,0,6,200,0,0,200,0,0,200,0,0,200,0,0,
90, 1,1,0.98,0.885,0.1225,0.005,0,0,1,1,0.99,0.8725,0.115,0.01,0,0,200,0,0,200,0,0,199,0,1,199,1,0,192,4,4,192,4,4,140,41,19,140,19,41,162,17,21,162,21,17,199,0,1,199,1,0,200,0,0,200,0,0,200,0,0,200,0,0,
100, 1,0.9975,0.9925,0.885,0.135,0.01,0,0,1,0.9975,0.9925,0.88,0.13,0.015,0,0,200,0,0,200,0,0,200,0,0,200,0,0,197,2,1,197,1,2,167,26,7,167,7,26,174,18,8,174,8,18,197,3,0,197,0,3,200,0,0,200,0,0,200,0,0,200,0,0,
110, 1,1,0.9975,0.88,0.105,0,0,0,1,1,0.995,0.8825,0.105,0.0025,0,0,200,0,0,200,0,0,199,0,1,199,1,0,196,0,4,196,4,0,160,25,15,160,15,25,145,28,27,145,27,28,197,1,2,197,2,1,200,0,0,200,0,0,200,0,0,200,0,0,
120, 1,1,0.9975,0.8475,0.1625,0.0075,0,0,1,1,0.9975,0.8525,0.145,0.01,0,0,200,0,0,200,0,0,200,0,0,200,0,0,199,1,0,199,0,1,161,27,12,161,12,27,170,18,12,170,12,18,198,0,2,198,2,0,200,0,0,200,0,0,200,0,0,200,0,0,
130, 1,1,0.9925,0.8525,0.1225,0.01,0,0,1,1,0.9975,0.8575,0.1175,0.0025,0,0,200,0,0,200,0,0,200,0,0,200,0,0,193,3,4,193,4,3,163,14,23,163,23,14,172,17,11,172,11,17,193,4,3,193,3,4,200,0,0,200,0,0,200,0,0,200,0,0,
140, 1,1,0.9925,0.825,0.1325,0.01,0,0,1,0.9975,0.9925,0.8475,0.1325,0.0075,0,0,200,0,0,200,0,0,200,0,0,200,0,0,193,2,5,193,5,2,162,25,13,162,13,25,151,24,25,151,25,24,199,1,0,199,0,1,200,0,0,200,0,0,200,0,0,200,0,0,
150, 1,1,0.99,0.8325,0.085,0.01,0,0,1,1,0.985,0.8425,0.0925,0.0125,0,0,200,0,0,200,0,0,200,0,0,200,0,0,194,2,4,194,4,2,162,19,19,162,19,19,182,11,7,182,7,11,198,2,0,198,0,2,200,0,0,200,0,0,200,0,0,200,0,0,
160, 1,0.9975,0.9825,0.845,0.115,0.005,0,0,1,1,0.99,0.8525,0.09,0.0075,0,0,200,0,0,200,0,0,200,0,0,200,0,0,195,2,3,195,3,2,165,15,20,165,20,15,167,16,17,167,17,16,196,3,1,196,1,3,200,0,0,200,0,0,200,0,0,200,0,0,
170, 1,1,1,0.9175,0.11,0.0075,0,0,1,1,0.995,0.915,0.105,0.005,0,0,200,0,0,200,0,0,200,0,0,200,0,0,198,0,2,198,2,0,169,19,12,169,12,19,157,17,26,157,26,17,195,2,3,195,3,2,200,0,0,200,0,0,200,0,0,200,0,0,
180, 1,1,0.995,0.88,0.1025,0.0075,0,0,1,1,0.995,0.865,0.0975,0.015,0,0,200,0,0,200,0,0,200,0,0,200,0,0,195,1,4,195,4,1,171,15,14,171,14,15,171,18,11,171,11,18,196,1,3,196,3,1,200,0,0,200,0,0,200,0,0,200,0,0,
190, 1,1,0.995,0.8575,0.1075,0.0125,0,0,1,1,0.9875,0.86,0.105,0.0125,0,0,200,0,0,200,0,0,200,0,0,200,0,0,196,3,1,196,1,3,160,28,12,160,12,28,175,16,9,175,9,16,196,1,3,196,3,1,200,0,0,200,0,0,200,0,0,200,0,0,
