trait	loc	mut_effect	dom
4	40	1.07362	0.5
0	41	0.0943697	0.5
1	41	0.495527	0.5
2	41	-0.953077	0.5
3	41	-0.439629	0.5
4	41	-0.750219	0.5
0	42	-1.3153	0.5
1	42	0.552012	0.5
2	42	0.477475	0.5
3	42	0.317601	0.5
4	42	1.28203	0.5
0	43	2.3459	0.5
1	43	-0.0947383	0.5
2	43	-0.0727926	0.5
3	43	0.392507	0.5
4	43	-0.602772	0.5
0	44	2.04294	0.5
1	44	-1.72508	0.5
2	44	-1.22608	0.5
3	44	0.0874784	0.5
4	44	0.141468	0.5
0	45	-0.277722	0.5
1	45	-1.20368	0.5
2	45	0.121183	0.5
3	45	1.15877	0.5
4	45	-0.159221	0.5
0	46	0.660702	0.5
1	46	-0.614583	0.5
2	46	-0.799732	0.5
3	46	1.27655	0.5
4	46	-0.0443626	0.5
0	47	0.939652	0.5
1	47	1.47436	0.5
2	47	-0.803408	0.5
3	47	0.166759	0.5
4	47	-1.06516	0.5
0	48	0.800377	0.5
1	48	0.236313	0.5
2	48	0.605319	0.5
3	48	0.129102	0.5
4	48	1.69486	0.5
0	49	0.658792	0.5
1	49	-0.420991	0.5
2	49	0.15496	0.5
3	49	-2.41815	0.5
4	49	0.767202	0.5
0	50	0.249823	0.5
1	50	-0.859388	0.5
2	50	1.97834	0.5
3	50	1.32386	0.5
4	50	1.60616	0.5
0	51	1.21829	0.5
1	51	0.174786	0.5
2	51	-0.109734	0.5
3	51	-1.14645	0.5
4	51	-1.39937	0.5
0	52	0.184721	0.5
1	52	0.141243	0.5
2	52	-1.12747	0.5
3	52	-0.332419	0.5
4	52	-0.0883822	0.5
0	53	1.01047	0.5
1	53	-0.392627	0.5
2	53	1.04829	0.5
3	53	0.180147	0.5
4	53	-0.0349052	0.5
0	54	0.850602	0.5
1	54	-0.631888	0.5
2	54	0.259057	0.5
3	54	1.86326	0.5
4	54	-0.0734941	0.5
0	55	0.752788	0.5
1	55	0.142102	0.5
2	55	-0.0107798	0.5
3	55	-0.90579	0.5
4	55	0.540141	0.5
0	56	0.0973046	0.5
1	56	1.46744	0.5
2	56	0.555101	0.5
3	56	-2.7723	0.5
4	56	0.580203	0.5
0	57	-0.172229	0.5
1	57	0.68377	0.5
2	57	1.16793	0.5
3	57	0.875135	0.5
4	57	0.728454	0.5
0	58	-1.12559	0.5
1	58	-0.805666	0.5
2	58	-0.213056	0.5
3	58	1.5514	0.5
4	58	0.739671	0.5
0	59	1.65304	0.5
1	59	0.68628	0.5
2	59	-0.560718	0.5
3	59	-1.59074	0.5
4	59	-1.77549	0.5
0	60	-1.0212	0.5
1	60	0.175645	0.5
2	60	1.09229	0.5
3	60	-0.694033	0.5
4	60	0.880794	0.5
0	61	-1.30821	0.5
1	61	0.536799	0.5
2	61	0.258633	0.5
3	61	1.05222	0.5
4	61	-0.329311	0.5
0	62	0.750258	0.5
1	62	1.39072	0.5
2	62	0.405277	0.5
3	62	0.494466	0.5
4	62	-2.0346	0.5
0	63	1.28675	0.5
1	63	0.478633	0.5
2	63	1.60225	0.5
3	63	0.0212372	0.5
4	63	0.51661	0.5
0	64	1.36176	0.5
1	64	1.62042	0.5
2	64	-0.338303	0.5
3	64	-0.649069	0.5
4	64	0.546968	0.5
0	65	-2.02359	0.5
1	65	-0.608007	0.5
2	65	-1.48378	0.5
3	65	-0.222424	0.5
4	65	-1.80197	0.5
0	66	-0.647412	0.5
1	66	0.0880717	0.5
2	66	-0.410457	0.5
3	66	0.189163	0.5
4	66	0.30975	0.5
0	67	0.943274	0.5
1	67	0.659158	0.5
2	67	0.976588	0.5
3	67	1.06761	0.5
4	67	-1.05193	0.5
0	68	0.124385	0.5
1	68	1.60689	0.5
2	68	0.144481	0.5
3	68	-0.681146	0.5
4	68	-1.05876	0.5
0	69	0.512862	0.5
1	69	-0.885809	0.5
2	69	0.382402	0.5
3	69	-0.884182	0.5
4	69	-0.0738083	0.5
0	70	1.1561	0.5
1	70	0.474323	0.5
2	70	0.259362	0.5
3	70	1.0992	0.5
4	70	-0.89231	0.5
0	71	0.744307	0.5
1	71	-0.606753	0.5
2	71	0.870528	0.5
3	71	-1.46913	0.5
4	71	2.14075	0.5
0	72	-0.198717	0.5
1	72	0.456826	0.5
2	72	0.156617	0.5
3	72	1.46972	0.5
4	72	0.0967707	0.5
0	73	-0.587836	0.5
1	73	-0.296897	0.5
2	73	0.642002	0.5
3	73	1.69497	0.5
4	73	-0.692605	0.5
0	74	1.60245	0.5
1	74	-0.486955	0.5
2	74	-1.45544	0.5
3	74	-1.64706	0.5
4	74	1.40438	0.5
0	75	0.958569	0.5
1	75	0.36079	0.5
2	75	1.43411	0.5
3	75	2.11585	0.5
4	75	0.694868	0.5
0	76	0.072089	0.5
1	76	-0.251779	0.5
2	76	0.0271574	0.5
3	76	-1.10872	0.5
4	76	0.886814	0.5
0	77	-0.266599	0.5
1	77	-0.518244	0.5
2	77	0.887687	0.5
3	77	0.916197	0.5
4	77	0.0905793	0.5
0	78	-0.252416	0.5
1	78	0.579824	0.5
2	78	-0.223633	0.5
3	78	-0.838598	0.5
4	78	-1.24953	0.5
0	79	0.706062	0.5
1	79	0.149435	0.5
2	79	-1.87026	0.5
3	79	0.709212	0.5
4	79	-2.14704	0.5
0	80	1.03728	0.5
1	80	3.17368	0.5
2	80	-0.943047	0.5
3	80	-1.00796	0.5
4	80	0.445513	0.5
0	81	-0.0291762	0.5
1	81	-0.613801	0.5
2	81	-0.569126	0.5
3	81	-2.25099	0.5
4	81	-0.395305	0.5
0	82	0.148937	0.5
1	82	1.38911	0.5
2	82	-0.774858	0.5
3	82	1.0974	0.5
4	82	1.07101	0.5
0	83	-0.513788	0.5
1	83	-0.000773759	0.5
2	83	1.48166	0.5
3	83	0.113633	0.5
4	83	0.259951	0.5
0	84	0.114146	0.5
1	84	-0.405659	0.5
2	84	0.277406	0.5
3	84	-0.0564273	0.5
4	84	-1.76709	0.5
0	85	-0.459234	0.5
1	85	-1.90074	0.5
2	85	-0.250465	0.5
3	85	0.884673	0.5
4	85	-0.740871	0.5
0	86	-0.797471	0.5
1	86	-2.05358	0.5
2	86	0.939549	0.5
3	86	-0.297347	0.5
4	86	-0.508326	0.5
0	87	1.24006	0.5
1	87	2.16313	0.5
2	87	1.52995	0.5
3	87	0.077344	0.5
4	87	-0.0949527	0.5
0	88	2.11722	0.5
1	88	0.948177	0.5
2	88	0.723917	0.5
3	88	0.849083	0.5
4	88	1.08464	0.5
0	89	-0.282002	0.5
1	89	-0.935792	0.5
2	89	1.03057	0.5
3	89	-1.20291	0.5
4	89	0.368388	0.5
0	90	0.715561	0.5
1	90	-0.0218655	0.5
2	90	-0.512644	0.5
3	90	-0.0890864	0.5
4	90	-0.00972255	0.5
0	91	-1.73303	0.5
1	91	-0.0905809	0.5
2	91	-0.481455	0.5
3	91	-1.90012	0.5
4	91	-1.51882	0.5
0	92	1.43298	0.5
1	92	1.60661	0.5
2	92	0.0416205	0.5
3	92	-0.76377	0.5
4	92	-0.706176	0.5
0	93	-0.694214	0.5
1	93	-0.744843	0.5
2	93	-1.30062	0.5
3	93	-0.726571	0.5
4	93	0.18676	0.5
0	94	0.163056	0.5
1	94	0.645063	0.5
2	94	-1.06638	0.5
3	94	-1.12555	0.5
4	94	0.104356	0.5
0	95	-1.30596	0.5
1	95	0.349031	0.5
2	95	-0.845828	0.5
3	95	-0.0167127	0.5
4	95	-0.448541	0.5
0	96	0.193749	0.5
1	96	0.585416	0.5
2	96	0.107401	0.5
3	96	-0.204622	0.5
4	96	-0.606718	0.5
0	97	-1.03664	0.5
1	97	-0.518604	0.5
2	97	-0.519822	0.5
3	97	1.56078	0.5
4	97	1.76232	0.5
0	98	0.645514	0.5
1	98	-0.790619	0.5
2	98	2.18929	0.5
3	98	-2.23793	0.5
4	98	-0.264681	0.5
0	99	0.206077	0.5
1	99	-1.63847	0.5
2	99	0.293935	0.5
3	99	-3.24193	0.5
4	99	0.913694	0.5
0	100	-0.107538	0.5
1	100	1.53706	0.5
2	100	0.356169	0.5
3	100	-0.431977	0.5
4	100	0.0805279	0.5
0	101	-1.24939	0.5
1	101	-1.32181	0.5
2	101	1.83243	0.5
3	101	0.317574	0.5
4	101	-0.379793	0.5
0	102	-0.252035	0.5
1	102	0.929103	0.5
2	102	0.637685	0.5
3	102	0.751625	0.5
4	102	1.25381	0.5
0	103	-0.707027	0.5
1	103	-0.092053	0.5
2	103	0.260663	0.5
3	103	0.509321	0.5
4	103	-0.133742	0.5
0	104	0.961783	0.5
1	104	0.309766	0.5
2	104	-0.179736	0.5
3	104	-0.113043	0.5
4	104	2.49392	0.5
0	105	-1.19866	0.5
1	105	-0.433429	0.5
2	105	1.31582	0.5
3	105	0.464521	0.5
4	105	0.0786624	0.5
0	106	-0.95168	0.5
1	106	-0.245409	0.5
2	106	-0.0841545	0.5
3	106	-0.654445	0.5
4	106	2.34275	0.5
0	107	1.72374	0.5
1	107	-1.42867	0.5
2	107	-0.179442	0.5
3	107	-0.0984701	0.5
4	107	0.488575	0.5
0	108	-0.638183	0.5
1	108	-1.64215	0.5
2	108	-0.592997	0.5
3	108	-0.154379	0.5
4	108	1.26151	0.5
0	109	1.01185	0.5
1	109	0.133988	0.5
2	109	-1.46944	0.5
3	109	1.00037	0.5
4	109	-0.116244	0.5
0	110	0.251547	0.5
1	110	0.00272554	0.5
2	110	0.017541	0.5
3	110	1.71576	0.5
4	110	-1.12719	0.5
0	111	0.803267	0.5
1	111	-0.400352	0.5
2	111	-1.6801	0.5
3	111	-1.10265	0.5
4	111	1.47785	0.5
0	112	0.297575	0.5
1	112	1.00788	0.5
2	112	-0.793376	0.5
3	112	0.160509	0.5
4	112	-0.365013	0.5
0	113	0.136313	0.5
1	113	0.147627	0.5
2	113	0.154323	0.5
3	113	-0.365854	0.5
4	113	-0.302274	0.5
0	114	2.50821	0.5
1	114	-0.134278	0.5
2	114	2.00101	0.5
3	114	-0.0833847	0.5
4	114	0.247998	0.5
0	115	0.585464	0.5
1	115	0.346041	0.5
2	115	0.384054	0.5
3	115	-0.605041	0.5
4	115	1.77883	0.5
0	116	-0.297492	0.5
1	116	1.98817	0.5
2	116	-0.973947	0.5
3	116	-0.17972	0.5
4	116	-1.36167	0.5
0	117	-0.674571	0.5
1	117	-1.00816	0.5
2	117	-0.394986	0.5
3	117	0.00735387	0.5
4	117	0.948007	0.5
0	118	2.85179	0.5
1	118	0.467552	0.5
2	118	-0.185534	0.5
3	118	0.0571848	0.5
4	118	-1.29645	0.5
0	119	-1.41115	0.5
1	119	-1.00826	0.5
2	119	-1.88388	0.5
3	119	-0.690404	0.5
4	119	0.414867	0.5
0	120	-1.16675	0.5
1	120	2.46131	0.5
2	120	0.0203818	0.5
3	120	0.258496	0.5
4	120	0.771883	0.5
0	121	-0.00617573	0.5
1	121	0.0110771	0.5
2	121	0.282137	0.5
3	121	-0.0631809	0.5
4	121	-0.875628	0.5
0	122	-0.0738369	0.5
1	122	1.12594	0.5
2	122	1.07298	0.5
3	122	1.03545	0.5
4	122	-1.11808	0.5
0	123	0.47665	0.5
1	123	0.0982332	0.5
2	123	-1.44117	0.5
3	123	-1.13153	0.5
4	123	0.731189	0.5
0	124	0.50758	0.5
1	124	-1.01251	0.5
2	124	-0.86924	0.5
3	124	-0.338381	0.5
4	124	-1.01597	0.5
0	125	-0.831766	0.5
1	125	-2.22848	0.5
2	125	0.0119364	0.5
3	125	-1.99114	0.5
4	125	1.68572	0.5
0	126	-2.52658	0.5
1	126	-0.4501	0.5
2	126	-0.881968	0.5
3	126	-1.13824	0.5
4	126	1.23659	0.5
0	127	-0.781495	0.5
1	127	-2.03669	0.5
2	127	-0.00125305	0.5
3	127	-0.77494	0.5
4	127	0.428258	0.5
0	128	-0.29311	0.5
1	128	-0.108722	0.5
2	128	-1.23679	0.5
3	128	0.861506	0.5
4	128	0.651096	0.5
0	129	0.137776	0.5
1	129	-0.501157	0.5
2	129	-0.358227	0.5
3	129	-0.0879396	0.5
4	129	1.31697	0.5
0	130	-1.19203	0.5
1	130	-0.20865	0.5
2	130	0.331859	0.5
3	130	0.546172	0.5
4	130	0.469938	0.5
0	131	-0.774212	0.5
1	131	0.793095	0.5
2	131	0.592453	0.5
3	131	-1.51847	0.5
4	131	-1.05896	0.5
0	132	0.648071	0.5
1	132	1.01537	0.5
2	132	1.83165	0.5
3	132	-0.134298	0.5
4	132	-1.12019	0.5
0	133	-0.426698	0.5
1	133	-0.731545	0.5
2	133	0.0296562	0.5
3	133	0.268482	0.5
4	133	0.0372035	0.5
0	134	-1.1327	0.5
1	134	1.50051	0.5
2	134	2.33116	0.5
3	134	-0.174684	0.5
4	134	0.147935	0.5
0	135	0.871731	0.5
1	135	1.71516	0.5
2	135	-0.0681942	0.5
3	135	-0.676431	0.5
4	135	1.18597	0.5
0	136	1.00107	0.5
1	136	0.334305	0.5
2	136	-2.1736	0.5
3	136	0.493546	0.5
4	136	-0.113545	0.5
0	137	0.708108	0.5
1	137	-0.0525807	0.5
2	137	-0.443308	0.5
3	137	3.14736	0.5
4	137	-1.15069	0.5
0	138	1.45392	0.5
1	138	-0.184333	0.5
2	138	0.858673	0.5
3	138	0.42923	0.5
4	138	-1.68832	0.5
0	139	-0.0224237	0.5
1	139	-0.46973	0.5
2	139	1.06136	0.5
3	139	-1.55625	0.5
4	139	-0.674306	0.5
0	140	-0.378229	0.5
1	140	0.525857	0.5
2	140	-1.24717	0.5
3	140	0.744286	0.5
4	140	0.190289	0.5
0	141	-0.100694	0.5
1	141	1.62549	0.5
2	141	-0.135619	0.5
3	141	0.979423	0.5
4	141	0.339088	0.5
0	142	-0.764885	0.5
1	142	-0.751009	0.5
2	142	0.569028	0.5
3	142	0.796174	0.5
4	142	0.550444	0.5
0	143	0.894415	0.5
1	143	2.03986	0.5
2	143	-1.38313	0.5
3	143	-1.31807	0.5
4	143	0.905774	0.5
0	144	-0.635383	0.5
1	144	0.496219	0.5
2	144	-1.44731	0.5
3	144	-0.357992	0.5
4	144	0.146246	0.5
0	145	-0.6563	0.5
1	145	0.133432	0.5
2	145	0.600794	0.5
3	145	-0.186569	0.5
4	145	2.21923	0.5
0	146	0.389415	0.5
1	146	-0.404008	0.5
2	146	1.31446	0.5
3	146	0.812014	0.5
4	146	0.04625	0.5
0	147	0.0788476	0.5
1	147	-0.481353	0.5
2	147	-1.06661	0.5
3	147	0.0838952	0.5
4	147	1.33523	0.5
0	148	-0.459337	0.5
1	148	2.03249	0.5
2	148	-0.839021	0.5
3	148	0.604145	0.5
4	148	-0.121444	0.5
0	149	0.00496635	0.5
1	149	0.568523	0.5
2	149	0.432293	0.5
3	149	0.126147	0.5
4	149	-0.353919	0.5
0	150	-1.36749	0.5
1	150	-0.204033	0.5
2	150	1.01859	0.5
3	150	-1.23382	0.5
4	150	-0.137436	0.5
0	151	-1.08312	0.5
1	151	-0.792698	0.5
2	151	0.092125	0.5
3	151	-0.865249	0.5
4	151	0.0738879	0.5
0	152	-1.1644	0.5
1	152	-1.98384	0.5
2	152	-1.49399	0.5
3	152	-0.471196	0.5
4	152	0.440289	0.5
0	153	-0.787272	0.5
1	153	0.57331	0.5
2	153	1.09769	0.5
3	153	-2.32269	0.5
4	153	1.67903	0.5
0	154	-0.0814929	0.5
1	154	-1.12667	0.5
2	154	0.374559	0.5
3	154	-1.60649	0.5
4	154	1.28474	0.5
0	155	0.960025	0.5
1	155	-0.957138	0.5
2	155	0.909307	0.5
3	155	-0.0604775	0.5
4	155	1.46954	0.5
0	156	0.351596	0.5
1	156	-0.23827	0.5
2	156	0.520532	0.5
3	156	-0.976798	0.5
4	156	0.528004	0.5
0	157	0.0546644	0.5
1	157	0.638773	0.5
2	157	0.66849	0.5
3	157	1.43876	0.5
4	157	-0.144068	0.5
0	158	0.790728	0.5
1	158	0.491511	0.5
2	158	-0.165541	0.5
3	158	2.20874	0.5
4	158	0.212885	0.5
0	159	1.5701	0.5
1	159	0.167203	0.5
2	159	-0.813121	0.5
3	159	-0.641436	0.5
4	159	0.0421345	0.5
0	160	-0.254471	0.5
1	160	-0.309469	0.5
2	160	-0.653836	0.5
3	160	-0.767405	0.5
4	160	-1.38817	0.5
0	161	-1.00189	0.5
1	161	0.578713	0.5
2	161	-0.676984	0.5
3	161	-0.742205	0.5
4	161	0.172973	0.5
0	162	-1.16116	0.5
1	162	0.673007	0.5
2	162	-0.566742	0.5
3	162	-1.11898	0.5
4	162	-0.169139	0.5
0	163	-0.840487	0.5
1	163	1.31476	0.5
2	163	-0.8655	0.5
3	163	0.468273	0.5
4	163	0.118791	0.5
0	164	-0.317896	0.5
1	164	-0.189779	0.5
2	164	0.977614	0.5
3	164	1.68017	0.5
4	164	-0.51557	0.5
0	165	0.357714	0.5
1	165	0.886982	0.5
2	165	-0.789158	0.5
3	165	-0.461723	0.5
4	165	0.857299	0.5
0	166	1.66971	0.5
1	166	0.421242	0.5
2	166	-0.779901	0.5
3	166	0.431391	0.5
4	166	0.821607	0.5
0	167	0.923788	0.5
1	167	-0.46306	0.5
2	167	-1.10445	0.5
3	167	1.9155	0.5
4	167	0.0502563	0.5
0	168	0.156079	0.5
1	168	0.991355	0.5
2	168	0.481256	0.5
3	168	0.541971	0.5
4	168	-0.384768	0.5
0	169	-2.02734	0.5
1	169	-0.332874	0.5
2	169	-0.078301	0.5
3	169	1.73179	0.5
4	169	0.617537	0.5
0	170	-0.278699	0.5
1	170	-0.619346	0.5
2	170	-1.03471	0.5
3	170	-0.796291	0.5
4	170	0.959192	0.5
0	171	-0.276281	0.5
1	171	1.05358	0.5
2	171	0.192737	0.5
3	171	0.608351	0.5
