gen, d0l0, d1l0, d2l0, d3l0, d4l0, d5l0, d6l0, d7l0, d8l0, d9l0, d10l0, d11l0, d12l0, d13l0, d14l0, d15l0, d16l0, d17l0, d18l0, d19l0, d0l1, d1l1, d2l1, d3l1, d4l1, d5l1, d6l1, d7l1, d8l1, d9l1, d10l1, d11l1, d12l1, d13l1, d14l1, d15l1, d16l1, d17l1, d18l1, d19l1, d0W1, d0W0.606531, d0W0.63223, d0W1, d0W0.63223, d0W1, d1W1, d1W0.606531, d1W0.63223, d1W1, d1W0.63223, d1W1, d2W1, d2W0.606531, d2W0.63223, d2W1, d2W0.63223, d2W1, d3W1, d3W0.606531, d3W0.63223, d3W1, d3W0.63223, d3W1, d4W1, d4W0.606531, d4W0.63223, d4W1, d4W0.63223, d4W1, d5W1, d5W0.606531, d5W0.63223, d5W1, d5W0.63223, d5W1, d6W1, d6W0.606531, d6W0.63223, d6W1, d6W0.63223, d6W1, d7W1, d7W0.606531, d7W0.63223, d7W1, d7W0.63223, d7W1, d8W1, d8W0.606531, d8W0.63223, d8W1, d8W0.63223, d8W1, d9W1, d9W0.606531, d9W0.63223, d9W1, d9W0.63223, d9W1, d10W1, d10W0.606531, d10W0.63223, d10W1, d10W0.63223, d10W1, d11W1, d11W0.606531, d11W0.63223, d11W1, d11W0.63223, d11W1, d12W1, d12W0.606531, d12W0.63223, d12W1, d12W0.63223, d12W1, d13W1, d13W0.606531, d13W0.63223, d13W1, d13W0.63223, d13W1, d14W1, d14W0.606531, d14W0.63223, d14W1, d14W0.63223, d14W1, d15W1, d15W0.606531, d15W0.63223, d15W1, d15W0.63223, d15W1, d16W1, d16W0.606531, d16W0.63223, d16W1, d16W0.63223, d16W1, d17W1, d17W0.606531, d17W0.63223, d17W1, d17W0.63223, d17W1, d18W1, d18W0.606531, d18W0.63223, d18W1, d18W0.63223, d18W1, d19W1, d19W0.606531, d19W0.63223, d19W1, d19W0.63223, d19W1, 
0, 1,1,1,1,1,0.9975,0.99225,0.9775,0.93875,0.8435,0.683,0.48625,0.25625,0.13075,0.0475,0.018,0.0075,0.003,0.00025,0.0005,1,1,1,1,0.99925,0.999,0.99375,0.978,0.9355,0.853,0.67175,0.48625,0.25075,0.13075,0.045,0.017,0.00475,0.00125,0,0.00025,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1998,0,2,1998,2,1998,1990,0,10,1990,10,1990,1956,1,43,1956,43,1956,1875,0,125,1875,125,1875,1712,9,279,1712,279,1712,1375,46,579,1375,579,1375,1138,74,788,1138,788,1138,1062,87,851,1062,851,1062,1195,80,725,1195,725,1195,1481,29,490,1481,490,1481,1725,5,270,1725,270,1725,1893,3,104,1893,104,1893,1961,1,38,1961,38,1961,1995,0,5,1995,5,1995,1999,0,1,1999,1,1999,1997,0,3,1997,3,1997,
100, 1,1,1,1,0.9995,0.99775,0.99375,0.97775,0.944,0.828,0.68825,0.46975,0.2715,0.11775,0.04275,0.01975,0.005,0.00075,0.00025,0,1,1,1,1,1,0.9985,0.99225,0.9785,0.93775,0.8435,0.682,0.47225,0.24875,0.11625,0.04875,0.016,0.00625,0.002,0.0005,0.00025,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1992,0,8,1992,8,1992,1955,1,44,1955,44,1955,1877,1,122,1877,122,1877,1655,13,332,1655,332,1655,1403,43,554,1403,554,1403,1066,90,844,1066,844,1066,1053,111,836,1053,836,1053,1167,73,760,1167,760,1167,1484,33,483,1484,483,1484,1763,8,229,1763,229,1763,1906,1,93,1906,93,1906,1954,0,46,1954,46,1954,1990,0,10,1990,10,1990,1997,0,3,1997,3,1997,1999,0,1,1999,1,1999,
200, 1,1,1,1,1,0.99775,0.99025,0.97125,0.918,0.82625,0.637,0.4235,0.2265,0.09775,0.04,0.0125,0.00575,0.0015,0,0,1,1,1,1,0.9995,0.998,0.99275,0.97375,0.919,0.80625,0.6245,0.41375,0.21975,0.08625,0.04325,0.015,0.00775,0.00275,0.00025,0,1999,0,1,1999,1,1999,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1996,0,4,1996,4,1996,1985,0,15,1985,15,1985,1946,0,54,1946,54,1946,1837,2,161,1837,161,1837,1632,22,346,1632,346,1632,1319,55,626,1319,626,1319,1086,103,811,1086,811,1086,1041,116,843,1041,843,1041,1238,61,701,1238,701,1238,1566,24,410,1566,410,1566,1755,5,240,1755,240,1755,1907,0,93,1907,93,1907,1957,0,43,1957,43,1957,1990,0,10,1990,10,1990,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,
300, 1,1,1,1,0.99975,0.9995,0.99375,0.97775,0.9145,0.7985,0.635,0.40575,0.22425,0.09525,0.0365,0.011,0.00325,0.0015,0.00025,0.00025,1,1,1,1,1,0.999,0.98975,0.97575,0.92025,0.80175,0.63125,0.4255,0.22375,0.0975,0.03475,0.00975,0.003,0.001,0,0.00025,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1999,0,1,1999,1,1999,1999,0,1,1999,1,1999,1997,0,3,1997,3,1997,1989,0,11,1989,11,1989,1943,0,57,1943,57,1943,1874,3,123,1874,123,1874,1624,13,363,1624,363,1624,1342,39,619,1342,619,1342,1103,78,819,1103,819,1103,1047,105,848,1047,848,1047,1274,54,672,1274,672,1274,1583,19,398,1583,398,1583,1811,8,181,1811,181,1811,1940,1,59,1940,59,1940,1977,0,23,1977,23,1977,1994,0,6,1994,6,1994,1997,0,3,1997,3,1997,1998,0,2,1998,2,1998,
400, 1,0.99975,1,0.99925,0.99925,0.99625,0.991,0.97075,0.912,0.7945,0.61425,0.3905,0.1935,0.08025,0.027,0.01,0.001,0.0005,0,0,1,1,0.99975,0.99975,0.999,0.99725,0.988,0.97425,0.90575,0.796,0.60275,0.3945,0.19775,0.0785,0.03,0.0075,0.002,0.00075,0.0005,0.0005,2000,0,0,2000,0,2000,1999,0,1,1999,1,1999,1998,0,2,1998,2,1998,1998,0,2,1998,2,1998,1989,0,11,1989,11,1989,1985,0,15,1985,15,1985,1939,0,61,1939,61,1939,1833,4,163,1833,163,1833,1592,20,388,1592,388,1592,1309,70,621,1309,621,1309,1148,91,761,1148,761,1148,1089,83,828,1089,828,1089,1338,61,601,1338,601,1338,1630,19,351,1630,351,1630,1811,3,186,1811,186,1811,1935,0,65,1935,65,1935,1975,0,25,1975,25,1975,1991,0,9,1991,9,1991,1996,0,4,1996,4,1996,1999,0,1,1999,1,1999,
500, 1,1,0.99975,0.99975,1,0.99825,0.992,0.97725,0.93275,0.8245,0.65625,0.43025,0.231,0.102,0.03625,0.014,0.00475,0.00225,0,0.00025,1,1,0.99975,0.99975,0.99975,0.99725,0.99275,0.97575,0.9275,0.81125,0.66325,0.4405,0.22625,0.099,0.036,0.012,0.0045,0.001,0.00025,0.00075,2000,0,0,2000,0,2000,1999,0,1,1999,1,1999,1999,0,1,1999,1,1999,1995,0,5,1995,5,1995,1998,0,2,1998,2,1998,1990,0,10,1990,10,1990,1954,0,46,1954,46,1954,1871,0,129,1871,129,1871,1653,19,328,1653,328,1653,1365,33,602,1365,602,1365,1102,88,810,1102,810,1102,1084,92,824,1084,824,1084,1256,72,672,1256,672,1256,1538,26,436,1538,436,1538,1786,8,206,1786,206,1786,1927,0,73,1927,73,1927,1971,0,29,1971,29,1971,1993,0,7,1993,7,1993,1998,0,2,1998,2,1998,1998,0,2,1998,2,1998,
600, 1,1,1,1,0.99975,0.997,0.99175,0.96975,0.9115,0.803,0.63925,0.4045,0.21775,0.09425,0.032,0.00575,0.00275,0.00075,0,0.00025,1,1,1,1,0.99975,0.9965,0.993,0.97275,0.922,0.80075,0.627,0.3995,0.21325,0.08625,0.0305,0.01075,0.00275,0.00025,0.00125,0,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1999,0,1,1999,1,1999,1983,0,17,1983,17,1983,1947,2,51,1947,51,1947,1855,4,141,1855,141,1855,1583,13,404,1583,404,1583,1299,58,643,1299,643,1299,1083,104,813,1083,813,1083,1058,115,827,1058,827,1058,1252,56,692,1252,692,1252,1581,15,404,1581,404,1581,1828,6,166,1828,166,1828,1949,1,50,1949,50,1949,1977,0,23,1977,23,1977,1993,0,7,1993,7,1993,1998,0,2,1998,2,1998,2000,0,0,2000,0,2000,
700, 1,1,1,1,0.99975,0.99875,0.98775,0.9685,0.923,0.80675,0.62375,0.3925,0.23925,0.1045,0.042,0.01375,0.004,0.00075,0,0,1,1,1,1,0.99975,0.99775,0.9925,0.97325,0.92275,0.803,0.6375,0.3965,0.2205,0.09675,0.0345,0.01125,0.004,0.00075,0,0,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1999,0,1,1999,1,1999,2000,0,0,2000,0,2000,1990,0,10,1990,10,1990,1944,0,56,1944,56,1944,1835,4,161,1835,161,1835,1606,16,378,1606,378,1606,1357,40,603,1357,603,1357,1128,72,800,1128,800,1128,1067,93,840,1067,840,1067,1257,64,679,1257,679,1257,1542,27,431,1542,431,1542,1793,3,204,1793,204,1793,1909,1,90,1909,90,1909,1976,0,24,1976,24,1976,1994,0,6,1994,6,1994,1999,0,1,1999,1,1999,2000,0,0,2000,0,2000,
800, 1,1,1,1,0.999,0.9985,0.99125,0.97425,0.90625,0.773,0.601,0.389,0.187,0.07775,0.025,0.00875,0.00325,0,0,0.00025,1,1,1,0.99975,0.99875,0.9985,0.98975,0.97075,0.90875,0.781,0.59825,0.37975,0.18625,0.07425,0.02725,0.011,0.0035,0.0015,0.0005,0,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1999,0,1,1999,1,1999,2000,0,0,2000,0,2000,1998,0,2,1998,2,1998,1981,0,19,1981,19,1981,1931,0,69,1931,69,1931,1811,2,187,1811,187,1811,1584,20,396,1584,396,1584,1251,65,684,1251,684,1251,1056,113,831,1056,831,1056,1067,88,845,1067,845,1067,1350,49,601,1350,601,1350,1625,17,358,1625,358,1625,1830,6,164,1830,164,1830,1926,0,74,1926,74,1926,1988,0,12,1988,12,1988,1989,0,11,1989,11,1989,2000,0,0,2000,0,2000,1999,0,1,1999,1,1999,
900, 1,1,1,1,0.999,0.997,0.98675,0.9695,0.90175,0.78425,0.60675,0.404,0.22775,0.084,0.03575,0.01075,0.005,0.00075,0.00025,0,1,1,1,1,0.99925,0.99825,0.992,0.9695,0.909,0.79125,0.6225,0.41325,0.236,0.095,0.033,0.0135,0.004,0.00075,0.00025,0,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,2000,0,0,2000,0,2000,1994,0,6,1994,6,1994,1984,0,16,1984,16,1984,1942,0,58,1942,58,1942,1821,2,177,1821,177,1821,1597,27,376,1597,376,1597,1280,52,668,1280,668,1280,1046,85,869,1046,869,1046,1039,102,859,1039,859,1039,1273,57,670,1273,670,1273,1562,21,417,1562,417,1562,1799,3,198,1799,198,1799,1909,2,89,1909,89,1909,1963,0,37,1963,37,1963,1995,0,5,1995,5,1995,1998,0,2,1998,2,1998,2000,0,0,2000,0,2000,
