gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.602872, d0W0.504308, d0W0.704308, d0W1.20287, d0W2, d1W1, d1W0.602872, d1W0.504308, d1W0.704308, d1W1.20287, d1W2, 
0, 0.9825,0.3325,0.9725,0.2025,0.975,0.2525,0.9775,0.2725,0.9775,0.215,8,0,0,0,0,192,153,40,3,0,0,4,
100, 0.9725,0.22,0.985,0.28,0.9825,0.235,0.98,0.24,0.9875,0.315,1,1,2,3,4,189,142,47,8,2,0,1,
200, 0.9775,0.245,0.9825,0.225,0.98,0.215,0.985,0.305,0.9825,0.2525,2,1,3,0,1,193,157,34,5,1,0,3,
300, 0.9875,0.2575,0.9825,0.21,0.985,0.2475,0.9875,0.26,0.9875,0.275,3,1,2,0,0,194,153,32,9,3,2,1,
400, 0.98,0.1375,0.9825,0.25,0.985,0.205,0.98,0.1825,0.98,0.1775,3,1,1,0,5,190,166,32,1,0,0,1,
500, 0.965,0.15,0.9625,0.2225,0.98,0.1975,0.96,0.205,0.9825,0.2625,9,4,1,3,5,178,163,27,5,3,0,2,
600, 0.975,0.24,0.9775,0.2725,0.98,0.21,0.985,0.285,0.98,0.22,4,3,1,1,3,188,148,41,6,1,0,4,
700, 0.985,0.245,0.9825,0.24,0.985,0.1825,0.99,0.2575,0.9925,0.215,3,0,0,3,1,193,162,34,2,0,0,2,
800, 1,0.33,1,0.2525,1,0.225,0.9975,0.2875,1,0.2925,1,1,1,0,4,193,147,37,10,3,0,3,
900, 0.99,0.3,0.985,0.295,0.9875,0.2475,0.99,0.2275,0.9875,0.2725,0,1,1,0,0,198,159,33,2,2,0,4,
