gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.404308, d0W0.256462, d0W0.556462, d0W1.30431, d0W2.5, d1W1, d1W0.404308, d1W0.256462, d1W0.556462, d1W1.30431, d1W2.5, 
0, 0.9875,0.11,0.99,0.175,0.995,0.14,0.9925,0.1675,0.9925,0.185,0,1,0,0,0,199,171,28,1,0,0,0,
100, 0.98,0.1425,0.9825,0.2175,0.985,0.1925,0.98,0.1925,0.975,0.155,2,3,2,0,2,191,173,23,2,0,0,2,
200, 0.9875,0.235,0.9925,0.1725,0.9925,0.1675,0.9925,0.255,0.9925,0.2225,0,0,2,3,1,194,171,22,3,0,0,4,
300, 0.9875,0.1575,0.99,0.13,0.9875,0.1975,0.9875,0.0925,0.9875,0.1125,3,0,0,0,1,196,174,20,4,0,0,2,
400, 0.9825,0.125,0.985,0.2075,0.98,0.2125,0.98,0.1475,0.975,0.1675,2,5,0,1,3,189,168,28,1,1,0,2,
500, 0.985,0.3175,0.9925,0.2875,0.985,0.335,0.99,0.27,0.985,0.2575,1,2,5,3,2,187,141,40,8,5,2,4,
600, 0.99,0.13,0.99,0.15,0.995,0.21,0.99,0.2375,0.995,0.235,0,0,0,0,0,200,169,26,1,1,1,2,
700, 0.9825,0.16,0.9875,0.145,0.985,0.18,0.985,0.19,0.985,0.1525,3,1,0,0,0,196,167,29,3,0,1,0,
800, 0.985,0.125,0.985,0.2075,0.98,0.0875,0.9825,0.1275,0.985,0.17,2,2,0,0,0,196,175,21,3,1,0,0,
900, 0.985,0.2,0.9775,0.1975,0.98,0.1475,0.98,0.165,0.9775,0.195,4,1,2,1,0,192,170,24,5,1,0,0,
