gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.682297, d0W0.603446, d0W0.763446, d0W1.1623, d0W1.8, d1W1, d1W0.682297, d1W0.603446, d1W0.763446, d1W1.1623, d1W1.8, 
0, 0.995,0.1075,0.9975,0.095,0.9975,0.1675,0.9975,0.1225,0.9975,0.2425,2,0,0,0,0,198,177,19,2,1,0,1,
100, 0.985,0.1725,0.9875,0.28,0.9825,0.2075,0.9875,0.2275,0.98,0.2175,4,0,2,0,1,193,173,17,4,1,0,5,
200, 0.9925,0.17,0.9925,0.21,0.995,0.1,0.9925,0.2075,0.9925,0.2525,2,0,0,0,2,196,171,25,2,0,0,2,
300, 0.995,0.0975,0.9925,0.19,0.9925,0.1575,0.9875,0.1925,0.99,0.16,2,1,0,1,2,194,168,28,2,1,0,1,
400, 0.9875,0.205,0.9825,0.165,0.99,0.25,0.985,0.125,0.985,0.215,2,3,0,0,0,195,169,24,1,2,0,4,
500, 0.9925,0.22,0.995,0.2125,0.9925,0.1975,0.99,0.2625,0.995,0.1725,3,1,2,2,0,192,165,30,4,0,0,1,
600, 0.9825,0.245,0.9725,0.3125,0.98,0.325,0.975,0.25,0.975,0.185,2,2,0,1,5,190,150,44,4,2,0,0,
700, 0.99,0.1625,0.9875,0.2175,0.995,0.2475,0.9925,0.1525,0.9875,0.1175,1,1,1,0,0,197,163,36,1,0,0,0,
800, 0.9875,0.2225,0.995,0.225,0.9925,0.22,0.985,0.22,0.9875,0.225,1,0,1,0,5,193,168,26,5,0,0,1,
900, 0.985,0.1075,0.9875,0.2625,0.985,0.1975,0.99,0.13,0.9875,0.16,1,1,0,0,0,198,171,27,1,0,0,1,
