gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.841149, d0W0.801723, d0W0.881723, d0W1.08115, d0W1.4, d1W1, d1W0.841149, d1W0.801723, d1W0.881723, d1W1.08115, d1W1.4, 
0, 0.9725,0.3375,0.9775,0.305,0.9675,0.2725,0.9825,0.3725,0.9675,0.1825,3,2,3,3,12,177,133,53,12,1,0,1,
100, 0.97,0.225,0.97,0.2425,0.965,0.1825,0.975,0.305,0.96,0.245,1,2,1,3,16,177,164,33,3,0,0,0,
200, 0.9925,0.32,0.9875,0.1925,0.9825,0.2575,0.99,0.3025,0.985,0.225,0,0,0,4,3,193,147,46,3,1,0,3,
300, 0.9775,0.365,0.9875,0.38,0.985,0.345,0.9825,0.335,0.985,0.2525,1,0,1,2,14,182,112,62,22,3,0,1,
400, 0.99,0.225,0.99,0.2825,0.99,0.2625,0.99,0.2625,0.985,0.23,1,0,2,0,6,191,147,39,10,1,0,3,
500, 0.995,0.265,0.995,0.2675,0.9975,0.3675,0.99,0.425,0.98,0.3125,0,0,1,1,24,174,117,65,13,3,1,1,
600, 0.9825,0.285,0.9975,0.32,0.995,0.3075,0.995,0.245,0.985,0.2175,2,0,1,0,6,191,130,53,13,2,0,2,
700, 0.975,0.2775,0.9825,0.165,0.985,0.4375,0.995,0.305,0.975,0.1625,1,0,1,3,7,188,142,50,7,0,0,1,
800, 0.9925,0.13,0.9875,0.35,0.9875,0.28,0.9875,0.29,0.985,0.245,0,0,1,1,10,188,135,53,11,1,0,0,
900, 0.9925,0.315,0.99,0.3375,0.985,0.36,0.9925,0.3375,0.9925,0.305,2,0,0,0,7,191,113,60,23,2,1,1,
