gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.205744, d0W0.00861561, d0W0.408616, d0W1.40574, d0W3, d1W1, d1W0.205744, d1W0.00861561, d1W0.408616, d1W1.40574, d1W3, 
0, 1,0.0425,1,0.0825,1,0.05,1,0.1275,1,0.085,0,0,0,0,0,200,191,9,0,0,0,0,
100, 1,0.06,1,0.05,1,0.0575,1,0.03,1,0.0275,1,0,0,0,0,199,198,2,0,0,0,0,
200, 1,0.08,1,0.0725,1,0.0675,1,0.0375,1,0.0925,0,0,0,0,0,200,194,6,0,0,0,0,
300, 1,0.065,1,0.1075,1,0.09,1,0.09,1,0.0675,0,1,0,0,0,199,193,6,0,0,1,0,
400, 0.995,0.1225,0.995,0.0725,0.995,0.0075,0.995,0.035,0.995,0.0075,0,0,0,0,0,200,198,2,0,0,0,0,
500, 0.995,0.035,0.9975,0.035,0.995,0.085,0.995,0.035,0.995,0.02,0,0,0,0,0,200,196,4,0,0,0,0,
600, 0.995,0.02,0.995,0.05,0.9975,0.0675,0.995,0.0475,0.995,0.0575,0,0,0,0,0,200,196,3,1,0,0,0,
700, 0.9925,0.03,0.9925,0.0525,0.9925,0.0425,0.9925,0.02,0.9925,0.035,1,0,0,0,0,199,199,1,0,0,0,0,
800, 1,0.0425,1,0.065,1,0.0475,1,0.0625,1,0.14,0,0,0,0,0,200,193,7,0,0,0,0,
900, 1,0.0175,1,0.0275,1,0.0225,1,0.045,1,0.03,0,0,0,0,0,200,197,3,0,0,0,0,
