gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.602872, d0W0.504308, d0W0.704308, d0W1.20287, d0W2, d1W1, d1W0.602872, d1W0.504308, d1W0.704308, d1W1.20287, d1W2, 
0, 0.995,0.1575,0.9925,0.24,1,0.1975,0.995,0.2375,0.9975,0.1725,0,4,0,0,2,194,165,29,5,1,0,0,
100, 1,0.17,1,0.245,0.995,0.18,1,0.2275,1,0.165,0,0,0,0,1,199,163,33,2,0,0,2,
200, 0.99,0.2175,0.99,0.1725,0.99,0.2025,0.99,0.1925,0.9875,0.18,2,0,0,0,4,194,168,28,2,0,0,2,
300, 0.99,0.15,0.99,0.26,0.99,0.2075,0.985,0.1825,0.9925,0.195,1,0,0,2,2,195,163,32,4,0,0,1,
400, 0.98,0.1775,0.9825,0.1375,0.9725,0.125,0.98,0.1975,0.98,0.175,3,1,0,1,2,193,177,19,2,0,0,2,
500, 0.99,0.27,0.9925,0.22,0.995,0.2375,0.9975,0.235,0.9925,0.23,3,2,0,1,0,194,144,38,13,0,2,3,
600, 0.9925,0.2025,0.9925,0.2775,0.9875,0.185,0.9925,0.23,0.9925,0.25,1,1,0,1,2,195,162,33,4,0,0,1,
700, 0.985,0.17,0.985,0.1575,0.985,0.185,0.9875,0.2375,0.9875,0.23,2,1,0,1,0,196,151,42,5,1,0,1,
800, 0.98,0.26,0.9875,0.1875,0.9825,0.22,0.9825,0.215,0.985,0.23,2,1,0,0,1,196,164,33,1,1,0,1,
900, 0.9875,0.27,0.9875,0.2575,0.9875,0.24,0.9925,0.1925,0.99,0.1675,2,1,4,1,5,187,163,27,6,0,0,4,
