gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.761723, d0W0.702585, d0W0.822585, d0W1.12172, d0W1.6, d1W1, d1W0.761723, d1W0.702585, d1W0.822585, d1W1.12172, d1W1.6, 
0, 0.9925,0.125,0.99,0.1425,0.9875,0.1675,0.99,0.225,0.995,0.165,0,2,1,1,5,191,170,27,2,0,0,1,
100, 0.9675,0.18,0.9825,0.2125,0.99,0.2125,0.98,0.1775,0.9875,0.1925,2,1,1,3,13,180,174,20,2,0,1,3,
200, 0.9875,0.205,0.9875,0.1575,0.9875,0.2275,0.9825,0.245,0.9875,0.235,0,0,1,0,4,195,164,28,7,0,0,1,
300, 0.9875,0.2475,0.9875,0.255,0.9875,0.27,0.9825,0.215,0.99,0.17,3,1,2,1,4,189,154,41,4,0,0,1,
400, 0.99,0.2125,0.99,0.2,0.9925,0.2225,0.99,0.215,0.98,0.1975,1,0,0,0,2,197,158,40,2,0,0,0,
500, 0.9925,0.205,0.9775,0.2125,0.9925,0.195,0.9925,0.1425,0.9925,0.17,2,0,1,0,10,187,169,25,4,0,0,2,
600, 0.9775,0.325,0.9825,0.2575,0.9825,0.28,0.98,0.2475,0.98,0.145,3,1,0,0,1,195,151,38,7,1,1,2,
700, 1,0.1925,0.995,0.26,0.9975,0.22,0.99,0.22,0.995,0.185,1,1,0,4,2,192,160,29,9,0,0,2,
800, 0.9975,0.2375,0.9975,0.14,0.9975,0.17,0.9975,0.1875,0.9975,0.185,1,1,0,0,1,197,177,20,1,0,0,2,
900, 0.995,0.13,0.995,0.0975,0.995,0.1725,0.995,0.1875,0.995,0.1875,0,0,0,0,1,199,181,17,1,0,0,1,
