gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.205744, d0W0.00861561, d0W0.408616, d0W1.40574, d0W3, d1W1, d1W0.205744, d1W0.00861561, d1W0.408616, d1W1.40574, d1W3, 
0, 1,0.1525,1,0.1525,1,0.1875,1,0.17,1,0.165,1,0,0,0,0,199,182,15,1,0,0,2,
100, 0.9825,0.0425,0.99,0.06,0.9825,0.06,0.9825,0.0775,0.9825,0.0675,2,0,0,0,0,198,195,4,0,0,0,1,
200, 1,0.1625,1,0.095,1,0.1125,1,0.0875,1,0.12,1,0,0,0,0,199,184,11,3,1,0,1,
300, 0.995,0.085,0.995,0.1,0.995,0.0725,0.995,0.07,0.995,0.1025,1,0,0,0,0,199,189,10,1,0,0,0,
400, 0.995,0.08,0.995,0.0425,0.995,0.0375,0.995,0.07,0.9975,0.055,2,0,0,0,0,198,197,3,0,0,0,0,
500, 0.995,0.085,0.995,0.05,0.995,0.1075,0.995,0.055,0.995,0.1375,0,0,0,0,0,200,196,2,0,0,0,2,
600, 1,0.0825,1,0.0325,1,0.085,1,0.0925,1,0.025,0,0,0,0,0,200,195,5,0,0,0,0,
700, 0.9975,0.0625,0.9975,0.08,0.9975,0.0425,0.9975,0.0475,0.9975,0.0475,2,0,0,0,0,198,196,4,0,0,0,0,
800, 1,0.045,1,0.09,1,0.1425,1,0.065,1,0.0475,1,0,0,0,0,199,198,1,0,0,0,1,
900, 1,0.055,1,0.09,1,0.1175,1,0.0475,1,0.0975,0,0,0,0,0,200,193,7,0,0,0,0,
