gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0W1, d0W0.900798, d0W0.967464, d0W1.2, d1W1, d1W0.900798, d1W0.967464, d1W1.2, 
0, 0.9825,0.065,0.9825,0.165,0.9825,0.03,1,0,1,198,196,4,0,0,
100, 0.9975,0.2575,1,0.1225,1,0.1125,0,0,2,198,189,11,0,0,
200, 0.995,0.125,0.99,0.275,0.995,0.155,0,1,1,198,183,15,2,0,
300, 0.9875,0.105,0.9975,0.1875,0.9925,0.1675,1,1,10,188,189,10,0,1,
400, 0.995,0.1725,0.99,0.1225,0.99,0.1775,1,0,6,193,183,17,0,0,
500, 1,0.1025,1,0.325,0.995,0.125,2,0,2,196,176,24,0,0,
600, 0.99,0.0725,1,0.0275,0.995,0.2,0,0,5,195,181,17,1,1,
700, 0.995,0.1625,0.9875,0.0525,0.99,0.145,0,1,4,195,189,11,0,0,
800, 0.9725,0.255,0.9875,0.2,0.99,0.0825,0,5,11,184,170,29,1,0,
900, 0.995,0.2725,0.9825,0.1625,0.995,0.1425,0,2,6,192,180,18,2,0,
