gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0l5, d1l5, d0l6, d1l6, d0l7, d1l7, d0l8, d1l8, d0l9, d1l9, d0W1, d0W0.952823, d0W0.920574, d0W0.903254, d0W0.900862, d0W0.913397, d0W0.940862, d0W0.983254, d0W1.04057, d0W1.11282, d0W1.2, d1W1, d1W0.952823, d1W0.920574, d1W0.903254, d1W0.900862, d1W0.913397, d1W0.940862, d1W0.983254, d1W1.04057, d1W1.11282, d1W1.2, 
0, 1,0.4575,0.9775,0.23,0.97,0.57,0.965,0.4675,0.9625,0.1125,0.9475,0.2225,0.9775,0.2175,0.9725,0.27,0.9475,0.1175,0.99,0.0725,0,1,1,0,0,0,0,0,17,59,122,72,77,41,9,0,1,0,0,0,0,0,
100, 0.995,0.525,0.985,0.1675,0.9925,0.44,1,0.41,0.99,0.475,0.9925,0.165,0.99,0.2,0.995,0.3825,0.995,0.105,0.9925,0.365,1,0,0,0,0,0,1,0,1,6,191,49,76,51,22,2,0,0,0,0,0,0,
200, 0.9625,0.2575,0.97,0.1375,0.965,0.335,0.97,0.395,0.955,0.3025,0.9625,0.2875,0.965,0.2975,0.97,0.1075,0.9825,0.3225,0.965,0.3125,0,2,2,2,0,0,0,0,3,23,168,86,72,38,3,1,0,0,0,0,0,0,
300, 0.9675,0.12,0.975,0.2375,0.98,0.095,0.9675,0.34,0.99,0.2875,0.96,0.2675,0.9725,0.4,0.9925,0.2975,0.9975,0.495,0.975,0.3675,1,0,0,0,1,2,0,1,5,35,155,87,68,35,6,3,1,0,0,0,0,0,
400, 0.9975,0.3425,1,0.3125,1,0.1625,0.98,0.3425,1,0.3175,0.905,0.1025,0.9975,0.6225,0.98,0.44,1,0.3775,0.9925,0.295,0,0,0,0,0,0,0,0,6,53,141,51,75,52,20,2,0,0,0,0,0,0,
500, 0.9475,0.0575,0.995,0.3575,0.9875,0.115,0.99,0.3,0.9825,0.2825,0.9825,0.06,1,0.4175,0.985,0.385,0.99,0.285,0.995,0.4825,1,0,0,0,1,0,0,2,4,22,170,64,82,42,9,3,0,0,0,0,0,0,
600, 1,0.275,0.93,0.3275,1,0.2775,1,0.235,1,0.31,0.975,0.0575,0.975,0.6125,0.9975,0.2,0.985,0.1775,0.9775,0.32,0,0,1,0,0,0,0,0,6,39,154,61,84,39,14,1,0,0,0,0,0,1,
700, 0.995,0.1775,1,0.3775,1,0.2425,0.975,0.315,0.9875,0.3275,1,0.13,0.9925,0.0775,0.9875,0.065,1,0.235,1,0.22,0,0,0,0,0,0,0,0,2,33,165,126,56,17,1,0,0,0,0,0,0,0,
800, 0.985,0.4775,0.985,0.5525,0.9875,0.08,0.99,0.3025,0.9975,0.38,0.9975,0.2175,0.9925,0.3925,1,0.3325,0.995,0.3525,0.99,0.115,0,0,0,0,0,0,0,3,5,15,177,63,70,46,14,5,0,0,0,0,0,2,
900, 0.995,0.3525,0.9875,0.285,0.99,0.25,0.9125,0.2075,0.9675,0.3975,0.9925,0.4925,0.995,0.5125,0.9925,0.2175,0.9475,0.265,0.9775,0.36,1,0,0,0,0,0,1,1,3,39,155,43,97,44,11,3,2,0,0,0,0,0,
