gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.404308, d0W0.256462, d0W0.556462, d0W1.30431, d0W2.5, d1W1, d1W0.404308, d1W0.256462, d1W0.556462, d1W1.30431, d1W2.5, 
0, 0.9925,0.19,0.985,0.185,0.9925,0.1775,0.9925,0.1475,0.99,0.1275,2,0,0,0,2,196,177,21,2,0,0,0,
100, 0.9925,0.1725,0.995,0.17,0.9975,0.205,1,0.1375,0.99,0.1525,2,1,1,0,0,196,181,16,2,0,0,1,
200, 1,0.25,1,0.27,1,0.23,1,0.255,1,0.2825,1,0,0,1,0,198,157,34,7,0,0,2,
300, 0.965,0.205,0.9775,0.285,0.975,0.26,0.97,0.26,0.975,0.225,6,1,0,0,0,193,165,29,3,0,0,3,
400, 0.9875,0.21,0.9875,0.3275,0.99,0.3025,0.9925,0.23,0.9925,0.2875,3,0,0,0,1,196,144,39,11,3,1,2,
500, 0.9925,0.155,0.9925,0.1725,0.9925,0.185,0.9925,0.15,0.995,0.1625,2,0,1,1,0,196,187,7,3,0,0,3,
600, 0.9825,0.1275,0.9825,0.1375,0.985,0.1675,0.985,0.1675,0.9825,0.1875,3,0,2,0,1,194,172,22,4,1,0,1,
700, 0.98,0.245,0.9875,0.1725,0.98,0.16,0.9825,0.15,0.9825,0.145,4,1,1,1,0,193,176,21,1,0,0,2,
800, 0.995,0.1725,0.995,0.255,0.9975,0.1925,0.9925,0.165,0.995,0.1675,1,0,2,1,2,194,172,22,6,0,0,0,
900, 0.995,0.2025,0.9925,0.16,0.9925,0.1975,0.9925,0.12,0.995,0.175,2,1,0,0,0,197,179,17,1,0,0,3,
