gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.841149, d0W0.801723, d0W0.881723, d0W1.08115, d0W1.4, d1W1, d1W0.841149, d1W0.801723, d1W0.881723, d1W1.08115, d1W1.4, 
0, 0.9675,0.245,0.9725,0.2425,0.9775,0.2625,0.985,0.2875,0.98,0.24,1,2,0,2,11,184,147,42,7,2,0,2,
100, 0.975,0.14,0.985,0.1525,0.975,0.1275,0.9825,0.1,0.9775,0.13,4,0,1,3,6,186,176,23,1,0,0,0,
200, 0.98,0.1725,0.975,0.2175,0.9925,0.295,0.9825,0.24,0.9825,0.31,4,0,5,4,5,182,143,46,9,0,1,1,
300, 0.985,0.31,0.9925,0.115,0.99,0.3825,0.9875,0.22,0.9975,0.2825,1,0,2,3,3,191,136,53,9,1,0,1,
400, 0.9825,0.1975,0.985,0.2125,0.9825,0.1375,0.985,0.2,0.97,0.1875,3,0,1,1,8,187,180,20,0,0,0,0,
500, 0.9775,0.2375,0.9375,0.19,0.9725,0.1725,0.98,0.23,0.98,0.22,3,0,2,2,15,178,157,39,3,0,0,1,
600, 0.99,0.1675,0.995,0.3025,0.9925,0.2175,0.985,0.1325,0.99,0.2475,5,0,0,1,6,188,143,53,3,1,0,0,
700, 0.9825,0.2,0.98,0.22,0.97,0.2375,0.985,0.2625,0.96,0.2575,4,0,1,1,12,182,162,30,4,1,0,3,
800, 0.9675,0.1675,0.9675,0.225,0.98,0.1325,0.9825,0.255,0.97,0.1275,2,1,1,2,8,186,173,23,3,0,0,1,
900, 0.985,0.24,0.99,0.255,0.9825,0.14,0.975,0.285,0.98,0.3475,1,1,1,5,9,183,150,43,4,1,1,1,
