gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.920574, d0W0.900862, d0W0.940862, d0W1.04057, d0W1.2, d1W1, d1W0.920574, d1W0.900862, d1W0.940862, d1W1.04057, d1W1.2, 
0, 0.995,0.28,1,0.0825,0.9975,0.3325,1,0.4275,0.99,0.31,0,0,1,1,4,194,113,61,23,1,0,2,
100, 0.9775,0.23,0.9975,0.2475,0.985,0.1975,0.9875,0.1975,0.985,0.315,0,2,1,2,14,181,154,38,7,1,0,0,
200, 0.99,0.38,0.99,0.4575,0.9725,0.2175,0.995,0.3575,0.98,0.36,0,1,0,0,17,182,91,85,20,4,0,0,
300, 0.9925,0.5275,0.995,0.395,0.9825,0.195,0.9875,0.3525,0.995,0.28,2,0,0,1,9,188,102,67,24,7,0,0,
400, 0.9575,0.2725,0.985,0.435,0.9925,0.2075,0.9525,0.32,0.99,0.5075,0,0,2,3,30,165,108,73,13,4,0,2,
500, 0.9475,0.27,0.985,0.325,0.9825,0.445,0.9625,0.2625,0.9825,0.385,0,0,7,2,36,155,108,70,19,3,0,0,
600, 1,0.3075,0.9575,0.1675,0.9925,0.3825,0.9825,0.2975,0.9875,0.355,0,0,2,3,24,171,121,62,15,1,0,1,
700, 0.975,0.235,0.98,0.0725,0.9325,0.25,0.985,0.14,0.97,0.2425,0,0,2,5,30,163,154,42,3,0,0,1,
800, 1,0.2125,0.995,0.11,0.9875,0.3175,0.9925,0.22,0.9925,0.2025,0,0,0,1,13,186,154,43,2,0,0,1,
900, 0.975,0.235,0.9725,0.14,0.9875,0.095,0.9775,0.0775,0.99,0.1225,1,2,1,3,24,169,173,27,0,0,0,0,
