gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.682297, d0W0.603446, d0W0.763446, d0W1.1623, d0W1.8, d1W1, d1W0.682297, d1W0.603446, d1W0.763446, d1W1.1623, d1W1.8, 
0, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
100, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
200, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
300, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
400, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
500, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
600, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
700, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
800, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
900, 1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,200,0,0,0,0,0,200,
