gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.682297, d0W0.603446, d0W0.763446, d0W1.1623, d0W1.8, d1W1, d1W0.682297, d1W0.603446, d1W0.763446, d1W1.1623, d1W1.8, 
0, 0.975,0.195,0.9775,0.2925,0.975,0.275,0.9825,0.2675,0.98,0.18,0,2,0,3,0,195,146,45,9,0,0,0,
100, 0.99,0.38,0.9925,0.3,0.99,0.2725,0.9875,0.3675,0.9875,0.3075,2,1,1,0,5,191,120,59,15,3,0,3,
200, 0.99,0.3425,0.99,0.375,0.99,0.3525,0.99,0.385,0.9925,0.2875,1,3,1,1,4,190,122,47,21,4,1,5,
300, 0.985,0.2075,0.9875,0.2,0.99,0.2075,0.9925,0.27,0.99,0.1775,6,1,0,0,1,192,164,30,3,0,0,3,
400, 0.97,0.2225,0.9675,0.28,0.9625,0.255,0.9625,0.275,0.975,0.2425,6,1,2,3,3,185,153,38,4,2,0,3,
500, 0.985,0.2725,0.9825,0.2075,0.985,0.205,0.9825,0.2025,0.985,0.22,2,0,1,0,0,197,160,34,6,0,0,0,
600, 0.9975,0.335,0.995,0.2425,1,0.2775,0.9975,0.31,0.995,0.3,5,0,1,0,4,190,137,49,9,2,1,2,
700, 0.985,0.2825,0.98,0.3225,0.98,0.2425,0.985,0.325,0.9825,0.25,0,0,2,0,3,195,136,49,14,0,1,0,
800, 0.9925,0.25,0.99,0.2725,0.9875,0.2675,0.9925,0.255,0.995,0.36,2,2,0,0,6,190,150,34,9,1,0,6,
900, 0.99,0.3,0.9875,0.2875,0.9825,0.2825,0.985,0.28,0.985,0.335,4,2,0,0,1,193,125,58,10,3,0,4,
