gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.682297, d0W0.603446, d0W0.763446, d0W1.1623, d0W1.8, d1W1, d1W0.682297, d1W0.603446, d1W0.763446, d1W1.1623, d1W1.8, 
0, 0.995,0.33,0.99,0.37,0.9875,0.4725,0.985,0.275,0.99,0.33,2,1,0,0,0,197,109,66,16,4,1,4,
100, 0.98,0.235,0.9925,0.265,0.985,0.2875,0.995,0.275,0.985,0.345,1,2,1,0,4,192,146,45,4,1,1,3,
200, 0.99,0.1725,0.9825,0.2025,0.9875,0.155,0.985,0.1375,0.99,0.2175,2,1,1,0,0,196,179,17,2,0,0,2,
300, 0.9775,0.195,0.98,0.255,0.9725,0.1525,0.9775,0.175,0.98,0.115,5,2,1,0,2,190,166,29,4,0,0,1,
400, 0.9825,0.215,0.9875,0.2075,0.985,0.2025,0.98,0.2725,0.9725,0.29,3,1,0,1,7,188,156,33,6,2,0,3,
500, 0.9725,0.315,0.9825,0.2675,0.9825,0.37,0.9825,0.21,0.975,0.1875,2,1,0,1,7,189,130,60,8,2,0,0,
600, 0.985,0.2,0.985,0.2475,0.9875,0.265,0.995,0.235,0.985,0.1975,3,3,0,2,0,192,136,50,10,3,0,1,
700, 0.99,0.2075,0.985,0.175,0.985,0.19,0.99,0.2075,0.985,0.22,4,1,0,0,5,190,163,32,2,0,0,3,
800, 0.9825,0.205,0.9875,0.2175,0.9825,0.3175,0.9825,0.205,0.9875,0.2675,4,0,0,2,0,194,167,26,5,0,0,2,
900, 0.9825,0.2525,0.98,0.2425,0.99,0.265,0.9925,0.24,0.9825,0.2325,4,0,0,0,2,194,148,38,10,2,0,2,
