gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0W1, d0W0.900798, d0W0.967464, d0W1.2, d1W1, d1W0.900798, d1W0.967464, d1W1.2, 
0, 0.98,0.1675,0.9825,0.1575,0.985,0.28,0,5,25,170,177,20,2,1,
100, 0.9975,0.365,0.9925,0.605,0.9875,0.2725,1,1,9,189,103,82,14,1,
200, 0.9975,0.275,0.9875,0.455,1,0.4375,1,0,6,193,119,61,18,2,
300, 1,0.3,0.9975,0.1775,0.9975,0.145,0,0,4,196,168,29,3,0,
400, 0.97,0.295,0.9925,0.1775,0.9875,0.085,3,0,4,193,170,27,1,2,
500, 0.99,0.0125,0.995,0.2175,0.99,0.065,0,0,0,200,188,11,0,1,
600, 0.9875,0.3175,0.9975,0.27,0.99,0.29,0,1,14,185,158,35,6,1,
700, 0.9625,0.2075,0.9475,0.1725,0.9575,0.1025,6,6,28,160,186,12,2,0,
800, 0.9975,0.145,0.995,0.29,0.995,0.27,1,2,5,192,156,42,1,1,
900, 0.965,0.3,0.99,0.1325,0.9925,0.175,0,0,12,188,180,17,1,2,
