gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.761723, d0W0.702585, d0W0.822585, d0W1.12172, d0W1.6, d1W1, d1W0.761723, d1W0.702585, d1W0.822585, d1W1.12172, d1W1.6, 
0, 0.99,0.155,0.99,0.1,0.99,0.1475,0.99,0.07,0.985,0.07,1,0,0,0,2,197,188,11,1,0,0,0,
100, 0.9975,0.17,0.9975,0.1875,0.9975,0.0475,0.9975,0.0825,0.9975,0.1525,1,0,0,0,0,199,187,12,1,0,0,0,
200, 0.9975,0.0625,0.995,0.145,0.9975,0.0875,0.9975,0.08,0.9975,0.1625,0,0,0,0,1,199,189,10,1,0,0,0,
300, 1,0.0875,1,0.1175,1,0.16,1,0.02,1,0.0625,0,0,0,0,0,200,194,6,0,0,0,0,
400, 0.995,0.09,0.995,0.05,0.995,0.0975,0.995,0.0325,0.995,0.0475,1,0,0,0,0,199,194,6,0,0,0,0,
500, 0.9975,0.04,0.9975,0.16,0.9975,0.1475,0.9975,0.07,0.9975,0.085,1,0,0,0,0,199,192,7,0,0,0,1,
600, 0.9875,0.0725,0.99,0.0925,0.9875,0.1375,0.985,0.1425,0.985,0.0225,2,0,1,3,2,192,186,13,0,0,0,1,
700, 0.99,0.12,0.9875,0.1325,0.9875,0.1625,0.99,0.09,0.9875,0.0375,1,0,0,0,0,199,189,10,0,0,0,1,
800, 0.9975,0.1675,1,0.1575,1,0.0975,0.995,0.055,1,0.11,1,0,0,0,2,197,184,16,0,0,0,0,
900, 1,0.0975,1,0.0325,1,0.1025,1,0.1875,1,0.0975,0,0,0,0,0,200,182,18,0,0,0,0,
