gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.205744, d0W0.00861561, d0W0.408616, d0W1.40574, d0W3, d1W1, d1W0.205744, d1W0.00861561, d1W0.408616, d1W1.40574, d1W3, 
0, 1,0.21,1,0.1075,1,0.195,1,0.15,1,0.1,0,0,0,0,1,199,178,19,1,0,0,2,
100, 0.9925,0.085,0.995,0.18,0.9925,0.115,0.9975,0.1525,0.9925,0.155,1,0,0,0,0,199,181,18,0,0,0,1,
200, 0.995,0.1075,0.995,0.0925,0.99,0.095,0.995,0.1475,0.995,0.11,0,0,0,0,1,199,187,12,1,0,0,0,
300, 0.9825,0.1025,0.9825,0.1575,0.9875,0.14,0.985,0.1325,0.985,0.1225,2,0,0,0,0,198,190,9,0,0,0,1,
400, 1,0.1375,1,0.105,1,0.1525,1,0.1475,1,0.175,1,1,0,0,0,198,180,17,1,0,0,2,
500, 0.995,0.1425,0.995,0.165,0.995,0.14,0.9975,0.1225,0.995,0.0925,1,0,0,0,0,199,180,18,1,0,0,1,
600, 0.9875,0.085,0.985,0.06,0.99,0.13,0.985,0.06,0.99,0.08,6,0,0,0,0,194,191,8,1,0,0,0,
700, 0.995,0.115,0.9925,0.13,0.99,0.19,0.9875,0.1,0.99,0.1275,2,0,0,0,0,198,189,10,0,0,0,1,
800, 1,0.1125,1,0.0825,1,0.1,1,0.0875,1,0.105,0,0,0,0,0,200,187,10,0,1,0,2,
900, 1,0.075,1,0.135,1,0.085,1,0.11,1,0.11,1,1,0,0,0,198,191,9,0,0,0,0,
